#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08041700     00065          Pine Island Bayou nr Sour Lake, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08041700	00065	132888		1	1	1999	2018	20	17.52
USGS	08041700	00065	132888		1	2	1999	2018	20	17.66
USGS	08041700	00065	132888		1	3	1999	2018	20	17.54
USGS	08041700	00065	132888		1	4	1999	2018	20	17.18
USGS	08041700	00065	132888		1	5	1999	2018	20	16.92
USGS	08041700	00065	132888		1	6	1999	2018	20	16.71
USGS	08041700	00065	132888		1	7	1999	2018	20	16.51
USGS	08041700	00065	132888		1	8	1999	2018	20	16.82
USGS	08041700	00065	132888		1	9	1999	2018	20	17.21
USGS	08041700	00065	132888		1	10	1999	2018	20	17.67
USGS	08041700	00065	132888		1	11	1999	2018	20	17.56
USGS	08041700	00065	132888		1	12	1999	2018	20	17.46
USGS	08041700	00065	132888		1	13	1999	2018	20	17.27
USGS	08041700	00065	132888		1	14	1999	2018	20	17.08
USGS	08041700	00065	132888		1	15	1999	2018	20	16.82
USGS	08041700	00065	132888		1	16	1999	2018	20	16.75
USGS	08041700	00065	132888		1	17	1999	2018	20	17.12
USGS	08041700	00065	132888		1	18	1999	2018	20	17.13
USGS	08041700	00065	132888		1	19	1999	2018	20	17.27
USGS	08041700	00065	132888		1	20	1999	2018	20	17.29
USGS	08041700	00065	132888		1	21	1999	2018	20	17.30
USGS	08041700	00065	132888		1	22	1999	2018	20	17.32
USGS	08041700	00065	132888		1	23	1999	2018	20	17.40
USGS	08041700	00065	132888		1	24	1999	2018	20	17.29
USGS	08041700	00065	132888		1	25	1999	2018	20	17.31
USGS	08041700	00065	132888		1	26	1999	2018	20	17.51
USGS	08041700	00065	132888		1	27	1999	2018	20	17.87
USGS	08041700	00065	132888		1	28	1999	2018	20	18.04
USGS	08041700	00065	132888		1	29	1999	2018	20	18.00
USGS	08041700	00065	132888		1	30	1999	2018	20	18.15
USGS	08041700	00065	132888		1	31	1999	2018	20	18.10
USGS	08041700	00065	132888		2	1	1999	2018	20	18.18
USGS	08041700	00065	132888		2	2	1999	2018	20	18.02
USGS	08041700	00065	132888		2	3	1999	2018	20	17.68
USGS	08041700	00065	132888		2	4	2000	2018	19	17.54
USGS	08041700	00065	132888		2	5	2000	2018	19	17.50
USGS	08041700	00065	132888		2	6	2000	2018	19	17.35
USGS	08041700	00065	132888		2	7	2000	2018	19	17.39
USGS	08041700	00065	132888		2	8	2000	2018	19	17.51
USGS	08041700	00065	132888		2	9	1999	2018	20	17.31
USGS	08041700	00065	132888		2	10	1999	2018	20	17.26
USGS	08041700	00065	132888		2	11	1999	2018	20	17.36
USGS	08041700	00065	132888		2	12	1999	2018	20	17.44
USGS	08041700	00065	132888		2	13	1999	2018	20	17.89
USGS	08041700	00065	132888		2	14	1999	2018	20	18.08
USGS	08041700	00065	132888		2	15	1999	2018	20	18.22
USGS	08041700	00065	132888		2	16	1999	2018	20	18.23
USGS	08041700	00065	132888		2	17	2000	2018	19	18.61
USGS	08041700	00065	132888		2	18	1999	2018	20	18.31
