#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08067000     00065          Trinity Rv at Liberty, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08067000	00065	133987		1	1	1939	2018	25	11.92
USGS	08067000	00065	133987		1	2	1939	2018	25	11.81
USGS	08067000	00065	133987		1	3	1939	2018	25	11.71
USGS	08067000	00065	133987		1	4	1939	2018	25	11.64
USGS	08067000	00065	133987		1	5	1939	2018	25	11.53
USGS	08067000	00065	133987		1	6	1939	2018	25	11.56
USGS	08067000	00065	133987		1	7	1939	2018	25	11.65
USGS	08067000	00065	133987		1	8	1939	2018	25	11.70
USGS	08067000	00065	133987		1	9	1939	2018	25	11.66
USGS	08067000	00065	133987		1	10	1939	2018	25	11.70
USGS	08067000	00065	133987		1	11	1939	2018	25	11.85
USGS	08067000	00065	133987		1	12	1939	2018	25	11.76
USGS	08067000	00065	133987		1	13	1939	2018	23	12.09
USGS	08067000	00065	133987		1	14	1939	2018	23	12.22
USGS	08067000	00065	133987		1	15	1939	2018	24	12.41
USGS	08067000	00065	133987		1	16	1939	2018	24	12.54
USGS	08067000	00065	133987		1	17	1939	2018	24	12.49
USGS	08067000	00065	133987		1	18	1939	2018	24	12.55
USGS	08067000	00065	133987		1	19	1939	2018	24	12.81
USGS	08067000	00065	133987		1	20	1939	2018	25	12.78
USGS	08067000	00065	133987		1	21	1939	2018	25	12.55
USGS	08067000	00065	133987		1	22	1939	2018	25	12.26
USGS	08067000	00065	133987		1	23	1939	2018	25	12.09
USGS	08067000	00065	133987		1	24	1939	2018	25	12.32
USGS	08067000	00065	133987		1	25	1939	2018	24	12.84
USGS	08067000	00065	133987		1	26	1939	2018	24	13.15
USGS	08067000	00065	133987		1	27	1939	2018	24	12.93
USGS	08067000	00065	133987		1	28	1939	2018	24	12.52
USGS	08067000	00065	133987		1	29	1939	2018	25	11.87
USGS	08067000	00065	133987		1	30	1939	2018	25	11.81
USGS	08067000	00065	133987		1	31	1939	2018	25	12.16
USGS	08067000	00065	133987		2	1	1939	2018	25	12.10
USGS	08067000	00065	133987		2	2	1939	2018	25	11.99
USGS	08067000	00065	133987		2	3	1939	2018	25	12.01
USGS	08067000	00065	133987		2	4	1939	2018	25	12.07
USGS	08067000	00065	133987		2	5	1939	2018	24	12.10
USGS	08067000	00065	133987		2	6	1939	2018	25	12.52
USGS	08067000	00065	133987		2	7	1939	2018	24	12.99
USGS	08067000	00065	133987		2	8	1939	2018	23	13.22
USGS	08067000	00065	133987		2	9	1939	2018	25	13.21
USGS	08067000	00065	133987		2	10	1939	2018	25	13.03
USGS	08067000	00065	133987		2	11	1939	2018	25	12.95
USGS	08067000	00065	133987		2	12	1939	2018	25	13.20
USGS	08067000	00065	133987		2	13	1939	2018	25	13.43
USGS	08067000	00065	133987		2	14	1939	2018	24	12.83
USGS	08067000	00065	133987		2	15	1939	2018	24	12.51
USGS	08067000	00065	133987		2	16	1939	2018	25	12.93
USGS	08067000	00065	133987		2	17	1939	2018	25	13.30
USGS	08067000	00065	133987		2	18	1939	2018	25	13.68
USGS	08067000	00065	133987		2	19	1939	2018	25	13.51
USGS	08067000	00065	133987		2	20	1939	2018	25	13.23
USGS	08067000	00065	133987		2	21	1939	2018	25	13.40
USGS	08067000	00065	133987		2	22	1939	2018	24	13.88
USGS	08067000	00065	133987		2	23	1939	2018	24	14.25
USGS	08067000	00065	133987		2	24	1939	2018	24	13.59
USGS	08067000	00065	133987		2	25	1939	2018	25	14.14
USGS	08067000	00065	133987		2	26	1939	2018	25	14.36
USGS	08067000	00065	133987		2	27	1939	2018	25	14.59
USGS	08067000	00065	133987		2	28	1939	2018	25	14.51
USGS	08067000	00065	133987		2	29	1940	2016	6	11.56
USGS	08067000	00065	133987		3	1	1939	2018	25	14.24
USGS	08067000	00065	133987		3	2	1939	2018	24	13.67
USGS	08067000	00065	133987		3	3	1939	2018	24	14.02
USGS	08067000	00065	133987		3	4	1939	2018	25	14.55
USGS	08067000	00065	133987		3	5	1939	2018	24	14.08
USGS	08067000	00065	133987		3	6	1939	2018	25	14.45
USGS	08067000	00065	133987		3	7	1939	2018	25	14.16
USGS	08067000	00065	133987		3	8	1939	2018	24	13.47
USGS	08067000	00065	133987		3	9	1939	2018	24	13.35
USGS	08067000	00065	133987		3	10	1939	2018	24	13.42
USGS	08067000	00065	133987		3	11	1939	2018	25	14.20
USGS	08067000	00065	133987		3	12	1939	2018	25	14.45
USGS	08067000	00065	133987		3	13	1939	2018	24	14.42
USGS	08067000	00065	133987		3	14	1939	2018	24	14.71
USGS	08067000	00065	133987		3	15	1939	2018	24	15.02
USGS	08067000	00065	133987		3	16	1939	2018	24	15.28
USGS	08067000	00065	133987		3	17	1939	2018	24	15.27
USGS	08067000	00065	133987		3	18	1939	2018	25	15.15
USGS	08067000	00065	133987		3	19	1939	2018	25	14.86
USGS	08067000	00065	133987		3	20	1939	2018	25	14.47
USGS	08067000	00065	133987		3	21	1939	2018	24	14.32
USGS	08067000	00065	133987		3	22	1939	2018	24	14.43
USGS	08067000	00065	133987		3	23	1939	2018	25	14.60
USGS	08067000	00065	133987		3	24	1939	2018	25	14.35
USGS	08067000	00065	133987		3	25	1939	2018	25	14.20
USGS	08067000	00065	133987		3	26	1939	2018	25	14.22
USGS	08067000	00065	133987		3	27	1939	2018	25	14.30
USGS	08067000	00065	133987		3	28	1939	2018	25	14.37
USGS	08067000	00065	133987		3	29	1939	2018	25	14.75
USGS	08067000	00065	133987		3	30	1939	2018	25	15.00
USGS	08067000	00065	133987		3	31	1939	2018	24	15.24
USGS	08067000	00065	133987		4	1	1939	2018	24	15.31
USGS	08067000	00065	133987		4	2	1939	2018	25	15.03
USGS	08067000	00065	133987		4	3	1939	2018	25	15.06
USGS	08067000	00065	133987		4	4	1939	2017	24	14.69
USGS	08067000	00065	133987		4	5	1939	2017	22	14.85
USGS	08067000	00065	133987		4	6	1939	2017	22	14.76
USGS	08067000	00065	133987		4	7	1939	2017	23	14.43
USGS	08067000	00065	133987		4	8	1939	2017	24	14.77
USGS	08067000	00065	133987		4	9	1939	2017	24	14.86
USGS	08067000	00065	133987		4	10	1939	2017	24	14.69
USGS	08067000	00065	133987		4	11	1939	2017	24	14.25
USGS	08067000	00065	133987		4	12	1939	2017	24	14.08
