#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08067100     00065          Trinity Rv nr Moss Bluff, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08067100	00065	134026		1	1	2003	2018	12	5.95
USGS	08067100	00065	134026		1	2	2003	2018	12	5.96
USGS	08067100	00065	134026		1	3	2003	2018	12	6.06
USGS	08067100	00065	134026		1	4	2003	2018	12	6.05
USGS	08067100	00065	134026		1	5	2003	2018	12	5.88
USGS	08067100	00065	134026		1	6	2003	2018	12	5.65
USGS	08067100	00065	134026		1	7	2003	2018	12	5.80
USGS	08067100	00065	134026		1	8	2003	2018	11	6.56
USGS	08067100	00065	134026		1	9	2003	2018	12	6.23
USGS	08067100	00065	134026		1	10	2003	2018	12	6.38
USGS	08067100	00065	134026		1	11	2003	2018	12	6.43
USGS	08067100	00065	134026		1	12	2003	2018	12	6.52
USGS	08067100	00065	134026		1	13	2003	2018	12	6.11
USGS	08067100	00065	134026		1	14	2003	2018	12	5.84
USGS	08067100	00065	134026		1	15	2003	2018	12	6.05
USGS	08067100	00065	134026		1	16	2003	2018	12	6.41
USGS	08067100	00065	134026		1	17	2003	2017	11	6.99
USGS	08067100	00065	134026		1	18	2003	2017	11	6.92
USGS	08067100	00065	134026		1	19	2003	2018	12	7.06
USGS	08067100	00065	134026		1	20	2003	2018	12	7.59
USGS	08067100	00065	134026		1	21	2003	2018	12	7.64
USGS	08067100	00065	134026		1	22	2003	2018	12	7.63
USGS	08067100	00065	134026		1	23	2003	2018	12	7.42
USGS	08067100	00065	134026		1	24	2003	2018	11	6.60
USGS	08067100	00065	134026		1	25	2003	2018	11	6.84
USGS	08067100	00065	134026		1	26	2003	2018	12	7.75
USGS	08067100	00065	134026		1	27	2003	2018	12	7.61
USGS	08067100	00065	134026		1	28	2003	2018	12	7.25
USGS	08067100	00065	134026		1	29	2003	2017	11	7.25
USGS	08067100	00065	134026		1	30	2003	2018	12	6.44
USGS	08067100	00065	134026		1	31	2003	2018	12	6.33
USGS	08067100	00065	134026		2	1	2003	2018	12	6.29
USGS	08067100	00065	134026		2	2	2003	2018	12	6.14
USGS	08067100	00065	134026		2	3	2003	2018	12	6.15
USGS	08067100	00065	134026		2	4	2003	2018	12	6.26
USGS	08067100	00065	134026		2	5	2003	2018	12	6.31
USGS	08067100	00065	134026		2	6	2003	2018	12	6.23
USGS	08067100	00065	134026		2	7	2003	2018	12	5.92
USGS	08067100	00065	134026		2	8	2003	2018	12	5.92
USGS	08067100	00065	134026		2	9	2003	2018	12	6.26
USGS	08067100	00065	134026		2	10	2003	2018	12	6.22
USGS	08067100	00065	134026		2	11	2003	2018	12	6.26
USGS	08067100	00065	134026		2	12	2003	2018	12	6.54
USGS	08067100	00065	134026		2	13	2003	2018	12	6.84
USGS	08067100	00065	134026		2	14	2003	2018	12	6.73
USGS	08067100	00065	134026		2	15	2003	2018	12	6.46
