#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08067118     00065          Lk Charlotte nr Anahuac, TX ([from Radar])
# USGS        08067118     00065          Lk Charlotte nr Anahuac, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08067118	00065	134032	[from Radar]	1	1	2012	2017	6	9.09
USGS	08067118	00065	134032	[from Radar]	1	2	2012	2017	6	9.07
USGS	08067118	00065	134032	[from Radar]	1	3	2012	2017	6	9.00
USGS	08067118	00065	134032	[from Radar]	1	4	2012	2017	6	9.05
USGS	08067118	00065	134032	[from Radar]	1	5	2012	2017	6	9.12
USGS	08067118	00065	134032	[from Radar]	1	6	2012	2017	6	9.05
USGS	08067118	00065	134032	[from Radar]	1	7	2012	2017	6	8.95
USGS	08067118	00065	134032	[from Radar]	1	8	2012	2017	6	8.97
USGS	08067118	00065	134032	[from Radar]	1	9	2012	2017	6	9.22
USGS	08067118	00065	134032	[from Radar]	1	10	2012	2017	6	9.44
USGS	08067118	00065	134032	[from Radar]	1	11	2012	2017	6	9.42
USGS	08067118	00065	134032	[from Radar]	1	12	2012	2017	6	9.36
USGS	08067118	00065	134032	[from Radar]	1	13	2012	2017	6	9.13
USGS	08067118	00065	134032	[from Radar]	1	14	2012	2017	6	8.85
USGS	08067118	00065	134032	[from Radar]	1	15	2012	2017	6	8.74
USGS	08067118	00065	134032	[from Radar]	1	16	2012	2017	6	8.78
USGS	08067118	00065	134032	[from Radar]	1	17	2012	2017	6	8.76
USGS	08067118	00065	134032	[from Radar]	1	18	2012	2017	6	8.60
USGS	08067118	00065	134032	[from Radar]	1	19	2012	2017	6	8.65
USGS	08067118	00065	134032	[from Radar]	1	20	2012	2017	6	8.82
USGS	08067118	00065	134032	[from Radar]	1	21	2012	2017	6	8.88
USGS	08067118	00065	134032	[from Radar]	1	22	2012	2017	6	8.78
USGS	08067118	00065	134032	[from Radar]	1	23	2012	2017	6	8.76
USGS	08067118	00065	134032	[from Radar]	1	24	2012	2017	6	8.80
USGS	08067118	00065	134032	[from Radar]	1	25	2012	2017	6	8.99
USGS	08067118	00065	134032	[from Radar]	1	26	2012	2017	6	9.21
USGS	08067118	00065	134032	[from Radar]	1	27	2012	2017	6	9.19
USGS	08067118	00065	134032	[from Radar]	1	28	2012	2017	6	9.14
USGS	08067118	00065	134032	[from Radar]	1	29	2012	2017	6	9.06
USGS	08067118	00065	134032	[from Radar]	1	30	2012	2017	6	9.04
USGS	08067118	00065	134032	[from Radar]	1	31	2012	2017	6	9.05
USGS	08067118	00065	134032	[from Radar]	2	1	2012	2017	6	9.06
USGS	08067118	00065	134032	[from Radar]	2	2	2012	2017	6	8.99
USGS	08067118	00065	134032	[from Radar]	2	3	2012	2017	6	8.87
USGS	08067118	00065	134032	[from Radar]	2	4	2012	2017	6	8.83
USGS	08067118	00065	134032	[from Radar]	2	5	2012	2017	6	8.86
USGS	08067118	00065	134032	[from Radar]	2	6	2012	2017	6	8.77
USGS	08067118	00065	134032	[from Radar]	2	7	2012	2017	6	8.80
USGS	08067118	00065	134032	[from Radar]	2	8	2012	2017	6	8.87
USGS	08067118	00065	134032	[from Radar]	2	9	2012	2017	6	8.81
USGS	08067118	00065	134032	[from Radar]	2	10	2012	2017	6	8.81
USGS	08067118	00065	134032	[from Radar]	2	11	2012	2017	6	8.82
USGS	08067118	00065	134032	[from Radar]	2	12	2012	2017	6	8.65
USGS	08067118	00065	134032	[from Radar]	2	13	2012	2017	6	8.40
USGS	08067118	00065	134032	[from Radar]	2	14	2012	2017	6	8.26
USGS	08067118	00065	134032	[from Radar]	2	15	2012	2017	6	8.04
USGS	08067118	00065	134032	[from Radar]	2	16	2012	2017	6	7.68
USGS	08067118	00065	134032	[from Radar]	2	17	2012	2017	6	7.42
USGS	08067118	00065	134032	[from Radar]	2	18	2012	2017	6	7.65
USGS	08067118	00065	134032	[from Radar]	2	19	2012	2017	6	7.91
USGS	08067118	00065	134032	[from Radar]	2	20	2012	2017	6	8.05
USGS	08067118	00065	134032	[from Radar]	2	21	2012	2017	6	8.27
USGS	08067118	00065	134032	[from Radar]	2	22	2012	2017	6	8.40
USGS	08067118	00065	134032	[from Radar]	2	23	2012	2017	6	8.52
USGS	08067118	00065	134032	[from Radar]	2	24	2012	2017	6	8.69
USGS	08067118	00065	134032	[from Radar]	2	25	2012	2017	6	8.85
USGS	08067118	00065	134032	[from Radar]	2	26	2012	2017	6	8.89
USGS	08067118	00065	134032	[from Radar]	2	27	2012	2017	6	8.76
USGS	08067118	00065	134032	[from Radar]	2	28	2012	2017	6	8.79
USGS	08067118	00065	134032	[from Radar]	2	29	2012	2016	2	9.76
USGS	08067118	00065	134032	[from Radar]	3	1	2012	2017	6	8.75
USGS	08067118	00065	134032	[from Radar]	3	2	2012	2017	6	8.61
USGS	08067118	00065	134032	[from Radar]	3	3	2012	2017	6	8.32
USGS	08067118	00065	134032	[from Radar]	3	4	2012	2017	6	8.14
USGS	08067118	00065	134032	[from Radar]	3	5	2012	2017	6	8.12
USGS	08067118	00065	134032	[from Radar]	3	6	2012	2017	6	8.17
USGS	08067118	00065	134032	[from Radar]	3	7	2012	2017	6	8.34
USGS	08067118	00065	134032	[from Radar]	3	8	2012	2017	6	8.42
USGS	08067118	00065	134032	[from Radar]	3	9	2012	2017	6	8.45
USGS	08067118	00065	134032	[from Radar]	3	10	2012	2017	6	8.53
USGS	08067118	00065	134032	[from Radar]	3	11	2012	2017	6	8.72
USGS	08067118	00065	134032	[from Radar]	3	12	2012	2017	6	8.99
USGS	08067118	00065	134032	[from Radar]	3	13	2012	2017	6	9.35
USGS	08067118	00065	134032	[from Radar]	3	14	2012	2017	6	9.53
USGS	08067118	00065	134032	[from Radar]	3	15	2012	2017	6	9.69
USGS	08067118	00065	134032	[from Radar]	3	16	2012	2017	6	9.88
USGS	08067118	00065	134032	[from Radar]	3	17	2012	2017	6	9.96
USGS	08067118	00065	134032	[from Radar]	3	18	2012	2017	6	10.02
USGS	08067118	00065	134032	[from Radar]	3	19	2012	2017	6	10.01
USGS	08067118	00065	134032	[from Radar]	3	20	2012	2017	6	9.84
USGS	08067118	00065	134032	[from Radar]	3	21	2012	2017	6	9.64
USGS	08067118	00065	134032	[from Radar]	3	22	2012	2017	6	9.68
USGS	08067118	00065	134032	[from Radar]	3	23	2012	2017	6	9.63
USGS	08067118	00065	134032	[from Radar]	3	24	2012	2017	6	9.70
USGS	08067118	00065	134032	[from Radar]	3	25	2012	2017	6	9.86
USGS	08067118	00065	134032	[from Radar]	3	26	2012	2017	6	9.76
USGS	08067118	00065	134032	[from Radar]	3	27	2012	2017	6	9.88
USGS	08067118	00065	134032	[from Radar]	3	28	2012	2017	6	9.93
USGS	08067118	00065	134032	[from Radar]	3	29	2012	2017	6	10.08
USGS	08067118	00065	134032	[from Radar]	3	30	2012	2017	6	10.06
