#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08067500     00065          Cedar Bayou nr Crosby, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08067500	00065	134097		1	1	1998	2018	20	20.83
USGS	08067500	00065	134097		1	2	1998	2018	21	20.53
USGS	08067500	00065	134097		1	3	1998	2018	21	20.58
USGS	08067500	00065	134097		1	4	1998	2018	21	20.60
USGS	08067500	00065	134097		1	5	1998	2018	20	19.46
USGS	08067500	00065	134097		1	6	1998	2018	21	20.54
USGS	08067500	00065	134097		1	7	1998	2018	20	21.77
USGS	08067500	00065	134097		1	8	1998	2018	20	21.62
USGS	08067500	00065	134097		1	9	1998	2018	21	20.79
USGS	08067500	00065	134097		1	10	1998	2018	21	20.63
USGS	08067500	00065	134097		1	11	1998	2018	21	20.88
USGS	08067500	00065	134097		1	12	1998	2018	21	20.73
USGS	08067500	00065	134097		1	13	1998	2018	21	20.38
USGS	08067500	00065	134097		1	14	1998	2018	20	19.60
USGS	08067500	00065	134097		1	15	1998	2018	20	19.56
USGS	08067500	00065	134097		1	16	1998	2018	20	19.66
USGS	08067500	00065	134097		1	17	1998	2018	21	20.96
USGS	08067500	00065	134097		1	18	1998	2018	21	20.84
