#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08067525     00065          Goose Ck at Baytown, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08067525	00065	134101		1	1	2008	2018	11	6.71
USGS	08067525	00065	134101		1	2	2008	2018	11	6.68
USGS	08067525	00065	134101		1	3	2008	2018	11	6.92
USGS	08067525	00065	134101		1	4	2008	2018	11	6.67
USGS	08067525	00065	134101		1	5	2008	2018	11	6.69
USGS	08067525	00065	134101		1	6	2008	2018	11	6.68
USGS	08067525	00065	134101		1	7	2008	2018	11	6.79
USGS	08067525	00065	134101		1	8	2008	2018	11	6.78
USGS	08067525	00065	134101		1	9	2008	2018	11	7.27
USGS	08067525	00065	134101		1	10	2008	2018	11	6.80
USGS	08067525	00065	134101		1	11	2008	2018	11	6.85
USGS	08067525	00065	134101		1	12	2008	2018	10	6.71
USGS	08067525	00065	134101		1	13	2008	2018	10	6.66
USGS	08067525	00065	134101		1	14	2008	2018	11	6.66
USGS	08067525	00065	134101		1	15	2008	2018	10	6.63
USGS	08067525	00065	134101		1	16	2008	2018	11	7.00
USGS	08067525	00065	134101		1	17	2008	2018	11	6.80
USGS	08067525	00065	134101		1	18	2008	2018	11	6.77
USGS	08067525	00065	134101		1	19	2008	2018	9	7.02
USGS	08067525	00065	134101		1	20	2008	2018	9	6.81
USGS	08067525	00065	134101		1	21	2008	2018	10	6.77
USGS	08067525	00065	134101		1	22	2008	2018	11	6.88
USGS	08067525	00065	134101		1	23	2008	2018	11	6.78
USGS	08067525	00065	134101		1	24	2008	2018	11	6.87
USGS	08067525	00065	134101		1	25	2008	2018	11	6.87
USGS	08067525	00065	134101		1	26	2008	2018	11	6.79
USGS	08067525	00065	134101		1	27	2008	2018	11	6.75
USGS	08067525	00065	134101		1	28	2008	2018	11	6.66
USGS	08067525	00065	134101		1	29	2008	2018	11	6.82
USGS	08067525	00065	134101		1	30	2008	2018	11	6.68
USGS	08067525	00065	134101		1	31	2008	2018	11	6.68
USGS	08067525	00065	134101		2	1	2008	2018	11	6.66
USGS	08067525	00065	134101		2	2	2008	2018	11	6.65
USGS	08067525	00065	134101		2	3	2008	2018	11	6.63
USGS	08067525	00065	134101		2	4	2008	2018	11	6.99
USGS	08067525	00065	134101		2	5	2008	2018	11	6.73
USGS	08067525	00065	134101		2	6	2008	2018	11	6.68
USGS	08067525	00065	134101		2	7	2008	2018	11	6.68
USGS	08067525	00065	134101		2	8	2008	2018	11	6.66
USGS	08067525	00065	134101		2	9	2008	2018	11	6.69
USGS	08067525	00065	134101		2	10	2008	2018	11	6.95
USGS	08067525	00065	134101		2	11	2008	2018	11	6.87
USGS	08067525	00065	134101		2	12	2008	2018	11	6.89
USGS	08067525	00065	134101		2	13	2008	2018	11	6.77
USGS	08067525	00065	134101		2	14	2008	2018	11	6.79
USGS	08067525	00065	134101		2	15	2008	2018	11	6.74
USGS	08067525	00065	134101		2	16	2008	2018	11	6.82
USGS	08067525	00065	134101		2	17	2008	2018	11	6.88
USGS	08067525	00065	134101		2	18	2008	2018	11	7.07
USGS	08067525	00065	134101		2	19	2008	2018	11	6.76
USGS	08067525	00065	134101		2	20	2008	2018	11	6.89
USGS	08067525	00065	134101		2	21	2008	2018	11	7.04
USGS	08067525	00065	134101		2	22	2008	2018	11	6.83
USGS	08067525	00065	134101		2	23	2008	2018	10	6.78
USGS	08067525	00065	134101		2	24	2008	2018	10	6.65
USGS	08067525	00065	134101		2	25	2008	2018	10	6.64
USGS	08067525	00065	134101		2	26	2008	2018	10	6.82
USGS	08067525	00065	134101		2	27	2008	2018	10	6.64
USGS	08067525	00065	134101		2	28	2008	2018	10	6.58
USGS	08067525	00065	134101		2	29	2008	2016	3	6.97
USGS	08067525	00065	134101		3	1	2008	2018	10	6.58
USGS	08067525	00065	134101		3	2	2008	2018	11	6.61
USGS	08067525	00065	134101		3	3	2008	2018	11	6.60
