#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068090     00065          W Fk San Jacinto Rv abv Lk Houston nr Porter, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068090	00065	134175		1	1	1996	2016	19	12.86
USGS	08068090	00065	134175		1	2	1996	2016	18	12.90
USGS	08068090	00065	134175		1	3	1996	2015	18	12.71
USGS	08068090	00065	134175		1	4	1996	2015	18	12.67
USGS	08068090	00065	134175		1	5	1996	2015	18	12.77
USGS	08068090	00065	134175		1	6	1996	2016	17	12.49
USGS	08068090	00065	134175		1	7	1996	2016	17	12.67
USGS	08068090	00065	134175		1	8	1996	2016	19	12.71
USGS	08068090	00065	134175		1	9	1996	2016	19	12.73
USGS	08068090	00065	134175		1	10	1996	2015	18	12.87
USGS	08068090	00065	134175		1	11	1996	2015	17	12.59
USGS	08068090	00065	134175		1	12	1996	2015	17	12.31
USGS	08068090	00065	134175		1	13	1996	2016	19	12.41
USGS	08068090	00065	134175		1	14	1996	2016	19	12.39
USGS	08068090	00065	134175		1	15	1996	2016	19	12.64
USGS	08068090	00065	134175		1	16	1996	2016	19	12.85
USGS	08068090	00065	134175		1	17	1996	2016	19	13.35
USGS	08068090	00065	134175		1	18	1996	2016	19	13.21
USGS	08068090	00065	134175		1	19	1996	2016	18	13.43
