#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068275     00065          Spring Ck nr Tomball, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068275	00065	134178		1	1	2000	2017	17	139.49
USGS	08068275	00065	134178		1	2	2000	2017	17	139.34
USGS	08068275	00065	134178		1	3	2000	2017	18	139.27
USGS	08068275	00065	134178		1	4	2000	2017	18	139.39
USGS	08068275	00065	134178		1	5	2000	2017	18	139.29
USGS	08068275	00065	134178		1	6	2000	2017	18	139.18
USGS	08068275	00065	134178		1	7	2000	2017	18	139.10
USGS	08068275	00065	134178		1	8	2000	2017	18	139.21
USGS	08068275	00065	134178		1	9	2000	2017	17	139.40
USGS	08068275	00065	134178		1	10	2000	2017	17	140.13
USGS	08068275	00065	134178		1	11	2000	2017	16	140.21
USGS	08068275	00065	134178		1	12	2000	2017	17	139.68
USGS	08068275	00065	134178		1	13	2000	2017	17	139.49
USGS	08068275	00065	134178		1	14	2000	2017	17	139.59
USGS	08068275	00065	134178		1	15	2000	2017	17	139.44
USGS	08068275	00065	134178		1	16	2000	2017	17	139.49
USGS	08068275	00065	134178		1	17	2000	2017	17	140.08
USGS	08068275	00065	134178		1	18	2000	2017	18	140.21
USGS	08068275	00065	134178		1	19	2000	2017	18	140.38
USGS	08068275	00065	134178		1	20	2000	2017	18	140.07
USGS	08068275	00065	134178		1	21	2000	2017	18	139.68
USGS	08068275	00065	134178		1	22	2000	2017	18	139.62
USGS	08068275	00065	134178		1	23	2000	2017	18	139.70
USGS	08068275	00065	134178		1	24	2000	2017	18	139.62
USGS	08068275	00065	134178		1	25	2000	2017	18	140.17
USGS	08068275	00065	134178		1	26	2000	2017	18	140.25
USGS	08068275	00065	134178		1	27	2000	2017	18	139.86
USGS	08068275	00065	134178		1	28	2000	2017	18	139.41
USGS	08068275	00065	134178		1	29	2000	2017	18	139.64
USGS	08068275	00065	134178		1	30	2000	2017	18	139.82
USGS	08068275	00065	134178		1	31	2000	2017	18	139.67
USGS	08068275	00065	134178		2	1	2000	2017	18	139.54
USGS	08068275	00065	134178		2	2	2000	2017	18	139.45
USGS	08068275	00065	134178		2	3	2000	2017	18	139.35
USGS	08068275	00065	134178		2	4	2000	2017	18	139.30
USGS	08068275	00065	134178		2	5	2000	2017	18	139.60
USGS	08068275	00065	134178		2	6	2000	2017	18	139.61
USGS	08068275	00065	134178		2	7	2000	2017	18	139.50
USGS	08068275	00065	134178		2	8	2000	2017	18	139.55
USGS	08068275	00065	134178		2	9	2000	2017	18	139.55
USGS	08068275	00065	134178		2	10	2000	2017	18	139.57
USGS	08068275	00065	134178		2	11	2000	2017	18	139.72
USGS	08068275	00065	134178		2	12	2000	2017	18	139.87
USGS	08068275	00065	134178		2	13	2000	2017	18	139.82
USGS	08068275	00065	134178		2	14	2000	2017	18	139.80
USGS	08068275	00065	134178		2	15	2000	2017	18	139.67
USGS	08068275	00065	134178		2	16	2000	2017	18	139.66
USGS	08068275	00065	134178		2	17	2000	2017	18	139.67
USGS	08068275	00065	134178		2	18	2000	2017	18	139.66
USGS	08068275	00065	134178		2	19	2000	2017	18	139.61
USGS	08068275	00065	134178		2	20	2000	2017	18	139.59
USGS	08068275	00065	134178		2	21	2000	2017	18	140.05
USGS	08068275	00065	134178		2	22	2000	2017	18	140.19
USGS	08068275	00065	134178		2	23	2000	2017	18	139.95
USGS	08068275	00065	134178		2	24	2000	2017	18	139.95
USGS	08068275	00065	134178		2	25	2000	2017	18	139.93
USGS	08068275	00065	134178		2	26	2000	2017	18	139.84
USGS	08068275	00065	134178		2	27	2000	2017	18	139.67
USGS	08068275	00065	134178		2	28	2000	2017	18	139.52
USGS	08068275	00065	134178		2	29	2000	2016	5	139.17
USGS	08068275	00065	134178		3	1	2000	2017	18	139.52
USGS	08068275	00065	134178		3	2	2000	2017	18	139.63
USGS	08068275	00065	134178		3	3	2000	2017	18	139.84
USGS	08068275	00065	134178		3	4	2000	2017	17	139.93
USGS	08068275	00065	134178		3	5	2000	2017	18	139.78
USGS	08068275	00065	134178		3	6	2000	2017	18	139.51
USGS	08068275	00065	134178		3	7	2000	2017	18	139.40
USGS	08068275	00065	134178		3	8	2000	2017	18	139.47
USGS	08068275	00065	134178		3	9	2000	2017	18	140.04
USGS	08068275	00065	134178		3	10	2000	2017	18	140.85
USGS	08068275	00065	134178		3	11	2000	2017	18	141.29
USGS	08068275	00065	134178		3	12	2000	2017	18	141.15
USGS	08068275	00065	134178		3	13	2000	2017	18	140.84
USGS	08068275	00065	134178		3	14	2000	2017	18	140.49
USGS	08068275	00065	134178		3	15	2000	2017	18	140.40
USGS	08068275	00065	134178		3	16	2000	2017	18	140.26
USGS	08068275	00065	134178		3	17	2000	2017	18	139.95
USGS	08068275	00065	134178		3	18	2000	2017	18	139.47
USGS	08068275	00065	134178		3	19	2000	2017	17	139.29
USGS	08068275	00065	134178		3	20	2000	2017	17	139.50
USGS	08068275	00065	134178		3	21	2000	2017	18	139.74
USGS	08068275	00065	134178		3	22	2000	2017	18	139.83
USGS	08068275	00065	134178		3	23	2000	2017	18	139.59
USGS	08068275	00065	134178		3	24	2000	2017	18	139.27
USGS	08068275	00065	134178		3	25	2000	2017	18	139.08
USGS	08068275	00065	134178		3	26	2000	2017	18	139.15
USGS	08068275	00065	134178		3	27	2000	2017	18	139.43
USGS	08068275	00065	134178		3	28	2000	2017	18	139.83
USGS	08068275	00065	134178		3	29	2000	2017	18	139.68
USGS	08068275	00065	134178		3	30	2000	2017	18	139.37
USGS	08068275	00065	134178		3	31	2000	2017	17	139.17
USGS	08068275	00065	134178		4	1	2000	2017	17	139.19
USGS	08068275	00065	134178		4	2	2000	2017	18	139.07
USGS	08068275	00065	134178		4	3	2000	2017	18	139.49
USGS	08068275	00065	134178		4	4	2000	2017	17	139.45
USGS	08068275	00065	134178		4	5	2000	2017	17	139.06
USGS	08068275	00065	134178		4	6	2000	2017	18	138.83
USGS	08068275	00065	134178		4	7	2000	2017	18	138.78
USGS	08068275	00065	134178		4	8	2000	2017	18	139.06
USGS	08068275	00065	134178		4	9	2000	2017	18	139.25
USGS	08068275	00065	134178		4	10	2000	2017	18	139.06
USGS	08068275	00065	134178		4	11	2000	2017	18	139.17
USGS	08068275	00065	134178		4	12	2000	2017	18	139.23
USGS	08068275	00065	134178		4	13	2000	2017	18	139.30
USGS	08068275	00065	134178		4	14	2000	2017	18	139.20
USGS	08068275	00065	134178		4	15	2000	2017	18	138.96
USGS	08068275	00065	134178		4	16	2000	2017	18	138.77
USGS	08068275	00065	134178		4	17	2000	2017	18	139.12
USGS	08068275	00065	134178		4	18	2000	2017	18	140.29
USGS	08068275	00065	134178		4	19	2000	2017	18	140.59
USGS	08068275	00065	134178		4	20	2000	2017	17	139.94
USGS	08068275	00065	134178		4	21	2000	2017	18	139.66
USGS	08068275	00065	134178		4	22	2000	2017	18	139.36
USGS	08068275	00065	134178		4	23	2000	2017	18	139.11
USGS	08068275	00065	134178		4	24	2000	2017	18	139.02
USGS	08068275	00065	134178		4	25	2000	2017	18	138.89
USGS	08068275	00065	134178		4	26	2000	2017	18	139.01
USGS	08068275	00065	134178		4	27	2000	2017	18	139.14
USGS	08068275	00065	134178		4	28	2000	2017	18	139.89
USGS	08068275	00065	134178		4	29	2000	2017	18	139.50
USGS	08068275	00065	134178		4	30	2000	2017	18	139.21
USGS	08068275	00065	134178		5	1	2000	2017	18	139.73
USGS	08068275	00065	134178		5	2	2000	2017	18	139.58
USGS	08068275	00065	134178		5	3	2000	2017	18	139.40
USGS	08068275	00065	134178		5	4	2000	2017	17	139.14
USGS	08068275	00065	134178		5	5	2000	2017	18	139.11
USGS	08068275	00065	134178		5	6	2000	2017	17	139.41
USGS	08068275	00065	134178		5	7	2000	2017	17	139.32
USGS	08068275	00065	134178		5	8	2000	2017	17	139.14
USGS	08068275	00065	134178		5	9	2000	2017	18	138.79
USGS	08068275	00065	134178		5	10	2000	2017	18	138.70
USGS	08068275	00065	134178		5	11	2000	2017	18	138.81
USGS	08068275	00065	134178		5	12	2000	2017	18	139.09
USGS	08068275	00065	134178		5	13	2000	2017	18	139.49
USGS	08068275	00065	134178		5	14	2000	2017	18	139.98
USGS	08068275	00065	134178		5	15	2000	2017	18	140.21
USGS	08068275	00065	134178		5	16	2000	2017	18	140.26
USGS	08068275	00065	134178		5	17	2000	2017	18	139.58
USGS	08068275	00065	134178		5	18	2000	2016	17	139.46
USGS	08068275	00065	134178		5	19	2000	2016	17	139.49
USGS	08068275	00065	134178		5	20	2000	2017	18	139.74
USGS	08068275	00065	134178		5	21	2000	2017	17	139.80
USGS	08068275	00065	134178		5	22	2000	2017	16	139.51
USGS	08068275	00065	134178		5	23	2000	2017	17	139.18
