#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068390     00065          Bear Br at Research Blvd, The Woodlands, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068390	00065	134201		1	1	2004	2018	15	72.99
USGS	08068390	00065	134201		1	2	2004	2018	15	73.15
USGS	08068390	00065	134201		1	3	2004	2018	14	69.07
USGS	08068390	00065	134201		1	4	2004	2018	14	69.14
USGS	08068390	00065	134201		1	5	2004	2018	15	73.18
USGS	08068390	00065	134201		1	6	2004	2018	15	73.08
USGS	08068390	00065	134201		1	7	2004	2018	15	73.18
USGS	08068390	00065	134201		1	8	2004	2018	15	73.26
USGS	08068390	00065	134201		1	9	2004	2018	15	73.85
USGS	08068390	00065	134201		1	10	2004	2018	15	73.78
USGS	08068390	00065	134201		1	11	2004	2018	15	73.52
USGS	08068390	00065	134201		1	12	2004	2018	15	73.11
USGS	08068390	00065	134201		1	13	2004	2018	15	73.22
USGS	08068390	00065	134201		1	14	2004	2018	15	73.11
USGS	08068390	00065	134201		1	15	2004	2018	15	73.15
USGS	08068390	00065	134201		1	16	2004	2018	15	73.49
USGS	08068390	00065	134201		1	17	2004	2018	15	73.77
USGS	08068390	00065	134201		1	18	2004	2018	15	73.72
USGS	08068390	00065	134201		1	19	2004	2018	15	73.72
USGS	08068390	00065	134201		1	20	2004	2018	15	73.32
USGS	08068390	00065	134201		1	21	2004	2018	15	73.37
USGS	08068390	00065	134201		1	22	2004	2018	15	73.38
USGS	08068390	00065	134201		1	23	2004	2018	15	73.27
USGS	08068390	00065	134201		1	24	2004	2018	15	73.69
USGS	08068390	00065	134201		1	25	2004	2018	15	73.79
USGS	08068390	00065	134201		1	26	2004	2018	15	73.64
USGS	08068390	00065	134201		1	27	2004	2018	15	73.52
USGS	08068390	00065	134201		1	28	2004	2018	15	73.46
USGS	08068390	00065	134201		1	29	2004	2018	15	73.57
USGS	08068390	00065	134201		1	30	2004	2018	15	73.47
USGS	08068390	00065	134201		1	31	2004	2018	15	73.59
USGS	08068390	00065	134201		2	1	2004	2018	15	73.59
USGS	08068390	00065	134201		2	2	2004	2018	15	73.47
USGS	08068390	00065	134201		2	3	2004	2018	15	73.35
USGS	08068390	00065	134201		2	4	2004	2018	15	73.49
USGS	08068390	00065	134201		2	5	2004	2018	15	73.40
USGS	08068390	00065	134201		2	6	2004	2018	15	73.22
USGS	08068390	00065	134201		2	7	2004	2018	15	73.30
USGS	08068390	00065	134201		2	8	2004	2018	15	73.33
USGS	08068390	00065	134201		2	9	2004	2018	15	73.37
USGS	08068390	00065	134201		2	10	2004	2018	15	73.84
USGS	08068390	00065	134201		2	11	2004	2018	15	73.95
USGS	08068390	00065	134201		2	12	2004	2018	15	73.92
USGS	08068390	00065	134201		2	13	2004	2018	15	73.74
USGS	08068390	00065	134201		2	14	2004	2018	15	73.61
USGS	08068390	00065	134201		2	15	2004	2018	14	69.22
USGS	08068390	00065	134201		2	16	2004	2018	14	69.37
USGS	08068390	00065	134201		2	17	2004	2018	15	73.49
USGS	08068390	00065	134201		2	18	2004	2018	15	73.51
USGS	08068390	00065	134201		2	19	2004	2018	15	73.34
USGS	08068390	00065	134201		2	20	2004	2018	15	73.41
USGS	08068390	00065	134201		2	21	2004	2018	15	73.61
USGS	08068390	00065	134201		2	22	2004	2018	15	73.44
USGS	08068390	00065	134201		2	23	2004	2018	15	73.46
USGS	08068390	00065	134201		2	24	2004	2018	15	73.40
USGS	08068390	00065	134201		2	25	2004	2018	15	73.66
USGS	08068390	00065	134201		2	26	2004	2018	15	73.72
USGS	08068390	00065	134201		2	27	2004	2018	15	73.42
USGS	08068390	00065	134201		2	28	2004	2018	15	73.07
USGS	08068390	00065	134201		2	29	2004	2016	4	68.72
USGS	08068390	00065	134201		3	1	2004	2018	15	73.09
USGS	08068390	00065	134201		3	2	2004	2018	15	73.02
USGS	08068390	00065	134201		3	3	2004	2018	15	72.98
USGS	08068390	00065	134201		3	4	2004	2018	14	68.68
USGS	08068390	00065	134201		3	5	2004	2018	15	72.95
USGS	08068390	00065	134201		3	6	2004	2018	15	72.92
USGS	08068390	00065	134201		3	7	2004	2018	15	73.06
USGS	08068390	00065	134201		3	8	2004	2018	15	73.15
USGS	08068390	00065	134201		3	9	2004	2018	15	73.79
USGS	08068390	00065	134201		3	10	2004	2018	15	74.01
USGS	08068390	00065	134201		3	11	2004	2018	15	73.88
USGS	08068390	00065	134201		3	12	2004	2018	15	73.83
USGS	08068390	00065	134201		3	13	2004	2018	15	73.59
USGS	08068390	00065	134201		3	14	2004	2018	15	73.71
USGS	08068390	00065	134201		3	15	2004	2018	15	73.50
USGS	08068390	00065	134201		3	16	2004	2018	15	73.33
USGS	08068390	00065	134201		3	17	2004	2018	15	73.04
USGS	08068390	00065	134201		3	18	2004	2018	15	72.90
USGS	08068390	00065	134201		3	19	2004	2018	15	72.89
USGS	08068390	00065	134201		3	20	2004	2018	15	73.49
USGS	08068390	00065	134201		3	21	2004	2018	15	73.52
USGS	08068390	00065	134201		3	22	2004	2018	15	73.22
USGS	08068390	00065	134201		3	23	2004	2018	15	72.95
USGS	08068390	00065	134201		3	24	2004	2018	15	72.95
USGS	08068390	00065	134201		3	25	2004	2018	15	72.94
USGS	08068390	00065	134201		3	26	2004	2018	15	73.05
USGS	08068390	00065	134201		3	27	2004	2018	15	73.13
USGS	08068390	00065	134201		3	28	2004	2018	15	73.29
USGS	08068390	00065	134201		3	29	2004	2018	15	73.53
USGS	08068390	00065	134201		3	30	2004	2018	15	73.28
USGS	08068390	00065	134201		3	31	2004	2018	15	73.20
USGS	08068390	00065	134201		4	1	2004	2018	14	77.77
USGS	08068390	00065	134201		4	2	2004	2018	15	72.93
USGS	08068390	00065	134201		4	3	2004	2018	15	73.04
USGS	08068390	00065	134201		4	4	2004	2018	15	72.87
USGS	08068390	00065	134201		4	5	2004	2018	15	72.72
USGS	08068390	00065	134201		4	6	2004	2018	15	72.66
USGS	08068390	00065	134201		4	7	2004	2018	15	72.67
USGS	08068390	00065	134201		4	8	2004	2018	15	72.75
USGS	08068390	00065	134201		4	9	2004	2018	15	72.65
USGS	08068390	00065	134201		4	10	2004	2018	15	72.70
USGS	08068390	00065	134201		4	11	2004	2018	15	73.25
USGS	08068390	00065	134201		4	12	2004	2018	15	73.18
USGS	08068390	00065	134201		4	13	2004	2018	15	73.16
USGS	08068390	00065	134201		4	14	2004	2018	15	73.05
USGS	08068390	00065	134201		4	15	2004	2018	15	72.85
USGS	08068390	00065	134201		4	16	2004	2018	15	72.88
USGS	08068390	00065	134201		4	17	2004	2018	15	73.16
USGS	08068390	00065	134201		4	18	2004	2018	15	74.00
USGS	08068390	00065	134201		4	19	2004	2018	15	73.78
USGS	08068390	00065	134201		4	20	2004	2018	15	73.55
USGS	08068390	00065	134201		4	21	2004	2018	15	73.48
USGS	08068390	00065	134201		4	22	2004	2018	15	73.34
USGS	08068390	00065	134201		4	23	2004	2018	15	73.00
USGS	08068390	00065	134201		4	24	2004	2018	15	72.89
USGS	08068390	00065	134201		4	25	2004	2018	15	73.05
USGS	08068390	00065	134201		4	26	2004	2018	15	72.82
USGS	08068390	00065	134201		4	27	2004	2018	15	73.15
USGS	08068390	00065	134201		4	28	2004	2018	14	69.41
USGS	08068390	00065	134201		4	29	2004	2018	14	69.43
USGS	08068390	00065	134201		4	30	2004	2018	13	64.52
USGS	08068390	00065	134201		5	1	2004	2018	14	69.52
USGS	08068390	00065	134201		5	2	2004	2018	15	73.51
USGS	08068390	00065	134201		5	3	2004	2018	15	73.39
USGS	08068390	00065	134201		5	4	2004	2018	15	73.23
USGS	08068390	00065	134201		5	5	2004	2018	15	73.38
USGS	08068390	00065	134201		5	6	2004	2018	15	73.42
USGS	08068390	00065	134201		5	7	2004	2018	15	73.16
USGS	08068390	00065	134201		5	8	2004	2018	15	73.03
USGS	08068390	00065	134201		5	9	2004	2018	15	72.90
USGS	08068390	00065	134201		5	10	2004	2018	15	72.80
USGS	08068390	00065	134201		5	11	2004	2018	15	72.90
USGS	08068390	00065	134201		5	12	2004	2018	15	73.01
USGS	08068390	00065	134201		5	13	2004	2018	14	78.25
USGS	08068390	00065	134201		5	14	2004	2018	14	78.44
USGS	08068390	00065	134201		5	15	2004	2018	13	84.11
USGS	08068390	00065	134201		5	16	2004	2018	13	83.69
USGS	08068390	00065	134201		5	17	2004	2018	13	83.34
USGS	08068390	00065	134201		5	18	2004	2018	14	77.74
USGS	08068390	00065	134201		5	19	2004	2018	15	72.91
USGS	08068390	00065	134201		5	20	2004	2018	15	72.96
USGS	08068390	00065	134201		5	21	2004	2018	15	73.08
USGS	08068390	00065	134201		5	22	2004	2018	15	73.36
USGS	08068390	00065	134201		5	23	2004	2018	15	73.08
USGS	08068390	00065	134201		5	24	2004	2018	15	73.00
USGS	08068390	00065	134201		5	25	2004	2018	15	73.05
USGS	08068390	00065	134201		5	26	2004	2018	15	73.49
USGS	08068390	00065	134201		5	27	2004	2018	15	74.31
USGS	08068390	00065	134201		5	28	2004	2018	15	74.07
USGS	08068390	00065	134201		5	29	2004	2018	15	74.19
USGS	08068390	00065	134201		5	30	2004	2018	15	73.81
USGS	08068390	00065	134201		5	31	2004	2018	15	73.42
USGS	08068390	00065	134201		6	1	2004	2018	15	73.34
USGS	08068390	00065	134201		6	2	2004	2018	15	73.48
USGS	08068390	00065	134201		6	3	2004	2018	15	73.38
USGS	08068390	00065	134201		6	4	2004	2018	15	73.19
USGS	08068390	00065	134201		6	5	2004	2018	15	72.92
USGS	08068390	00065	134201		6	6	2004	2018	15	72.77
USGS	08068390	00065	134201		6	7	2004	2018	15	72.63
USGS	08068390	00065	134201		6	8	2004	2018	15	72.77
USGS	08068390	00065	134201		6	9	2004	2018	15	72.82
USGS	08068390	00065	134201		6	10	2004	2018	15	72.59
USGS	08068390	00065	134201		6	11	2004	2018	15	72.49
USGS	08068390	00065	134201		6	12	2004	2018	15	72.67
USGS	08068390	00065	134201		6	13	2004	2018	15	72.90
USGS	08068390	00065	134201		6	14	2004	2018	15	72.94
USGS	08068390	00065	134201		6	15	2004	2018	15	73.11
USGS	08068390	00065	134201		6	16	2004	2018	14	68.91
USGS	08068390	00065	134201		6	17	2004	2018	14	69.10
USGS	08068390	00065	134201		6	18	2004	2018	14	69.12
USGS	08068390	00065	134201		6	19	2004	2018	13	74.10
USGS	08068390	00065	134201		6	20	2004	2018	15	73.60
USGS	08068390	00065	134201		6	21	2004	2018	15	73.32
USGS	08068390	00065	134201		6	22	2004	2018	15	73.15
USGS	08068390	00065	134201		6	23	2004	2018	15	72.93
USGS	08068390	00065	134201		6	24	2004	2018	15	72.90
USGS	08068390	00065	134201		6	25	2004	2018	15	73.09
USGS	08068390	00065	134201		6	26	2004	2018	15	72.92
USGS	08068390	00065	134201		6	27	2004	2018	15	72.79
USGS	08068390	00065	134201		6	28	2004	2018	14	68.81
USGS	08068390	00065	134201		6	29	2004	2018	14	68.70
USGS	08068390	00065	134201		6	30	2004	2018	13	63.88
USGS	08068390	00065	134201		7	1	2004	2018	14	68.69
USGS	08068390	00065	134201		7	2	2004	2018	14	69.11
USGS	08068390	00065	134201		7	3	2004	2018	14	69.15
USGS	08068390	00065	134201		7	4	2004	2018	14	69.24
USGS	08068390	00065	134201		7	5	2004	2018	14	69.30
USGS	08068390	00065	134201		7	6	2004	2018	14	69.05
USGS	08068390	00065	134201		7	7	2004	2018	15	73.34
USGS	08068390	00065	134201		7	8	2004	2018	15	73.35
USGS	08068390	00065	134201		7	9	2004	2018	15	72.94
USGS	08068390	00065	134201		7	10	2004	2018	15	73.12
USGS	08068390	00065	134201		7	11	2004	2018	14	69.09
USGS	08068390	00065	134201		7	12	2004	2018	15	73.36
USGS	08068390	00065	134201		7	13	2004	2018	15	73.50
USGS	08068390	00065	134201		7	14	2004	2018	15	73.18
USGS	08068390	00065	134201		7	15	2004	2018	15	73.45
USGS	08068390	00065	134201		7	16	2004	2018	15	73.17
USGS	08068390	00065	134201		7	17	2004	2018	15	73.15
USGS	08068390	00065	134201		7	18	2004	2018	15	73.03
USGS	08068390	00065	134201		7	19	2004	2018	15	72.99
USGS	08068390	00065	134201		7	20	2004	2018	15	73.00
USGS	08068390	00065	134201		7	21	2004	2018	15	72.85
USGS	08068390	00065	134201		7	22	2004	2018	15	72.72
USGS	08068390	00065	134201		7	23	2004	2018	15	72.53
USGS	08068390	00065	134201		7	24	2004	2017	14	68.34
USGS	08068390	00065	134201		7	25	2004	2017	14	68.25
USGS	08068390	00065	134201		7	26	2004	2017	14	68.45
USGS	08068390	00065	134201		7	27	2004	2017	14	68.40
USGS	08068390	00065	134201		7	28	2004	2017	14	68.38
USGS	08068390	00065	134201		7	29	2004	2017	14	68.27
USGS	08068390	00065	134201		7	30	2004	2017	14	68.25
USGS	08068390	00065	134201		7	31	2004	2017	14	68.28
USGS	08068390	00065	134201		8	1	2004	2017	14	68.26
USGS	08068390	00065	134201		8	2	2004	2017	13	63.48
USGS	08068390	00065	134201		8	3	2004	2017	13	63.43
USGS	08068390	00065	134201		8	4	2004	2017	13	63.38
USGS	08068390	00065	134201		8	5	2004	2017	13	63.50
USGS	08068390	00065	134201		8	6	2004	2017	12	68.32
USGS	08068390	00065	134201		8	7	2004	2017	12	68.33
USGS	08068390	00065	134201		8	8	2004	2017	12	68.73
USGS	08068390	00065	134201		8	9	2004	2017	12	68.71
USGS	08068390	00065	134201		8	10	2004	2017	12	68.60
USGS	08068390	00065	134201		8	11	2004	2017	11	62.78
USGS	08068390	00065	134201		8	12	2004	2017	13	63.38
USGS	08068390	00065	134201		8	13	2004	2017	13	63.35
USGS	08068390	00065	134201		8	14	2004	2017	14	68.64
USGS	08068390	00065	134201		8	15	2004	2017	14	68.83
USGS	08068390	00065	134201		8	16	2004	2017	14	68.88
USGS	08068390	00065	134201		8	17	2004	2017	14	68.76
USGS	08068390	00065	134201		8	18	2004	2017	14	68.73
USGS	08068390	00065	134201		8	19	2004	2017	13	64.14
USGS	08068390	00065	134201		8	20	2004	2017	14	69.08
USGS	08068390	00065	134201		8	21	2004	2017	14	69.18
USGS	08068390	00065	134201		8	22	2004	2017	14	69.08
USGS	08068390	00065	134201		8	23	2004	2017	14	68.89
USGS	08068390	00065	134201		8	24	2004	2017	14	68.65
USGS	08068390	00065	134201		8	25	2004	2017	14	68.53
USGS	08068390	00065	134201		8	26	2004	2017	14	68.77
USGS	08068390	00065	134201		8	27	2004	2017	14	69.00
USGS	08068390	00065	134201		8	28	2004	2017	14	69.10
USGS	08068390	00065	134201		8	29	2004	2017	14	68.99
USGS	08068390	00065	134201		8	30	2004	2017	14	68.90
USGS	08068390	00065	134201		8	31	2005	2017	13	73.49
USGS	08068390	00065	134201		9	1	2004	2017	14	68.42
USGS	08068390	00065	134201		9	2	2004	2017	14	68.34
USGS	08068390	00065	134201		9	3	2004	2017	14	68.45
USGS	08068390	00065	134201		9	4	2004	2017	14	68.47
USGS	08068390	00065	134201		9	5	2004	2017	14	68.35
USGS	08068390	00065	134201		9	6	2004	2017	14	68.34
USGS	08068390	00065	134201		9	7	2004	2017	14	68.55
USGS	08068390	00065	134201		9	8	2004	2017	14	68.74
USGS	08068390	00065	134201		9	9	2004	2017	14	68.54
USGS	08068390	00065	134201		9	10	2004	2017	14	68.62
USGS	08068390	00065	134201		9	11	2004	2017	14	68.52
USGS	08068390	00065	134201		9	12	2004	2017	14	68.41
USGS	08068390	00065	134201		9	13	2004	2017	14	68.84
USGS	08068390	00065	134201		9	14	2004	2017	14	68.92
USGS	08068390	00065	134201		9	15	2004	2017	14	68.82
USGS	08068390	00065	134201		9	16	2004	2017	14	68.75
USGS	08068390	00065	134201		9	17	2004	2017	14	68.84
USGS	08068390	00065	134201		9	18	2004	2017	13	64.33
USGS	08068390	00065	134201		9	19	2004	2017	13	64.27
USGS	08068390	00065	134201		9	20	2004	2017	11	51.87
USGS	08068390	00065	134201		9	21	2004	2017	12	58.74
USGS	08068390	00065	134201		9	22	2004	2017	13	64.01
USGS	08068390	00065	134201		9	23	2004	2017	13	63.74
USGS	08068390	00065	134201		9	24	2004	2017	13	63.86
USGS	08068390	00065	134201		9	25	2004	2017	13	63.64
USGS	08068390	00065	134201		9	26	2004	2017	14	68.34
USGS	08068390	00065	134201		9	27	2004	2017	14	68.22
USGS	08068390	00065	134201		9	28	2004	2017	14	68.33
USGS	08068390	00065	134201		9	29	2004	2017	14	68.44
USGS	08068390	00065	134201		9	30	2004	2017	13	63.60
USGS	08068390	00065	134201		10	1	2004	2018	14	68.26
USGS	08068390	00065	134201		10	2	2004	2018	14	68.45
USGS	08068390	00065	134201		10	3	2004	2018	15	72.69
USGS	08068390	00065	134201		10	4	2004	2018	14	68.55
USGS	08068390	00065	134201		10	5	2004	2018	14	68.76
USGS	08068390	00065	134201		10	6	2004	2018	14	68.76
USGS	08068390	00065	134201		10	7	2004	2018	14	68.60
USGS	08068390	00065	134201		10	8	2004	2018	15	72.68
USGS	08068390	00065	134201		10	9	2004	2018	14	77.71
USGS	08068390	00065	134201		10	10	2004	2018	14	78.03
USGS	08068390	00065	134201		10	11	2004	2018	14	77.78
USGS	08068390	00065	134201		10	12	2004	2018	14	77.61
USGS	08068390	00065	134201		10	13	2004	2018	15	73.14
USGS	08068390	00065	134201		10	14	2004	2018	15	73.05
USGS	08068390	00065	134201		10	15	2004	2018	14	78.09
USGS	08068390	00065	134201		10	16	2004	2018	15	73.76
USGS	08068390	00065	134201		10	17	2004	2018	15	73.54
USGS	08068390	00065	134201		10	18	2004	2018	14	78.05
USGS	08068390	00065	134201		10	19	2004	2018	15	73.18
USGS	08068390	00065	134201		10	20	2004	2018	15	72.92
