#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068400     00065          Panther Br at Gosling Rd, The Woodlands, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068400	00065	134210		1	1	2000	2018	19	56.83
USGS	08068400	00065	134210		1	2	2000	2018	18	59.75
USGS	08068400	00065	134210		1	3	2000	2018	19	56.87
USGS	08068400	00065	134210		1	4	2000	2018	19	56.85
USGS	08068400	00065	134210		1	5	2000	2018	19	56.89
USGS	08068400	00065	134210		1	6	2000	2018	19	56.84
USGS	08068400	00065	134210		1	7	2000	2018	19	56.88
USGS	08068400	00065	134210		1	8	2000	2018	19	57.03
USGS	08068400	00065	134210		1	9	2000	2018	19	57.36
USGS	08068400	00065	134210		1	10	2000	2018	19	57.28
USGS	08068400	00065	134210		1	11	2000	2018	19	57.20
USGS	08068400	00065	134210		1	12	2000	2018	18	53.03
USGS	08068400	00065	134210		1	13	2000	2018	18	53.07
USGS	08068400	00065	134210		1	14	2000	2018	17	55.79
USGS	08068400	00065	134210		1	15	2000	2018	17	48.51
USGS	08068400	00065	134210		1	16	2000	2018	19	57.17
USGS	08068400	00065	134210		1	17	2000	2018	19	57.39
USGS	08068400	00065	134210		1	18	2000	2018	19	57.26
USGS	08068400	00065	134210		1	19	2000	2018	19	57.26
USGS	08068400	00065	134210		1	20	2000	2018	19	57.03
USGS	08068400	00065	134210		1	21	2000	2018	19	57.05
USGS	08068400	00065	134210		1	22	2000	2018	19	57.04
USGS	08068400	00065	134210		1	23	2000	2018	19	56.98
USGS	08068400	00065	134210		1	24	2000	2018	19	57.22
USGS	08068400	00065	134210		1	25	2000	2018	19	57.20
USGS	08068400	00065	134210		1	26	2000	2018	19	57.09
USGS	08068400	00065	134210		1	27	1999	2018	20	54.53
USGS	08068400	00065	134210		1	28	1999	2018	20	54.55
USGS	08068400	00065	134210		1	29	1999	2018	20	54.62
USGS	08068400	00065	134210		1	30	1999	2018	20	54.52
USGS	08068400	00065	134210		1	31	1999	2018	20	54.59
USGS	08068400	00065	134210		2	1	1999	2018	20	54.59
USGS	08068400	00065	134210		2	2	1999	2018	20	54.47
USGS	08068400	00065	134210		2	3	1999	2018	20	54.37
USGS	08068400	00065	134210		2	4	1999	2018	19	50.62
USGS	08068400	00065	134210		2	5	1999	2018	19	50.61
USGS	08068400	00065	134210		2	6	1999	2018	20	54.43
USGS	08068400	00065	134210		2	7	1999	2018	20	54.41
USGS	08068400	00065	134210		2	8	1999	2018	20	54.33
USGS	08068400	00065	134210		2	9	1999	2018	20	54.39
USGS	08068400	00065	134210		2	10	1999	2018	19	50.86
USGS	08068400	00065	134210		2	11	1999	2018	20	54.78
USGS	08068400	00065	134210		2	12	1999	2018	19	50.87
USGS	08068400	00065	134210		2	13	1999	2018	20	54.56
USGS	08068400	00065	134210		2	14	1999	2018	20	54.52
USGS	08068400	00065	134210		2	15	1999	2018	20	54.42
USGS	08068400	00065	134210		2	16	1999	2018	20	54.54
USGS	08068400	00065	134210		2	17	1999	2018	19	56.99
USGS	08068400	00065	134210		2	18	1999	2018	19	56.99
USGS	08068400	00065	134210		2	19	1999	2018	19	56.94
USGS	08068400	00065	134210		2	20	1999	2018	20	54.47
USGS	08068400	00065	134210		2	21	1999	2018	20	54.75
USGS	08068400	00065	134210		2	22	1999	2018	20	54.66
USGS	08068400	00065	134210		2	23	2000	2018	19	57.24
USGS	08068400	00065	134210		2	24	1999	2018	20	54.53
USGS	08068400	00065	134210		2	25	1999	2018	20	54.65
USGS	08068400	00065	134210		2	26	1999	2018	20	54.76
USGS	08068400	00065	134210		2	27	1999	2018	20	54.55
USGS	08068400	00065	134210		2	28	1999	2018	19	57.01
USGS	08068400	00065	134210		2	29	2000	2016	5	54.24
USGS	08068400	00065	134210		3	1	1999	2018	20	54.45
USGS	08068400	00065	134210		3	2	1999	2018	20	54.38
USGS	08068400	00065	134210		3	3	2000	2018	19	56.91
USGS	08068400	00065	134210		3	4	1999	2018	18	52.87
USGS	08068400	00065	134210		3	5	1999	2018	20	54.29
USGS	08068400	00065	134210		3	6	1999	2018	20	54.22
USGS	08068400	00065	134210		3	7	1999	2018	19	56.93
USGS	08068400	00065	134210		3	8	1999	2018	19	57.01
USGS	08068400	00065	134210		3	9	1999	2018	19	57.50
USGS	08068400	00065	134210		3	10	1999	2018	20	54.94
USGS	08068400	00065	134210		3	11	1999	2018	20	54.87
USGS	08068400	00065	134210		3	12	1999	2018	20	54.84
USGS	08068400	00065	134210		3	13	1999	2018	20	54.74
USGS	08068400	00065	134210		3	14	1999	2018	19	57.42
USGS	08068400	00065	134210		3	15	1999	2018	19	57.15
USGS	08068400	00065	134210		3	16	1999	2018	20	54.58
USGS	08068400	00065	134210		3	17	1999	2018	20	54.35
USGS	08068400	00065	134210		3	18	1999	2018	20	54.21
USGS	08068400	00065	134210		3	19	1999	2018	19	50.34
USGS	08068400	00065	134210		3	20	1999	2018	20	54.63
USGS	08068400	00065	134210		3	21	1999	2018	18	53.27
USGS	08068400	00065	134210		3	22	1999	2018	19	57.02
USGS	08068400	00065	134210		3	23	1999	2018	19	50.29
USGS	08068400	00065	134210		3	24	1999	2018	19	50.27
USGS	08068400	00065	134210		3	25	1999	2018	20	54.17
USGS	08068400	00065	134210		3	26	1999	2018	20	54.29
USGS	08068400	00065	134210		3	27	1999	2018	19	56.97
USGS	08068400	00065	134210		3	28	1999	2018	20	54.52
USGS	08068400	00065	134210		3	29	1999	2018	18	60.10
USGS	08068400	00065	134210		3	30	1999	2018	19	57.00
USGS	08068400	00065	134210		3	31	1999	2018	19	56.92
USGS	08068400	00065	134210		4	1	1999	2018	19	56.76
USGS	08068400	00065	134210		4	2	1999	2018	20	54.22
USGS	08068400	00065	134210		4	3	1999	2018	20	54.33
USGS	08068400	00065	134210		4	4	1999	2018	20	54.21
USGS	08068400	00065	134210		4	5	1999	2018	20	54.06
USGS	08068400	00065	134210		4	6	1999	2018	20	54.00
USGS	08068400	00065	134210		4	7	1999	2018	20	53.95
USGS	08068400	00065	134210		4	8	1999	2018	20	54.16
USGS	08068400	00065	134210		4	9	1999	2018	19	50.15
USGS	08068400	00065	134210		4	10	1999	2018	20	54.01
USGS	08068400	00065	134210		4	11	1999	2018	20	54.37
USGS	08068400	00065	134210		4	12	1999	2018	18	59.82
USGS	08068400	00065	134210		4	13	1999	2018	19	56.85
USGS	08068400	00065	134210		4	14	1999	2018	20	54.26
USGS	08068400	00065	134210		4	15	1999	2018	20	54.05
USGS	08068400	00065	134210		4	16	1999	2018	19	56.65
USGS	08068400	00065	134210		4	17	2000	2017	18	52.91
USGS	08068400	00065	134210		4	18	2000	2017	18	53.58
USGS	08068400	00065	134210		4	19	2000	2017	18	53.32
USGS	08068400	00065	134210		4	20	2000	2017	18	53.14
USGS	08068400	00065	134210		4	21	2000	2017	18	53.15
USGS	08068400	00065	134210		4	22	2000	2017	18	52.87
USGS	08068400	00065	134210		4	23	2000	2017	18	52.68
USGS	08068400	00065	134210		4	24	2000	2017	18	52.76
USGS	08068400	00065	134210		4	25	2000	2017	18	52.90
USGS	08068400	00065	134210		4	26	2000	2017	18	52.71
USGS	08068400	00065	134210		4	27	2000	2017	18	52.91
USGS	08068400	00065	134210		4	28	2000	2017	18	53.12
USGS	08068400	00065	134210		4	29	2000	2017	18	53.09
USGS	08068400	00065	134210		4	30	2000	2017	18	53.14
USGS	08068400	00065	134210		5	1	1999	2017	19	50.81
USGS	08068400	00065	134210		5	2	1999	2017	19	50.71
USGS	08068400	00065	134210		5	3	1999	2017	19	50.56
USGS	08068400	00065	134210		5	4	1999	2017	18	53.04
USGS	08068400	00065	134210		5	5	1999	2017	19	50.59
USGS	08068400	00065	134210		5	6	1999	2016	18	46.30
USGS	08068400	00065	134210		5	7	1999	2016	18	46.22
USGS	08068400	00065	134210		5	8	1999	2017	19	50.42
USGS	08068400	00065	134210		5	9	1999	2017	18	45.98
USGS	08068400	00065	134210		5	10	1999	2017	19	50.36
USGS	08068400	00065	134210		5	11	1999	2017	19	50.44
USGS	08068400	00065	134210		5	12	1999	2017	19	50.49
USGS	08068400	00065	134210		5	13	1999	2017	19	50.74
USGS	08068400	00065	134210		5	14	1999	2017	19	50.79
USGS	08068400	00065	134210		5	15	1999	2017	19	51.07
USGS	08068400	00065	134210		5	16	1999	2017	19	50.73
USGS	08068400	00065	134210		5	17	1999	2017	19	50.48
USGS	08068400	00065	134210		5	18	1999	2017	19	50.39
USGS	08068400	00065	134210		5	19	1999	2017	19	50.28
USGS	08068400	00065	134210		5	20	1999	2017	18	52.96
USGS	08068400	00065	134210		5	21	1999	2017	17	55.69
USGS	08068400	00065	134210		5	22	1999	2017	16	51.36
USGS	08068400	00065	134210		5	23	1999	2017	18	52.96
USGS	08068400	00065	134210		5	24	1999	2017	18	52.91
USGS	08068400	00065	134210		5	25	1999	2017	19	50.38
USGS	08068400	00065	134210		5	26	1999	2017	18	53.20
USGS	08068400	00065	134210		5	27	1999	2017	18	53.81
USGS	08068400	00065	134210		5	28	1999	2017	17	49.12
USGS	08068400	00065	134210		5	29	1999	2017	18	53.74
USGS	08068400	00065	134210		5	30	1999	2017	18	53.49
USGS	08068400	00065	134210		5	31	1999	2017	18	53.28
USGS	08068400	00065	134210		6	1	1999	2017	18	53.17
USGS	08068400	00065	134210		6	2	1999	2017	18	53.25
USGS	08068400	00065	134210		6	3	1999	2017	19	50.62
USGS	08068400	00065	134210		6	4	1999	2017	19	50.57
USGS	08068400	00065	134210		6	5	1999	2017	19	50.43
USGS	08068400	00065	134210		6	6	1999	2017	19	50.43
USGS	08068400	00065	134210		6	7	1999	2017	19	50.27
USGS	08068400	00065	134210		6	8	1999	2017	19	50.41
USGS	08068400	00065	134210		6	9	1999	2017	19	50.66
USGS	08068400	00065	134210		6	10	1999	2017	19	50.40
USGS	08068400	00065	134210		6	11	1999	2017	19	50.23
USGS	08068400	00065	134210		6	12	1999	2017	19	50.32
USGS	08068400	00065	134210		6	13	1999	2017	19	50.50
USGS	08068400	00065	134210		6	14	1999	2017	19	50.57
USGS	08068400	00065	134210		6	15	1999	2017	19	50.76
USGS	08068400	00065	134210		6	16	1999	2016	18	46.52
USGS	08068400	00065	134210		6	17	1999	2016	18	46.58
USGS	08068400	00065	134210		6	18	1999	2016	18	46.47
USGS	08068400	00065	134210		6	19	1999	2016	18	46.54
USGS	08068400	00065	134210		6	20	1999	2016	18	46.46
USGS	08068400	00065	134210		6	21	1999	2016	18	46.18
USGS	08068400	00065	134210		6	22	1999	2017	19	50.41
USGS	08068400	00065	134210		6	23	1999	2016	18	46.10
USGS	08068400	00065	134210		6	24	1999	2016	18	46.05
USGS	08068400	00065	134210		6	25	1999	2017	18	52.93
USGS	08068400	00065	134210		6	26	1999	2017	19	50.40
USGS	08068400	00065	134210		6	27	1999	2016	18	46.14
USGS	08068400	00065	134210		6	28	1999	2016	18	46.46
USGS	08068400	00065	134210		6	29	1999	2016	18	46.28
USGS	08068400	00065	134210		6	30	1999	2016	18	46.27
USGS	08068400	00065	134210		7	1	1999	2016	18	46.27
USGS	08068400	00065	134210		7	2	1999	2016	18	46.44
USGS	08068400	00065	134210		7	3	1999	2016	18	46.53
USGS	08068400	00065	134210		7	4	1999	2016	18	46.43
USGS	08068400	00065	134210		7	5	1999	2016	17	48.78
USGS	08068400	00065	134210		7	6	1999	2016	18	46.24
USGS	08068400	00065	134210		7	7	1999	2016	18	46.44
USGS	08068400	00065	134210		7	8	1999	2016	18	46.51
USGS	08068400	00065	134210		7	9	1999	2016	18	46.07
USGS	08068400	00065	134210		7	10	1999	2017	19	50.49
USGS	08068400	00065	134210		7	11	1999	2017	19	50.46
USGS	08068400	00065	134210		7	12	1999	2017	19	50.49
USGS	08068400	00065	134210		7	13	1999	2017	18	46.21
USGS	08068400	00065	134210		7	14	1999	2017	19	50.26
USGS	08068400	00065	134210		7	15	1999	2017	19	50.62
USGS	08068400	00065	134210		7	16	1999	2017	19	50.59
USGS	08068400	00065	134210		7	17	1999	2017	19	50.59
USGS	08068400	00065	134210		7	18	1999	2017	19	50.47
USGS	08068400	00065	134210		7	19	1999	2017	19	50.37
USGS	08068400	00065	134210		7	20	1999	2016	18	46.05
USGS	08068400	00065	134210		7	21	1999	2016	18	46.02
USGS	08068400	00065	134210		7	22	1999	2016	18	45.86
USGS	08068400	00065	134210		7	23	1999	2016	18	45.73
USGS	08068400	00065	134210		7	24	1999	2016	18	45.69
USGS	08068400	00065	134210		7	25	1999	2016	18	45.59
USGS	08068400	00065	134210		7	26	1999	2016	18	45.72
USGS	08068400	00065	134210		7	27	1999	2016	18	45.68
USGS	08068400	00065	134210		7	28	1999	2017	19	49.94
USGS	08068400	00065	134210		7	29	1999	2017	19	49.92
USGS	08068400	00065	134210		7	30	1999	2017	19	49.87
USGS	08068400	00065	134210		7	31	1999	2017	19	49.87
USGS	08068400	00065	134210		8	1	1999	2017	19	49.90
USGS	08068400	00065	134210		8	2	1999	2017	19	49.89
USGS	08068400	00065	134210		8	3	1999	2017	19	49.88
USGS	08068400	00065	134210		8	4	1999	2017	19	49.88
USGS	08068400	00065	134210		8	5	1999	2017	19	49.89
USGS	08068400	00065	134210		8	6	1999	2017	19	49.90
USGS	08068400	00065	134210		8	7	1999	2017	19	49.91
USGS	08068400	00065	134210		8	8	1999	2017	19	50.13
USGS	08068400	00065	134210		8	9	1999	2017	19	50.08
USGS	08068400	00065	134210		8	10	1999	2017	19	50.06
USGS	08068400	00065	134210		8	11	1999	2017	19	49.95
USGS	08068400	00065	134210		8	12	1999	2017	19	49.93
USGS	08068400	00065	134210		8	13	1999	2017	19	49.91
USGS	08068400	00065	134210		8	14	1999	2017	19	50.14
USGS	08068400	00065	134210		8	15	1999	2017	19	50.32
USGS	08068400	00065	134210		8	16	1999	2017	18	52.93
USGS	08068400	00065	134210		8	17	1999	2017	19	50.32
USGS	08068400	00065	134210		8	18	1999	2017	19	50.31
