#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068450     00065          Panther Br nr Spring, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068450	00065	134231		1	1	2000	2007	7	102.23
USGS	08068450	00065	134231		1	2	2000	2007	7	102.11
USGS	08068450	00065	134231		1	3	2000	2007	8	102.03
USGS	08068450	00065	134231		1	4	2000	2007	8	102.15
USGS	08068450	00065	134231		1	5	2000	2007	8	102.15
USGS	08068450	00065	134231		1	6	2000	2007	8	102.11
USGS	08068450	00065	134231		1	7	2000	2007	8	102.02
USGS	08068450	00065	134231		1	8	2000	2007	8	102.03
USGS	08068450	00065	134231		1	9	2000	2007	8	102.02
USGS	08068450	00065	134231		1	10	2000	2007	8	102.05
USGS	08068450	00065	134231		1	11	2000	2007	8	102.36
USGS	08068450	00065	134231		1	12	2000	2007	8	102.15
USGS	08068450	00065	134231		1	13	2000	2007	8	102.35
USGS	08068450	00065	134231		1	14	2000	2007	8	102.20
USGS	08068450	00065	134231		1	15	2000	2007	8	102.32
USGS	08068450	00065	134231		1	16	2000	2007	8	102.18
USGS	08068450	00065	134231		1	17	2000	2006	7	103.29
USGS	08068450	00065	134231		1	18	2000	2007	8	102.72
USGS	08068450	00065	134231		1	19	2000	2007	8	102.62
USGS	08068450	00065	134231		1	20	2000	2007	8	102.27
USGS	08068450	00065	134231		1	21	2000	2007	7	102.15
USGS	08068450	00065	134231		1	22	2000	2007	7	102.13
USGS	08068450	00065	134231		1	23	2000	2007	8	102.15
USGS	08068450	00065	134231		1	24	2000	2007	8	102.29
USGS	08068450	00065	134231		1	25	2000	2007	8	102.77
USGS	08068450	00065	134231		1	26	2000	2007	8	102.38
USGS	08068450	00065	134231		1	27	2000	2007	8	102.25
USGS	08068450	00065	134231		1	28	2000	2007	8	102.34
USGS	08068450	00065	134231		1	29	2000	2007	8	102.59
USGS	08068450	00065	134231		1	30	2000	2007	8	102.46
USGS	08068450	00065	134231		1	31	2000	2007	8	102.42
USGS	08068450	00065	134231		2	1	2000	2007	8	102.56
USGS	08068450	00065	134231		2	2	2000	2007	8	102.42
USGS	08068450	00065	134231		2	3	2000	2007	8	102.25
USGS	08068450	00065	134231		2	4	2000	2007	8	102.12
USGS	08068450	00065	134231		2	5	2000	2007	8	102.09
USGS	08068450	00065	134231		2	6	2000	2007	8	102.17
USGS	08068450	00065	134231		2	7	2000	2007	8	102.41
USGS	08068450	00065	134231		2	8	2000	2007	8	102.38
USGS	08068450	00065	134231		2	9	2000	2007	8	102.23
USGS	08068450	00065	134231		2	10	2000	2007	8	102.29
USGS	08068450	00065	134231		2	11	2000	2007	8	102.68
USGS	08068450	00065	134231		2	12	2000	2007	8	102.45
USGS	08068450	00065	134231		2	13	2000	2007	8	102.23
USGS	08068450	00065	134231		2	14	2000	2007	8	102.19
USGS	08068450	00065	134231		2	15	2000	2007	8	102.12
USGS	08068450	00065	134231		2	16	2000	2007	8	102.06
USGS	08068450	00065	134231		2	17	2000	2007	8	102.01
USGS	08068450	00065	134231		2	18	2000	2007	8	101.97
USGS	08068450	00065	134231		2	19	2000	2007	8	101.96
USGS	08068450	00065	134231		2	20	2000	2007	8	102.04
USGS	08068450	00065	134231		2	21	2000	2007	8	102.32
USGS	08068450	00065	134231		2	22	2000	2007	8	102.56
USGS	08068450	00065	134231		2	23	2000	2007	8	102.37
USGS	08068450	00065	134231		2	24	2000	2007	8	102.38
USGS	08068450	00065	134231		2	25	2000	2007	8	102.36
USGS	08068450	00065	134231		2	26	2000	2007	8	102.25
USGS	08068450	00065	134231		2	27	2000	2007	8	102.18
