#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068500     00065          Spring Ck nr Spring, TX
# USGS        08068500     00065          Spring Ck nr Spring, TX (Upstream Bridge)
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068500	00065	134233		1	1	1999	2014	15	2.80
USGS	08068500	00065	134233		1	2	1999	2014	15	2.72
USGS	08068500	00065	134233		1	3	1999	2014	14	2.05
USGS	08068500	00065	134233		1	4	1999	2014	15	2.30
USGS	08068500	00065	134233		1	5	1999	2014	15	2.47
USGS	08068500	00065	134233		1	6	1999	2014	15	2.48
USGS	08068500	00065	134233		1	7	1999	2014	16	2.45
USGS	08068500	00065	134233		1	8	1999	2014	16	2.53
USGS	08068500	00065	134233		1	9	1999	2014	16	3.09
USGS	08068500	00065	134233		1	10	1999	2014	16	3.22
USGS	08068500	00065	134233		1	11	1999	2014	16	2.93
USGS	08068500	00065	134233		1	12	1999	2014	15	2.84
USGS	08068500	00065	134233		1	13	1999	2014	15	2.89
USGS	08068500	00065	134233		1	14	1999	2014	15	2.62
USGS	08068500	00065	134233		1	15	1999	2014	16	2.78
USGS	08068500	00065	134233		1	16	1999	2014	16	2.89
USGS	08068500	00065	134233		1	17	1999	2014	16	3.71
USGS	08068500	00065	134233		1	18	1999	2014	16	3.39
USGS	08068500	00065	134233		1	19	1999	2014	16	3.38
USGS	08068500	00065	134233		1	20	1999	2014	16	3.17
USGS	08068500	00065	134233		1	21	1999	2014	16	2.96
USGS	08068500	00065	134233		1	22	1999	2014	16	2.70
USGS	08068500	00065	134233		1	23	1999	2014	15	2.52
USGS	08068500	00065	134233		1	24	1999	2014	16	2.83
USGS	08068500	00065	134233		1	25	1999	2014	16	3.42
USGS	08068500	00065	134233		1	26	1999	2014	16	3.50
USGS	08068500	00065	134233		1	27	1999	2014	16	3.44
USGS	08068500	00065	134233		1	28	1999	2014	16	3.18
USGS	08068500	00065	134233		1	29	1999	2014	16	3.11
USGS	08068500	00065	134233		1	30	1999	2014	16	3.11
USGS	08068500	00065	134233		1	31	1999	2014	16	3.25
USGS	08068500	00065	134233		2	1	1999	2014	16	3.57
USGS	08068500	00065	134233		2	2	1999	2014	16	3.09
USGS	08068500	00065	134233		2	3	1999	2014	16	2.86
USGS	08068500	00065	134233		2	4	1999	2014	15	3.10
USGS	08068500	00065	134233		2	5	1999	2014	15	2.88
USGS	08068500	00065	134233		2	6	1999	2014	15	2.93
USGS	08068500	00065	134233		2	7	1999	2014	15	3.08
USGS	08068500	00065	134233		2	8	1999	2014	16	2.93
USGS	08068500	00065	134233		2	9	1999	2014	16	3.20
USGS	08068500	00065	134233		2	10	1999	2014	16	3.30
USGS	08068500	00065	134233		2	11	1999	2014	16	3.43
USGS	08068500	00065	134233		2	12	1999	2014	16	3.53
USGS	08068500	00065	134233		2	13	1999	2013	15	3.68
