#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068700     00065          Cypress Ck at Sharp Rd nr Hockley, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068700	00065	134249		1	1	2000	2018	17	90.33
USGS	08068700	00065	134249		1	2	2000	2018	16	92.33
USGS	08068700	00065	134249		1	3	2000	2018	17	89.83
USGS	08068700	00065	134249		1	4	2000	2018	17	89.91
USGS	08068700	00065	134249		1	5	2000	2018	17	89.97
USGS	08068700	00065	134249		1	6	2000	2018	17	89.95
USGS	08068700	00065	134249		1	7	2000	2018	17	89.79
USGS	08068700	00065	134249		1	8	2000	2018	17	89.84
USGS	08068700	00065	134249		1	9	2000	2018	17	89.81
USGS	08068700	00065	134249		1	10	2000	2018	17	90.35
USGS	08068700	00065	134249		1	11	2000	2018	17	90.46
USGS	08068700	00065	134249		1	12	2000	2018	17	90.23
USGS	08068700	00065	134249		1	13	2000	2018	17	90.03
USGS	08068700	00065	134249		1	14	2000	2018	17	89.95
USGS	08068700	00065	134249		1	15	2000	2018	17	89.95
USGS	08068700	00065	134249		1	16	2000	2018	17	90.09
USGS	08068700	00065	134249		1	17	2000	2018	17	90.52
USGS	08068700	00065	134249		1	18	2000	2018	17	90.73
USGS	08068700	00065	134249		1	19	2000	2018	17	90.92
USGS	08068700	00065	134249		1	20	2000	2018	17	90.75
USGS	08068700	00065	134249		1	21	2000	2018	17	90.29
USGS	08068700	00065	134249		1	22	2000	2018	17	90.08
USGS	08068700	00065	134249		1	23	2000	2018	17	90.03
USGS	08068700	00065	134249		1	24	2000	2018	17	90.28
USGS	08068700	00065	134249		1	25	2000	2018	17	90.82
USGS	08068700	00065	134249		1	26	2000	2018	17	91.10
USGS	08068700	00065	134249		1	27	2000	2018	17	90.90
USGS	08068700	00065	134249		1	28	2000	2018	17	90.50
USGS	08068700	00065	134249		1	29	2000	2018	17	90.28
USGS	08068700	00065	134249		1	30	2000	2018	17	90.51
USGS	08068700	00065	134249		1	31	2000	2018	17	90.28
USGS	08068700	00065	134249		2	1	2000	2018	18	94.04
USGS	08068700	00065	134249		2	2	2000	2018	18	94.00
USGS	08068700	00065	134249		2	3	2000	2018	18	93.87
USGS	08068700	00065	134249		2	4	2000	2018	18	93.82
USGS	08068700	00065	134249		2	5	2000	2018	18	93.98
USGS	08068700	00065	134249		2	6	2000	2018	18	93.85
USGS	08068700	00065	134249		2	7	2000	2018	18	93.70
USGS	08068700	00065	134249		2	8	2000	2018	18	93.90
USGS	08068700	00065	134249		2	9	2000	2018	18	94.09
USGS	08068700	00065	134249		2	10	2000	2018	18	94.11
USGS	08068700	00065	134249		2	11	2000	2018	18	94.42
USGS	08068700	00065	134249		2	12	2000	2018	18	94.43
USGS	08068700	00065	134249		2	13	2000	2018	18	94.31
USGS	08068700	00065	134249		2	14	2000	2018	18	94.21
USGS	08068700	00065	134249		2	15	2000	2018	18	93.85
USGS	08068700	00065	134249		2	16	2000	2018	17	96.06
USGS	08068700	00065	134249		2	17	2000	2018	17	96.19
USGS	08068700	00065	134249		2	18	2000	2018	18	93.83
USGS	08068700	00065	134249		2	19	2000	2018	18	93.79
USGS	08068700	00065	134249		2	20	2000	2018	18	93.94
USGS	08068700	00065	134249		2	21	2000	2018	17	96.50
USGS	08068700	00065	134249		2	22	2000	2018	17	96.46
USGS	08068700	00065	134249		2	23	2000	2018	17	96.17
USGS	08068700	00065	134249		2	24	2000	2018	17	96.27
USGS	08068700	00065	134249		2	25	2000	2018	17	96.34
USGS	08068700	00065	134249		2	26	2000	2018	17	96.38
USGS	08068700	00065	134249		2	27	2000	2018	16	99.03
USGS	08068700	00065	134249		2	28	2000	2018	18	94.10
USGS	08068700	00065	134249		2	29	2000	2016	5	94.23
USGS	08068700	00065	134249		3	1	2000	2018	18	93.66
USGS	08068700	00065	134249		3	2	2000	2018	18	93.67
USGS	08068700	00065	134249		3	3	2000	2018	18	94.05
USGS	08068700	00065	134249		3	4	2000	2018	18	94.26
USGS	08068700	00065	134249		3	5	2000	2018	18	94.11
USGS	08068700	00065	134249		3	6	2000	2018	18	93.68
USGS	08068700	00065	134249		3	7	2000	2018	18	93.68
USGS	08068700	00065	134249		3	8	2000	2018	18	93.78
