#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068720     00065          Cypress Ck at Katy-Hockley Rd nr Hockley, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068720	00065	134251		1	1	1999	2018	19	79.19
USGS	08068720	00065	134251		1	2	1999	2018	19	79.12
USGS	08068720	00065	134251		1	3	1999	2018	20	77.47
USGS	08068720	00065	134251		1	4	1999	2018	20	77.45
USGS	08068720	00065	134251		1	5	1999	2018	20	77.41
USGS	08068720	00065	134251		1	6	1999	2018	20	77.35
USGS	08068720	00065	134251		1	7	1999	2018	20	77.23
USGS	08068720	00065	134251		1	8	1999	2018	19	78.81
USGS	08068720	00065	134251		1	9	1999	2018	19	78.82
USGS	08068720	00065	134251		1	10	1999	2018	20	77.62
USGS	08068720	00065	134251		1	11	1999	2018	19	79.34
USGS	08068720	00065	134251		1	12	1999	2018	19	79.24
USGS	08068720	00065	134251		1	13	1999	2018	20	77.48
USGS	08068720	00065	134251		1	14	1999	2018	20	77.39
USGS	08068720	00065	134251		1	15	1999	2018	20	77.41
USGS	08068720	00065	134251		1	16	1999	2018	20	77.57
USGS	08068720	00065	134251		1	17	1999	2018	20	77.98
USGS	08068720	00065	134251		1	18	1999	2018	20	78.19
USGS	08068720	00065	134251		1	19	1999	2018	20	78.40
USGS	08068720	00065	134251		1	20	1999	2018	20	78.30
USGS	08068720	00065	134251		1	21	1999	2018	20	77.94
USGS	08068720	00065	134251		1	22	1999	2018	20	77.72
USGS	08068720	00065	134251		1	23	1999	2018	20	77.63
USGS	08068720	00065	134251		1	24	1999	2018	20	77.72
USGS	08068720	00065	134251		1	25	1999	2018	20	78.05
USGS	08068720	00065	134251		1	26	1999	2018	20	78.18
USGS	08068720	00065	134251		1	27	1999	2018	20	78.02
USGS	08068720	00065	134251		1	28	1999	2018	20	77.74
USGS	08068720	00065	134251		1	29	1999	2018	20	77.64
USGS	08068720	00065	134251		1	30	1999	2018	20	77.69
USGS	08068720	00065	134251		1	31	1999	2018	20	77.56
USGS	08068720	00065	134251		2	1	1999	2018	20	77.75
USGS	08068720	00065	134251		2	2	1999	2018	18	75.68
USGS	08068720	00065	134251		2	3	1999	2018	19	74.02
USGS	08068720	00065	134251		2	4	1999	2018	20	77.55
USGS	08068720	00065	134251		2	5	1999	2018	20	77.59
USGS	08068720	00065	134251		2	6	1999	2018	20	77.52
USGS	08068720	00065	134251		2	7	1999	2018	20	77.45
USGS	08068720	00065	134251		2	8	1999	2018	20	77.60
USGS	08068720	00065	134251		2	9	1999	2018	20	77.77
USGS	08068720	00065	134251		2	10	1999	2018	19	79.42
USGS	08068720	00065	134251		2	11	1999	2018	19	79.61
USGS	08068720	00065	134251		2	12	1999	2018	19	79.70
USGS	08068720	00065	134251		2	13	1999	2018	19	79.59
USGS	08068720	00065	134251		2	14	1999	2018	19	79.48
USGS	08068720	00065	134251		2	15	1999	2018	20	77.58
USGS	08068720	00065	134251		2	16	1999	2018	20	77.48
USGS	08068720	00065	134251		2	17	1999	2018	20	77.59
USGS	08068720	00065	134251		2	18	1999	2018	20	77.60
USGS	08068720	00065	134251		2	19	1999	2018	20	77.54
USGS	08068720	00065	134251		2	20	1999	2018	20	77.66
USGS	08068720	00065	134251		2	21	1999	2018	20	77.91
USGS	08068720	00065	134251		2	22	2000	2018	18	81.52
USGS	08068720	00065	134251		2	23	2000	2018	18	81.38
USGS	08068720	00065	134251		2	24	1999	2018	20	77.99
USGS	08068720	00065	134251		2	25	1999	2018	20	77.90
USGS	08068720	00065	134251		2	26	1999	2018	20	77.96
USGS	08068720	00065	134251		2	27	1999	2018	20	77.97
USGS	08068720	00065	134251		2	28	1999	2018	20	77.78
USGS	08068720	00065	134251		2	29	2000	2016	5	67.28
USGS	08068720	00065	134251		3	1	1999	2018	20	77.45
USGS	08068720	00065	134251		3	2	1999	2018	20	77.42
USGS	08068720	00065	134251		3	3	1999	2018	20	77.62
USGS	08068720	00065	134251		3	4	1999	2018	20	77.81
USGS	08068720	00065	134251		3	5	1999	2018	20	77.75
