#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068740     00065          Cypress Ck at House-Hahl Rd nr Cypress, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068740	00065	134253		1	1	1998	2019	21	64.33
USGS	08068740	00065	134253		1	2	1998	2019	21	64.32
USGS	08068740	00065	134253		1	3	1998	2019	21	64.43
USGS	08068740	00065	134253		1	4	1998	2019	21	64.48
USGS	08068740	00065	134253		1	5	1998	2019	21	64.48
USGS	08068740	00065	134253		1	6	1998	2019	21	64.49
USGS	08068740	00065	134253		1	7	1998	2019	21	64.72
USGS	08068740	00065	134253		1	8	1998	2019	21	64.66
USGS	08068740	00065	134253		1	9	1998	2019	21	64.68
USGS	08068740	00065	134253		1	10	1998	2019	20	66.11
USGS	08068740	00065	134253		1	11	1998	2019	21	64.32
USGS	08068740	00065	134253		1	12	1998	2019	21	63.94
USGS	08068740	00065	134253		1	13	1998	2019	21	63.98
USGS	08068740	00065	134253		1	14	1998	2019	21	63.78
USGS	08068740	00065	134253		1	15	1998	2019	21	63.82
USGS	08068740	00065	134253		1	16	1998	2019	20	65.57
USGS	08068740	00065	134253		1	17	1998	2019	20	66.12
USGS	08068740	00065	134253		1	18	1998	2019	20	66.24
USGS	08068740	00065	134253		1	19	1998	2019	20	66.40
USGS	08068740	00065	134253		1	20	1998	2019	20	66.15
USGS	08068740	00065	134253		1	21	1998	2019	20	65.79
USGS	08068740	00065	134253		1	22	1998	2019	21	64.03
USGS	08068740	00065	134253		1	23	1998	2019	21	64.07
USGS	08068740	00065	134253		1	24	1998	2019	21	64.33
USGS	08068740	00065	134253		1	25	1998	2019	21	64.91
USGS	08068740	00065	134253		1	26	1998	2019	21	64.81
USGS	08068740	00065	134253		1	27	1999	2019	20	66.35
USGS	08068740	00065	134253		1	28	1998	2019	21	64.22
USGS	08068740	00065	134253		1	29	1998	2019	21	63.79
USGS	08068740	00065	134253		1	30	1998	2019	21	63.73
