#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068780     00065          Little Cypress Ck nr Cypress, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068780	00065	134255		1	1	1999	2018	20	112.69
USGS	08068780	00065	134255		1	2	1999	2018	20	112.48
USGS	08068780	00065	134255		1	3	1999	2018	20	112.45
USGS	08068780	00065	134255		1	4	1999	2018	20	112.55
USGS	08068780	00065	134255		1	5	1999	2018	20	112.54
USGS	08068780	00065	134255		1	6	1999	2018	20	112.33
USGS	08068780	00065	134255		1	7	1999	2018	18	113.09
USGS	08068780	00065	134255		1	8	1999	2018	19	110.61
USGS	08068780	00065	134255		1	9	1999	2018	19	110.73
USGS	08068780	00065	134255		1	10	1999	2018	18	109.11
USGS	08068780	00065	134255		1	11	1999	2018	18	109.11
USGS	08068780	00065	134255		1	12	1999	2018	19	110.75
USGS	08068780	00065	134255		1	13	1999	2018	18	108.94
USGS	08068780	00065	134255		1	14	1999	2017	18	108.90
USGS	08068780	00065	134255		1	15	1999	2017	18	109.05
USGS	08068780	00065	134255		1	16	1999	2017	18	109.17
USGS	08068780	00065	134255		1	17	1999	2017	17	107.53
USGS	08068780	00065	134255		1	18	1999	2017	17	107.71
USGS	08068780	00065	134255		1	19	1999	2017	17	107.79
USGS	08068780	00065	134255		1	20	1999	2017	18	109.44
USGS	08068780	00065	134255		1	21	1999	2017	18	109.12
USGS	08068780	00065	134255		1	22	1999	2017	18	109.03
USGS	08068780	00065	134255		1	23	1999	2017	18	109.00
USGS	08068780	00065	134255		1	24	1999	2018	19	111.05
USGS	08068780	00065	134255		1	25	1999	2018	19	111.59
USGS	08068780	00065	134255		1	26	1999	2018	19	111.55
USGS	08068780	00065	134255		1	27	1999	2018	19	111.06
USGS	08068780	00065	134255		1	28	1999	2018	19	110.90
USGS	08068780	00065	134255		1	29	1999	2018	19	111.00
USGS	08068780	00065	134255		1	30	1999	2018	19	111.03
USGS	08068780	00065	134255		1	31	1999	2018	19	110.98
USGS	08068780	00065	134255		2	1	1999	2018	19	111.20
USGS	08068780	00065	134255		2	2	1999	2018	19	111.10
USGS	08068780	00065	134255		2	3	1999	2018	19	110.85
USGS	08068780	00065	134255		2	4	1999	2018	19	110.77
USGS	08068780	00065	134255		2	5	1999	2018	19	110.88
USGS	08068780	00065	134255		2	6	1999	2018	19	110.74
USGS	08068780	00065	134255		2	7	1999	2018	19	110.82
USGS	08068780	00065	134255		2	8	1999	2018	19	110.94
USGS	08068780	00065	134255		2	9	1999	2018	19	110.98
USGS	08068780	00065	134255		2	10	1999	2018	19	111.02
USGS	08068780	00065	134255		2	11	1999	2018	19	111.29
USGS	08068780	00065	134255		2	12	1999	2018	19	111.34
USGS	08068780	00065	134255		2	13	1999	2018	19	111.12
USGS	08068780	00065	134255		2	14	1999	2018	19	111.01
USGS	08068780	00065	134255		2	15	1999	2018	19	110.89
USGS	08068780	00065	134255		2	16	1999	2018	19	110.94
USGS	08068780	00065	134255		2	17	1999	2018	19	111.02
USGS	08068780	00065	134255		2	18	1999	2018	19	111.03
USGS	08068780	00065	134255		2	19	1999	2018	19	110.98
USGS	08068780	00065	134255		2	20	1999	2018	19	110.86
USGS	08068780	00065	134255		2	21	1999	2018	19	111.33
USGS	08068780	00065	134255		2	22	1999	2018	19	111.36
USGS	08068780	00065	134255		2	23	1999	2018	19	110.99
USGS	08068780	00065	134255		2	24	1999	2018	19	110.98
USGS	08068780	00065	134255		2	25	1999	2018	18	109.50
USGS	08068780	00065	134255		2	26	1999	2018	20	112.97
USGS	08068780	00065	134255		2	27	1999	2018	20	112.76
USGS	08068780	00065	134255		2	28	1999	2018	20	112.49
USGS	08068780	00065	134255		2	29	2000	2016	5	112.36
USGS	08068780	00065	134255		3	1	1999	2018	20	112.35
USGS	08068780	00065	134255		3	2	1999	2018	19	110.77
USGS	08068780	00065	134255		3	3	1999	2018	18	113.44
USGS	08068780	00065	134255		3	4	1999	2018	19	111.05
USGS	08068780	00065	134255		3	5	1999	2018	19	110.85
USGS	08068780	00065	134255		3	6	1999	2018	19	110.70
USGS	08068780	00065	134255		3	7	1999	2018	19	110.76
USGS	08068780	00065	134255		3	8	1999	2018	19	110.86
USGS	08068780	00065	134255		3	9	1999	2018	20	113.21
USGS	08068780	00065	134255		3	10	1999	2018	20	113.66
USGS	08068780	00065	134255		3	11	1999	2018	20	113.67
USGS	08068780	00065	134255		3	12	1999	2018	20	113.70
USGS	08068780	00065	134255		3	13	1999	2018	20	113.15
USGS	08068780	00065	134255		3	14	1999	2018	20	113.19
USGS	08068780	00065	134255		3	15	1999	2018	20	113.50
USGS	08068780	00065	134255		3	16	1999	2018	20	113.03
USGS	08068780	00065	134255		3	17	1999	2018	20	112.54
USGS	08068780	00065	134255		3	18	1999	2018	20	112.35
USGS	08068780	00065	134255		3	19	1999	2018	20	112.41
USGS	08068780	00065	134255		3	20	1999	2018	20	112.46
USGS	08068780	00065	134255		3	21	1999	2018	19	115.07
USGS	08068780	00065	134255		3	22	1999	2018	19	115.09
USGS	08068780	00065	134255		3	23	1999	2018	20	112.34
USGS	08068780	00065	134255		3	24	1999	2018	20	112.26
USGS	08068780	00065	134255		3	25	1999	2018	20	112.22
USGS	08068780	00065	134255		3	26	1999	2018	19	114.69
USGS	08068780	00065	134255		3	27	1999	2018	19	114.97
USGS	08068780	00065	134255		3	28	1999	2018	20	113.01
USGS	08068780	00065	134255		3	29	1999	2018	20	113.07
USGS	08068780	00065	134255		3	30	1999	2018	20	112.68
USGS	08068780	00065	134255		3	31	1999	2018	19	115.05
USGS	08068780	00065	134255		4	1	1999	2018	19	115.01
USGS	08068780	00065	134255		4	2	1999	2018	20	112.51
USGS	08068780	00065	134255		4	3	1999	2018	20	112.38
USGS	08068780	00065	134255		4	4	1999	2018	20	112.30
USGS	08068780	00065	134255		4	5	1999	2018	20	112.17
USGS	08068780	00065	134255		4	6	1999	2018	20	112.13
USGS	08068780	00065	134255		4	7	1999	2018	20	112.09
USGS	08068780	00065	134255		4	8	1999	2018	20	112.49
USGS	08068780	00065	134255		4	9	1999	2018	20	112.57
USGS	08068780	00065	134255		4	10	1999	2018	20	112.30
USGS	08068780	00065	134255		4	11	1999	2018	20	112.25
USGS	08068780	00065	134255		4	12	1999	2018	20	112.20
USGS	08068780	00065	134255		4	13	1999	2018	20	112.24
USGS	08068780	00065	134255		4	14	1999	2018	20	112.19
USGS	08068780	00065	134255		4	15	1999	2018	20	112.13
USGS	08068780	00065	134255		4	16	1999	2018	19	110.43
USGS	08068780	00065	134255		4	17	1999	2018	19	110.78
USGS	08068780	00065	134255		4	18	1999	2018	19	112.01
USGS	08068780	00065	134255		4	19	1999	2018	19	111.98
USGS	08068780	00065	134255		4	20	1999	2018	18	109.72
USGS	08068780	00065	134255		4	21	1999	2018	18	109.31
USGS	08068780	00065	134255		4	22	1999	2018	19	111.00
USGS	08068780	00065	134255		4	23	1999	2018	19	110.78
USGS	08068780	00065	134255		4	24	1999	2018	18	108.84
USGS	08068780	00065	134255		4	25	1999	2018	17	106.79
USGS	08068780	00065	134255		4	26	1999	2018	17	106.74
USGS	08068780	00065	134255		4	27	1999	2018	17	106.84
USGS	08068780	00065	134255		4	28	1999	2018	19	111.41
USGS	08068780	00065	134255		4	29	1999	2018	20	112.87
USGS	08068780	00065	134255		4	30	1998	2018	21	110.27
USGS	08068780	00065	134255		5	1	1998	2018	21	110.54
USGS	08068780	00065	134255		5	2	1998	2018	21	110.69
USGS	08068780	00065	134255		5	3	1998	2018	21	110.39
USGS	08068780	00065	134255		5	4	1998	2018	21	110.26
USGS	08068780	00065	134255		5	5	1998	2018	21	110.14
USGS	08068780	00065	134255		5	6	1998	2018	21	110.12
USGS	08068780	00065	134255		5	7	1998	2018	21	110.06
USGS	08068780	00065	134255		5	8	1998	2018	21	109.95
USGS	08068780	00065	134255		5	9	1998	2018	21	109.87
USGS	08068780	00065	134255		5	10	1998	2018	21	109.84
USGS	08068780	00065	134255		5	11	1998	2018	21	110.01
USGS	08068780	00065	134255		5	12	1998	2018	21	110.22
USGS	08068780	00065	134255		5	13	1998	2018	21	110.35
USGS	08068780	00065	134255		5	14	1998	2018	21	110.65
USGS	08068780	00065	134255		5	15	1998	2018	21	110.60
USGS	08068780	00065	134255		5	16	1998	2018	21	110.34
USGS	08068780	00065	134255		5	17	1998	2018	21	110.11
USGS	08068780	00065	134255		5	18	1998	2018	20	108.77
USGS	08068780	00065	134255		5	19	1998	2018	20	108.60
USGS	08068780	00065	134255		5	20	1998	2018	19	107.29
USGS	08068780	00065	134255		5	21	1998	2018	20	109.06
USGS	08068780	00065	134255		5	22	1998	2018	20	108.78
USGS	08068780	00065	134255		5	23	1998	2018	19	110.80
USGS	08068780	00065	134255		5	24	1998	2018	19	110.67
USGS	08068780	00065	134255		5	25	1998	2018	19	110.76
USGS	08068780	00065	134255		5	26	1998	2018	19	111.18
USGS	08068780	00065	134255		5	27	1998	2018	19	112.29
USGS	08068780	00065	134255		5	28	1998	2018	19	112.68
USGS	08068780	00065	134255		5	29	1998	2018	19	112.26
USGS	08068780	00065	134255		5	30	1998	2018	20	109.28
USGS	08068780	00065	134255		5	31	1998	2018	19	106.91
USGS	08068780	00065	134255		6	1	1998	2018	18	109.14
USGS	08068780	00065	134255		6	2	1998	2018	18	109.10
USGS	08068780	00065	134255		6	3	1998	2018	20	108.63
USGS	08068780	00065	134255		6	4	1998	2018	19	110.77
USGS	08068780	00065	134255		6	5	1998	2018	19	110.65
USGS	08068780	00065	134255		6	6	1998	2018	20	112.29
USGS	08068780	00065	134255		6	7	1998	2018	21	109.89
USGS	08068780	00065	134255		6	8	1998	2018	20	112.23
USGS	08068780	00065	134255		6	9	1998	2018	19	111.29
USGS	08068780	00065	134255		6	10	1998	2018	20	108.91
USGS	08068780	00065	134255		6	11	1998	2018	20	108.59
USGS	08068780	00065	134255		6	12	1998	2018	21	110.05
USGS	08068780	00065	134255		6	13	1998	2018	21	110.06
USGS	08068780	00065	134255		6	14	1998	2018	21	110.30
USGS	08068780	00065	134255		6	15	1998	2018	21	110.07
USGS	08068780	00065	134255		6	16	1998	2018	21	110.21
USGS	08068780	00065	134255		6	17	1998	2018	21	110.12
USGS	08068780	00065	134255		6	18	1998	2018	21	110.46
USGS	08068780	00065	134255		6	19	1998	2018	21	110.42
USGS	08068780	00065	134255		6	20	1998	2018	21	110.35
USGS	08068780	00065	134255		6	21	1998	2018	21	110.39
USGS	08068780	00065	134255		6	22	1998	2018	21	110.27
USGS	08068780	00065	134255		6	23	1998	2018	21	110.37
USGS	08068780	00065	134255		6	24	1998	2018	21	110.50
