#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068800     00065          Cypress Ck at Grant Rd nr Cypress, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068800	00065	134257		1	1	1999	2018	19	54.04
USGS	08068800	00065	134257		1	2	1999	2018	19	53.92
USGS	08068800	00065	134257		1	3	1999	2018	19	53.79
USGS	08068800	00065	134257		1	4	1999	2018	19	53.75
USGS	08068800	00065	134257		1	5	1999	2018	20	52.31
USGS	08068800	00065	134257		1	6	1999	2018	20	52.13
USGS	08068800	00065	134257		1	7	1999	2018	19	53.62
USGS	08068800	00065	134257		1	8	1999	2018	19	53.54
USGS	08068800	00065	134257		1	9	1999	2018	20	52.40
USGS	08068800	00065	134257		1	10	1999	2018	19	53.87
USGS	08068800	00065	134257		1	11	1999	2018	19	53.93
USGS	08068800	00065	134257		1	12	1999	2018	20	52.33
USGS	08068800	00065	134257		1	13	1999	2018	19	53.87
USGS	08068800	00065	134257		1	14	1999	2018	20	52.11
USGS	08068800	00065	134257		1	15	1999	2018	20	52.17
USGS	08068800	00065	134257		1	16	1999	2018	20	52.50
USGS	08068800	00065	134257		1	17	1999	2017	19	50.47
USGS	08068800	00065	134257		1	18	1999	2018	20	53.16
USGS	08068800	00065	134257		1	19	1999	2018	20	53.31
USGS	08068800	00065	134257		1	20	1999	2018	20	53.10
USGS	08068800	00065	134257		1	21	1999	2018	20	52.84
USGS	08068800	00065	134257		1	22	1999	2018	20	52.57
USGS	08068800	00065	134257		1	23	1999	2018	19	53.87
USGS	08068800	00065	134257		1	24	1999	2018	19	54.10
USGS	08068800	00065	134257		1	25	1999	2018	20	53.08
USGS	08068800	00065	134257		1	26	1999	2018	19	54.68
USGS	08068800	00065	134257		1	27	1999	2018	20	52.99
USGS	08068800	00065	134257		1	28	1999	2018	20	52.78
USGS	08068800	00065	134257		1	29	1999	2018	20	52.72
USGS	08068800	00065	134257		1	30	1999	2018	20	52.50
USGS	08068800	00065	134257		1	31	1999	2018	20	52.47
USGS	08068800	00065	134257		2	1	1999	2018	20	52.62
USGS	08068800	00065	134257		2	2	1999	2018	20	52.60
USGS	08068800	00065	134257		2	3	1999	2018	20	52.38
USGS	08068800	00065	134257		2	4	1999	2018	20	52.46
USGS	08068800	00065	134257		2	5	1999	2018	19	53.90
USGS	08068800	00065	134257		2	6	1999	2018	19	53.81
USGS	08068800	00065	134257		2	7	1999	2018	19	53.76
USGS	08068800	00065	134257		2	8	1999	2018	19	53.76
USGS	08068800	00065	134257		2	9	1999	2018	19	53.88
USGS	08068800	00065	134257		2	10	1999	2018	20	52.75
USGS	08068800	00065	134257		2	11	1999	2018	19	54.51
USGS	08068800	00065	134257		2	12	1999	2018	20	53.02
USGS	08068800	00065	134257		2	13	1999	2018	20	52.82
USGS	08068800	00065	134257		2	14	1999	2018	20	52.74
USGS	08068800	00065	134257		2	15	1999	2018	20	52.53
USGS	08068800	00065	134257		2	16	1999	2018	20	52.39
USGS	08068800	00065	134257		2	17	1999	2018	20	52.33
USGS	08068800	00065	134257		2	18	1999	2018	20	52.55
USGS	08068800	00065	134257		2	19	1999	2018	20	52.39
USGS	08068800	00065	134257		2	20	1999	2018	20	52.40
USGS	08068800	00065	134257		2	21	1999	2018	20	52.84
USGS	08068800	00065	134257		2	22	2000	2018	19	54.43
USGS	08068800	00065	134257		2	23	2000	2018	19	54.36
USGS	08068800	00065	134257		2	24	1999	2018	20	52.74
USGS	08068800	00065	134257		2	25	1999	2018	20	53.05
USGS	08068800	00065	134257		2	26	1999	2018	20	53.08
USGS	08068800	00065	134257		2	27	1999	2018	20	52.69
USGS	08068800	00065	134257		2	28	1999	2018	20	52.46
USGS	08068800	00065	134257		2	29	2000	2016	5	55.83
USGS	08068800	00065	134257		3	1	1999	2018	20	52.25
USGS	08068800	00065	134257		3	2	1999	2018	20	52.26
USGS	08068800	00065	134257		3	3	1999	2018	20	52.42
USGS	08068800	00065	134257		3	4	1999	2018	19	49.90
USGS	08068800	00065	134257		3	5	1999	2018	20	52.57
USGS	08068800	00065	134257		3	6	1999	2018	20	52.34
USGS	08068800	00065	134257		3	7	1999	2018	20	52.18
USGS	08068800	00065	134257		3	8	1999	2018	20	52.25
USGS	08068800	00065	134257		3	9	1999	2018	20	53.07
USGS	08068800	00065	134257		3	10	1999	2018	20	53.88
USGS	08068800	00065	134257		3	11	1999	2018	20	54.01
USGS	08068800	00065	134257		3	12	1999	2018	20	54.08
USGS	08068800	00065	134257		3	13	1999	2018	20	53.90
USGS	08068800	00065	134257		3	14	1999	2018	20	53.96
USGS	08068800	00065	134257		3	15	1999	2018	20	53.88
USGS	08068800	00065	134257		3	16	1999	2018	20	53.44
USGS	08068800	00065	134257		3	17	1999	2018	20	52.97
USGS	08068800	00065	134257		3	18	1999	2018	20	52.61
USGS	08068800	00065	134257		3	19	1999	2018	20	52.51
USGS	08068800	00065	134257		3	20	1999	2018	20	52.47
USGS	08068800	00065	134257		3	21	1999	2018	20	52.38
USGS	08068800	00065	134257		3	22	1999	2018	20	52.33
USGS	08068800	00065	134257		3	23	1999	2018	20	52.16
USGS	08068800	00065	134257		3	24	1999	2018	20	52.04
USGS	08068800	00065	134257		3	25	1999	2018	20	51.89
USGS	08068800	00065	134257		3	26	1999	2018	20	51.82
USGS	08068800	00065	134257		3	27	1999	2018	20	51.94
USGS	08068800	00065	134257		3	28	1999	2018	20	52.58
