#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08068900     00065          Cypress Ck at Stuebner-Airline Rd nr Westfield, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08068900	00065	134259		1	1	1999	2016	17	34.99
USGS	08068900	00065	134259		1	2	1999	2016	17	34.68
USGS	08068900	00065	134259		1	3	1999	2017	19	36.15
USGS	08068900	00065	134259		1	4	1999	2017	19	36.15
USGS	08068900	00065	134259		1	5	1999	2017	19	36.18
USGS	08068900	00065	134259		1	6	1999	2017	19	35.95
USGS	08068900	00065	134259		1	7	1999	2016	18	33.70
USGS	08068900	00065	134259		1	8	1999	2016	18	33.48
USGS	08068900	00065	134259		1	9	1999	2016	18	33.90
USGS	08068900	00065	134259		1	10	1999	2016	18	33.71
USGS	08068900	00065	134259		1	11	1999	2016	18	33.46
USGS	08068900	00065	134259		1	12	1999	2018	19	36.02
USGS	08068900	00065	134259		1	13	1999	2016	18	33.51
USGS	08068900	00065	134259		1	14	1999	2016	18	33.28
USGS	08068900	00065	134259		1	15	1999	2016	18	33.47
USGS	08068900	00065	134259		1	16	1999	2016	18	33.75
USGS	08068900	00065	134259		1	17	1999	2017	19	37.03
USGS	08068900	00065	134259		1	18	1999	2017	19	37.07
USGS	08068900	00065	134259		1	19	1999	2017	19	37.17
USGS	08068900	00065	134259		1	20	1999	2017	19	36.78
USGS	08068900	00065	134259		1	21	1999	2017	19	36.68
USGS	08068900	00065	134259		1	22	1999	2017	19	36.40
USGS	08068900	00065	134259		1	23	1999	2017	19	36.11
USGS	08068900	00065	134259		1	24	1999	2017	19	36.48
USGS	08068900	00065	134259		1	25	1999	2017	19	36.93
USGS	08068900	00065	134259		1	26	1999	2017	19	36.92
USGS	08068900	00065	134259		1	27	1999	2016	18	34.16
USGS	08068900	00065	134259		1	28	1999	2018	19	36.51
USGS	08068900	00065	134259		1	29	1999	2018	19	36.66
USGS	08068900	00065	134259		1	30	1999	2016	18	33.68
USGS	08068900	00065	134259		1	31	1999	2016	18	33.76
USGS	08068900	00065	134259		2	1	1999	2016	18	33.86
USGS	08068900	00065	134259		2	2	1999	2016	18	33.77
USGS	08068900	00065	134259		2	3	1999	2016	18	33.58
USGS	08068900	00065	134259		2	4	1999	2016	18	33.77
USGS	08068900	00065	134259		2	5	1999	2016	18	33.66
USGS	08068900	00065	134259		2	6	1999	2016	18	33.56
USGS	08068900	00065	134259		2	7	1999	2016	18	33.63
USGS	08068900	00065	134259		2	8	1999	2016	18	33.58
USGS	08068900	00065	134259		2	9	1999	2016	18	33.71
USGS	08068900	00065	134259		2	10	1999	2016	18	33.92
USGS	08068900	00065	134259		2	11	1999	2018	19	36.78
USGS	08068900	00065	134259		2	12	1999	2018	19	36.84
USGS	08068900	00065	134259		2	13	1999	2018	19	36.67
USGS	08068900	00065	134259		2	14	1999	2018	19	36.40
USGS	08068900	00065	134259		2	15	1999	2017	19	36.31
USGS	08068900	00065	134259		2	16	1999	2016	18	33.64
USGS	08068900	00065	134259		2	17	1999	2016	18	33.59
USGS	08068900	00065	134259		2	18	1999	2016	17	30.97
USGS	08068900	00065	134259		2	19	1999	2016	17	30.70
USGS	08068900	00065	134259		2	20	1999	2016	17	30.58
USGS	08068900	00065	134259		2	21	1999	2017	18	34.05
USGS	08068900	00065	134259		2	22	2000	2018	18	37.85
USGS	08068900	00065	134259		2	23	2000	2018	18	37.84
USGS	08068900	00065	134259		2	24	1999	2017	18	33.92
USGS	08068900	00065	134259		2	25	1999	2017	18	34.08
USGS	08068900	00065	134259		2	26	1999	2018	19	36.79
USGS	08068900	00065	134259		2	27	1999	2018	19	36.37
USGS	08068900	00065	134259		2	28	1999	2018	19	36.18
USGS	08068900	00065	134259		2	29	2000	2016	5	41.37
USGS	08068900	00065	134259		3	1	1999	2018	19	36.09
USGS	08068900	00065	134259		3	2	1999	2018	19	36.15
USGS	08068900	00065	134259		3	3	1999	2016	18	33.67
USGS	08068900	00065	134259		3	4	1999	2016	18	33.84
USGS	08068900	00065	134259		3	5	1999	2016	18	33.69
USGS	08068900	00065	134259		3	6	1999	2016	18	33.53
USGS	08068900	00065	134259		3	7	1999	2016	18	33.48
USGS	08068900	00065	134259		3	8	1999	2016	18	33.52
USGS	08068900	00065	134259		3	9	1999	2016	18	34.39
USGS	08068900	00065	134259		3	10	1999	2016	18	35.16
USGS	08068900	00065	134259		3	11	1999	2016	18	35.10
USGS	08068900	00065	134259		3	12	1999	2017	19	37.69
USGS	08068900	00065	134259		3	13	1999	2017	19	37.68
USGS	08068900	00065	134259		3	14	1999	2017	19	37.84
USGS	08068900	00065	134259		3	15	1999	2016	18	35.01
USGS	08068900	00065	134259		3	16	1999	2016	18	34.53
USGS	08068900	00065	134259		3	17	1999	2016	18	34.12
USGS	08068900	00065	134259		3	18	1999	2016	18	33.82
USGS	08068900	00065	134259		3	19	1999	2016	18	33.84
USGS	08068900	00065	134259		3	20	1999	2016	18	33.79
USGS	08068900	00065	134259		3	21	1999	2016	18	33.60
USGS	08068900	00065	134259		3	22	1999	2016	18	33.56
USGS	08068900	00065	134259		3	23	1999	2016	18	33.36
USGS	08068900	00065	134259		3	24	1999	2016	18	33.31
USGS	08068900	00065	134259		3	25	1999	2016	18	33.20
USGS	08068900	00065	134259		3	26	1999	2016	18	33.21
USGS	08068900	00065	134259		3	27	1999	2016	18	33.29
USGS	08068900	00065	134259		3	28	1999	2016	18	33.82
USGS	08068900	00065	134259		3	29	1999	2018	19	37.19
USGS	08068900	00065	134259		3	30	1999	2018	19	40.34
USGS	08068900	00065	134259		3	31	1999	2018	18	37.74
USGS	08068900	00065	134259		4	1	1999	2018	18	37.58
USGS	08068900	00065	134259		4	2	1999	2018	19	36.31
USGS	08068900	00065	134259		4	3	1999	2018	19	36.12
USGS	08068900	00065	134259		4	4	1999	2017	19	35.79
USGS	08068900	00065	134259		4	5	1999	2016	18	33.10
USGS	08068900	00065	134259		4	6	1999	2016	18	33.04
USGS	08068900	00065	134259		4	7	1999	2016	18	33.03
USGS	08068900	00065	134259		4	8	1999	2016	18	33.72
USGS	08068900	00065	134259		4	9	1999	2016	18	33.53
USGS	08068900	00065	134259		4	10	1999	2016	18	33.59
USGS	08068900	00065	134259		4	11	1999	2016	18	33.90
