#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08069000     00065          Cypress Ck nr Westfield, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08069000	00065	134261		1	1	1997	2018	22	23.22
USGS	08069000	00065	134261		1	2	1997	2018	22	23.28
USGS	08069000	00065	134261		1	3	1997	2018	21	24.06
USGS	08069000	00065	134261		1	4	1997	2018	21	24.07
USGS	08069000	00065	134261		1	5	1997	2018	21	24.13
USGS	08069000	00065	134261		1	6	1997	2018	21	24.32
USGS	08069000	00065	134261		1	7	1997	2018	22	23.86
USGS	08069000	00065	134261		1	8	1997	2018	22	23.64
USGS	08069000	00065	134261		1	9	1997	2018	21	24.79
USGS	08069000	00065	134261		1	10	1997	2018	22	23.59
USGS	08069000	00065	134261		1	11	1997	2018	22	23.48
USGS	08069000	00065	134261		1	12	1997	2018	22	23.32
USGS	08069000	00065	134261		1	13	1998	2018	21	24.25
USGS	08069000	00065	134261		1	14	1997	2018	22	23.13
USGS	08069000	00065	134261		1	15	1997	2018	22	23.11
USGS	08069000	00065	134261		1	16	1997	2018	22	23.38
USGS	08069000	00065	134261		1	17	1997	2018	22	23.87
USGS	08069000	00065	134261		1	18	1997	2018	22	23.75
USGS	08069000	00065	134261		1	19	1997	2018	22	23.68
USGS	08069000	00065	134261		1	20	1997	2018	21	24.34
USGS	08069000	00065	134261		1	21	1997	2018	22	23.49
USGS	08069000	00065	134261		1	22	1997	2018	22	23.60
USGS	08069000	00065	134261		1	23	1997	2018	22	23.42
USGS	08069000	00065	134261		1	24	1997	2018	22	23.62
USGS	08069000	00065	134261		1	25	1997	2018	22	23.90
USGS	08069000	00065	134261		1	26	1997	2018	22	23.62
USGS	08069000	00065	134261		1	27	1997	2018	22	23.46
USGS	08069000	00065	134261		1	28	1997	2018	22	23.45
USGS	08069000	00065	134261		1	29	1997	2018	22	23.62
USGS	08069000	00065	134261		1	30	1997	2018	22	23.21
USGS	08069000	00065	134261		1	31	1997	2018	22	23.22
USGS	08069000	00065	134261		2	1	1997	2018	22	23.31
USGS	08069000	00065	134261		2	2	1996	2018	23	22.32
USGS	08069000	00065	134261		2	3	1996	2018	23	22.21
USGS	08069000	00065	134261		2	4	1996	2018	23	22.31
USGS	08069000	00065	134261		2	5	1996	2018	23	22.22
USGS	08069000	00065	134261		2	6	1996	2018	23	22.19
USGS	08069000	00065	134261		2	7	1996	2018	23	22.36
USGS	08069000	00065	134261		2	8	1996	2018	23	22.25
USGS	08069000	00065	134261		2	9	1996	2018	23	22.27
USGS	08069000	00065	134261		2	10	1996	2018	23	22.65
USGS	08069000	00065	134261		2	11	1996	2018	23	22.77
USGS	08069000	00065	134261		2	12	1996	2018	23	22.93
USGS	08069000	00065	134261		2	13	1996	2018	23	22.79
USGS	08069000	00065	134261		2	14	1996	2018	23	22.62
USGS	08069000	00065	134261		2	15	1996	2018	23	22.51
USGS	08069000	00065	134261		2	16	1996	2018	23	22.46
USGS	08069000	00065	134261		2	17	1996	2018	23	22.41
USGS	08069000	00065	134261		2	18	1996	2018	23	22.52
USGS	08069000	00065	134261		2	19	1996	2018	23	22.30
USGS	08069000	00065	134261		2	20	1996	2018	23	22.40
USGS	08069000	00065	134261		2	21	1996	2018	23	22.86
USGS	08069000	00065	134261		2	22	1996	2018	23	23.13
USGS	08069000	00065	134261		2	23	1996	2018	23	23.03
USGS	08069000	00065	134261		2	24	1996	2018	23	22.87
USGS	08069000	00065	134261		2	25	1996	2018	23	23.07
USGS	08069000	00065	134261		2	26	1996	2018	23	23.03
USGS	08069000	00065	134261		2	27	1996	2018	23	22.80
USGS	08069000	00065	134261		2	28	1996	2018	23	22.62
USGS	08069000	00065	134261		2	29	1996	2016	6	23.84
USGS	08069000	00065	134261		3	1	1996	2018	23	22.58
USGS	08069000	00065	134261		3	2	1996	2018	23	22.53
USGS	08069000	00065	134261		3	3	1996	2018	22	20.48
USGS	08069000	00065	134261		3	4	1996	2018	23	22.37
USGS	08069000	00065	134261		3	5	1996	2018	23	22.33
USGS	08069000	00065	134261		3	6	1996	2018	23	22.23
USGS	08069000	00065	134261		3	7	1996	2018	23	22.16
USGS	08069000	00065	134261		3	8	1996	2018	23	22.19
USGS	08069000	00065	134261		3	9	1996	2018	23	22.75
USGS	08069000	00065	134261		3	10	1996	2018	22	24.06
USGS	08069000	00065	134261		3	11	1996	2018	22	24.05
USGS	08069000	00065	134261		3	12	1996	2018	22	24.39
USGS	08069000	00065	134261		3	13	1996	2018	22	24.34
USGS	08069000	00065	134261		3	14	1996	2018	22	24.59
USGS	08069000	00065	134261		3	15	1996	2018	23	23.37
USGS	08069000	00065	134261		3	16	1996	2018	23	23.12
USGS	08069000	00065	134261		3	17	1996	2018	22	23.68
USGS	08069000	00065	134261		3	18	1996	2018	22	23.55
USGS	08069000	00065	134261		3	19	1996	2018	23	22.74
USGS	08069000	00065	134261		3	20	1996	2018	22	20.74
USGS	08069000	00065	134261		3	21	1996	2018	23	22.48
USGS	08069000	00065	134261		3	22	1996	2018	23	22.35
USGS	08069000	00065	134261		3	23	1996	2018	23	22.15
USGS	08069000	00065	134261		3	24	1996	2018	23	22.12
USGS	08069000	00065	134261		3	25	1996	2018	23	22.11
USGS	08069000	00065	134261		3	26	1996	2018	23	22.16
USGS	08069000	00065	134261		3	27	1996	2018	23	22.10
USGS	08069000	00065	134261		3	28	1996	2018	23	22.48
USGS	08069000	00065	134261		3	29	1996	2018	22	23.93
USGS	08069000	00065	134261		3	30	1996	2018	22	23.52
USGS	08069000	00065	134261		3	31	1996	2018	22	23.24
USGS	08069000	00065	134261		4	1	1996	2018	22	23.08
USGS	08069000	00065	134261		4	2	1996	2018	23	22.28
USGS	08069000	00065	134261		4	3	1996	2018	23	22.18
USGS	08069000	00065	134261		4	4	1996	2018	22	23.06
USGS	08069000	00065	134261		4	5	1996	2018	22	23.00
USGS	08069000	00065	134261		4	6	1996	2018	21	23.82
USGS	08069000	00065	134261		4	7	1997	2018	22	22.88
USGS	08069000	00065	134261		4	8	1996	2018	22	23.23
USGS	08069000	00065	134261		4	9	1996	2018	22	22.91
USGS	08069000	00065	134261		4	10	1996	2018	21	23.84
USGS	08069000	00065	134261		4	11	1996	2018	22	23.32
USGS	08069000	00065	134261		4	12	1996	2018	22	23.33
USGS	08069000	00065	134261		4	13	1996	2018	22	23.23
USGS	08069000	00065	134261		4	14	1996	2018	22	23.06
USGS	08069000	00065	134261		4	15	1996	2018	21	20.87
USGS	08069000	00065	134261		4	16	1996	2018	21	20.86
USGS	08069000	00065	134261		4	17	1996	2018	22	23.28
USGS	08069000	00065	134261		4	18	1996	2018	22	24.68
USGS	08069000	00065	134261		4	19	1996	2018	23	23.76
USGS	08069000	00065	134261		4	20	1996	2018	23	23.49
USGS	08069000	00065	134261		4	21	1996	2018	23	23.34
USGS	08069000	00065	134261		4	22	1996	2018	23	23.04
USGS	08069000	00065	134261		4	23	1996	2018	23	22.56
USGS	08069000	00065	134261		4	24	1996	2018	22	20.40
USGS	08069000	00065	134261		4	25	1996	2018	22	23.37
USGS	08069000	00065	134261		4	26	1996	2018	23	22.40
USGS	08069000	00065	134261		4	27	1996	2018	23	22.39
USGS	08069000	00065	134261		4	28	1996	2018	23	23.16
USGS	08069000	00065	134261		4	29	1996	2018	23	23.16
USGS	08069000	00065	134261		4	30	1996	2018	22	23.73
USGS	08069000	00065	134261		5	1	1996	2018	23	22.87
USGS	08069000	00065	134261		5	2	1996	2018	23	22.88
USGS	08069000	00065	134261		5	3	1996	2018	23	22.57
USGS	08069000	00065	134261		5	4	1996	2018	23	22.52
USGS	08069000	00065	134261		5	5	1996	2018	23	22.73
USGS	08069000	00065	134261		5	6	1996	2018	23	22.45
USGS	08069000	00065	134261		5	7	1996	2018	23	22.25
USGS	08069000	00065	134261		5	8	1996	2018	23	22.11
USGS	08069000	00065	134261		5	9	1996	2018	23	22.10
USGS	08069000	00065	134261		5	10	1996	2018	23	22.18
USGS	08069000	00065	134261		5	11	1996	2018	23	22.16
USGS	08069000	00065	134261		5	12	1996	2018	23	22.46
USGS	08069000	00065	134261		5	13	1996	2018	23	22.93
USGS	08069000	00065	134261		5	14	1996	2018	22	23.60
USGS	08069000	00065	134261		5	15	1996	2018	23	22.78
USGS	08069000	00065	134261		5	16	1996	2018	23	22.61
USGS	08069000	00065	134261		5	17	1996	2018	23	22.54
USGS	08069000	00065	134261		5	18	1996	2018	23	22.46
USGS	08069000	00065	134261		5	19	1996	2018	23	22.39
USGS	08069000	00065	134261		5	20	1996	2018	23	22.83
USGS	08069000	00065	134261		5	21	1996	2018	23	22.70
USGS	08069000	00065	134261		5	22	1996	2018	23	22.82
USGS	08069000	00065	134261		5	23	1996	2018	23	22.68
USGS	08069000	00065	134261		5	24	1996	2018	23	22.59
USGS	08069000	00065	134261		5	25	1996	2018	23	22.59
USGS	08069000	00065	134261		5	26	1996	2018	23	23.22
USGS	08069000	00065	134261		5	27	1996	2018	23	23.99
USGS	08069000	00065	134261		5	28	1996	2018	23	24.17
USGS	08069000	00065	134261		5	29	1996	2018	23	24.10
USGS	08069000	00065	134261		5	30	1996	2018	23	23.60
USGS	08069000	00065	134261		5	31	1996	2018	23	23.54
USGS	08069000	00065	134261		6	1	1996	2018	23	23.17
USGS	08069000	00065	134261		6	2	1996	2018	23	23.46
USGS	08069000	00065	134261		6	3	1996	2018	23	23.09
USGS	08069000	00065	134261		6	4	1996	2018	23	22.87
USGS	08069000	00065	134261		6	5	1996	2018	23	22.43
USGS	08069000	00065	134261		6	6	1996	2018	23	22.43
USGS	08069000	00065	134261		6	7	1996	2018	23	22.17
USGS	08069000	00065	134261		6	8	1996	2018	23	22.59
USGS	08069000	00065	134261		6	9	1996	2018	23	23.46
USGS	08069000	00065	134261		6	10	1996	2018	22	24.15
USGS	08069000	00065	134261		6	11	1996	2018	23	22.79
USGS	08069000	00065	134261		6	12	1996	2018	22	23.34
USGS	08069000	00065	134261		6	13	1996	2018	22	23.15
USGS	08069000	00065	134261		6	14	1996	2018	23	22.41
USGS	08069000	00065	134261		6	15	1996	2018	23	22.62
USGS	08069000	00065	134261		6	16	1996	2018	21	21.46
USGS	08069000	00065	134261		6	17	1996	2018	22	20.72
USGS	08069000	00065	134261		6	18	1996	2018	23	22.54
USGS	08069000	00065	134261		6	19	1996	2018	23	22.87
USGS	08069000	00065	134261		6	20	1996	2018	23	22.86
USGS	08069000	00065	134261		6	21	1996	2018	23	22.76
USGS	08069000	00065	134261		6	22	1996	2018	22	23.61
USGS	08069000	00065	134261		6	23	1996	2018	23	22.76
USGS	08069000	00065	134261		6	24	1996	2018	23	22.66
USGS	08069000	00065	134261		6	25	1996	2018	23	22.64
USGS	08069000	00065	134261		6	26	1996	2018	21	24.19
USGS	08069000	00065	134261		6	27	1996	2018	22	23.41
USGS	08069000	00065	134261		6	28	1996	2018	22	20.99
USGS	08069000	00065	134261		6	29	1996	2018	22	20.73
USGS	08069000	00065	134261		6	30	1996	2018	23	22.48
