#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08069500     00065          W Fk San Jacinto Rv nr Humble, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08069500	00065	134263		1	1	2011	2017	7	42.54
USGS	08069500	00065	134263		1	2	2011	2017	7	42.60
USGS	08069500	00065	134263		1	3	2011	2017	7	42.79
USGS	08069500	00065	134263		1	4	2011	2017	7	42.65
USGS	08069500	00065	134263		1	5	2011	2017	7	42.65
USGS	08069500	00065	134263		1	6	2011	2017	7	42.62
USGS	08069500	00065	134263		1	7	2011	2017	7	43.02
USGS	08069500	00065	134263		1	8	2011	2017	7	42.76
USGS	08069500	00065	134263		1	9	2011	2017	7	42.94
USGS	08069500	00065	134263		1	10	2011	2017	7	43.43
USGS	08069500	00065	134263		1	11	2011	2017	7	43.04
USGS	08069500	00065	134263		1	12	2011	2017	7	42.94
USGS	08069500	00065	134263		1	13	2011	2017	7	42.78
USGS	08069500	00065	134263		1	14	2011	2017	6	42.68
USGS	08069500	00065	134263		1	15	2011	2017	6	42.62
USGS	08069500	00065	134263		1	16	2011	2017	6	42.63
USGS	08069500	00065	134263		1	17	2011	2017	7	42.69
USGS	08069500	00065	134263		1	18	2011	2017	7	43.22
