#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08070200     00065          E Fk San Jacinto Rv nr New Caney, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08070200	00065	134287		1	1	1997	2018	22	8.65
USGS	08070200	00065	134287		1	2	1997	2018	22	8.70
USGS	08070200	00065	134287		1	3	1997	2018	22	8.76
USGS	08070200	00065	134287		1	4	1997	2018	21	8.91
USGS	08070200	00065	134287		1	5	1997	2018	21	8.82
USGS	08070200	00065	134287		1	6	1997	2018	22	8.57
USGS	08070200	00065	134287		1	7	1997	2018	22	9.00
USGS	08070200	00065	134287		1	8	1997	2018	22	9.31
USGS	08070200	00065	134287		1	9	1997	2018	22	9.37
USGS	08070200	00065	134287		1	10	1997	2018	22	9.36
USGS	08070200	00065	134287		1	11	1997	2018	22	9.43
USGS	08070200	00065	134287		1	12	1997	2018	22	9.24
USGS	08070200	00065	134287		1	13	1997	2018	22	9.14
USGS	08070200	00065	134287		1	14	1997	2018	22	9.05
USGS	08070200	00065	134287		1	15	1997	2018	22	8.81
USGS	08070200	00065	134287		1	16	1997	2018	22	8.85
USGS	08070200	00065	134287		1	17	1997	2018	22	9.22
USGS	08070200	00065	134287		1	18	1997	2018	22	9.47
USGS	08070200	00065	134287		1	19	1997	2018	22	9.55
USGS	08070200	00065	134287		1	20	1997	2018	22	9.59
USGS	08070200	00065	134287		1	21	1997	2018	22	9.61
USGS	08070200	00065	134287		1	22	1997	2018	22	9.67
USGS	08070200	00065	134287		1	23	1997	2018	22	9.59
USGS	08070200	00065	134287		1	24	1997	2018	22	9.38
USGS	08070200	00065	134287		1	25	1997	2018	22	9.67
USGS	08070200	00065	134287		1	26	1997	2018	22	9.62
USGS	08070200	00065	134287		1	27	1997	2018	22	9.42
USGS	08070200	00065	134287		1	28	1997	2018	22	9.40
USGS	08070200	00065	134287		1	29	1997	2018	22	9.37
USGS	08070200	00065	134287		1	30	1997	2018	22	9.23
USGS	08070200	00065	134287		1	31	1997	2018	22	9.22
USGS	08070200	00065	134287		2	1	1997	2018	22	9.41
USGS	08070200	00065	134287		2	2	1997	2018	22	9.46
USGS	08070200	00065	134287		2	3	1997	2018	22	9.38
USGS	08070200	00065	134287		2	4	1997	2018	22	9.22
USGS	08070200	00065	134287		2	5	1997	2018	22	9.10
USGS	08070200	00065	134287		2	6	1997	2018	22	8.92
USGS	08070200	00065	134287		2	7	1997	2018	22	8.90
USGS	08070200	00065	134287		2	8	1997	2018	22	9.05
USGS	08070200	00065	134287		2	9	1997	2018	22	9.02
USGS	08070200	00065	134287		2	10	1998	2018	21	9.38
USGS	08070200	00065	134287		2	11	1998	2018	21	9.71
USGS	08070200	00065	134287		2	12	1997	2018	22	9.78
USGS	08070200	00065	134287		2	13	1997	2018	22	10.30
USGS	08070200	00065	134287		2	14	1997	2018	22	10.37
USGS	08070200	00065	134287		2	15	1998	2018	21	9.89
USGS	08070200	00065	134287		2	16	1998	2018	21	9.80
USGS	08070200	00065	134287		2	17	1998	2018	21	9.68
USGS	08070200	00065	134287		2	18	1997	2018	22	9.50
USGS	08070200	00065	134287		2	19	1997	2018	22	9.39
USGS	08070200	00065	134287		2	20	1997	2018	22	9.45
USGS	08070200	00065	134287		2	21	1997	2018	22	9.79
USGS	08070200	00065	134287		2	22	1997	2018	21	10.05
USGS	08070200	00065	134287		2	23	1997	2018	22	10.28
USGS	08070200	00065	134287		2	24	1997	2018	22	10.49
USGS	08070200	00065	134287		2	25	1997	2018	22	10.66
USGS	08070200	00065	134287		2	26	1997	2018	22	10.60
USGS	08070200	00065	134287		2	27	1997	2018	22	10.25
USGS	08070200	00065	134287		2	28	1997	2018	21	9.89
USGS	08070200	00065	134287		2	29	2000	2016	5	5.05
USGS	08070200	00065	134287		3	1	1997	2018	20	9.82
USGS	08070200	00065	134287		3	2	1997	2018	20	9.74
USGS	08070200	00065	134287		3	3	1997	2018	21	9.49
USGS	08070200	00065	134287		3	4	1997	2018	21	9.50
USGS	08070200	00065	134287		3	5	1997	2018	21	9.50
USGS	08070200	00065	134287		3	6	1997	2018	22	9.21
USGS	08070200	00065	134287		3	7	1997	2018	22	9.05
USGS	08070200	00065	134287		3	8	1997	2018	21	6.93
USGS	08070200	00065	134287		3	9	1997	2018	20	7.03
USGS	08070200	00065	134287		3	10	1997	2018	20	7.64
USGS	08070200	00065	134287		3	11	1997	2018	21	7.72
USGS	08070200	00065	134287		3	12	1997	2018	21	8.44
USGS	08070200	00065	134287		3	13	1997	2018	21	8.96
USGS	08070200	00065	134287		3	14	1997	2018	21	9.28
USGS	08070200	00065	134287		3	15	1997	2018	21	9.03
USGS	08070200	00065	134287		3	16	1997	2018	21	8.54
USGS	08070200	00065	134287		3	17	1997	2018	21	8.12
USGS	08070200	00065	134287		3	18	1997	2018	21	7.77
USGS	08070200	00065	134287		3	19	1997	2018	21	7.61
USGS	08070200	00065	134287		3	20	1997	2018	21	7.43
USGS	08070200	00065	134287		3	21	1997	2018	21	7.43
USGS	08070200	00065	134287		3	22	1997	2018	21	7.59
USGS	08070200	00065	134287		3	23	1997	2018	21	7.49
USGS	08070200	00065	134287		3	24	1997	2018	21	7.29
USGS	08070200	00065	134287		3	25	1997	2018	21	7.19
USGS	08070200	00065	134287		3	26	1997	2018	21	7.03
USGS	08070200	00065	134287		3	27	1997	2018	20	6.88
USGS	08070200	00065	134287		3	28	1997	2018	21	6.91
USGS	08070200	00065	134287		3	29	1997	2018	20	7.58
USGS	08070200	00065	134287		3	30	1997	2018	20	7.77
USGS	08070200	00065	134287		3	31	1997	2018	19	8.23
USGS	08070200	00065	134287		4	1	1997	2018	19	7.97
USGS	08070200	00065	134287		4	2	1997	2018	20	7.46
USGS	08070200	00065	134287		4	3	1997	2018	19	7.39
USGS	08070200	00065	134287		4	4	1997	2018	20	7.09
USGS	08070200	00065	134287		4	5	1997	2018	20	7.34
USGS	08070200	00065	134287		4	6	1997	2018	20	7.48
USGS	08070200	00065	134287		4	7	1997	2018	20	7.61
USGS	08070200	00065	134287		4	8	1997	2018	21	7.50
USGS	08070200	00065	134287		4	9	1997	2018	20	7.32
USGS	08070200	00065	134287		4	10	1997	2018	21	6.70
USGS	08070200	00065	134287		4	11	1997	2018	21	6.84
USGS	08070200	00065	134287		4	12	1997	2018	21	6.70
USGS	08070200	00065	134287		4	13	1997	2018	21	6.63
USGS	08070200	00065	134287		4	14	1997	2018	21	6.80
USGS	08070200	00065	134287		4	15	1997	2018	21	6.93
USGS	08070200	00065	134287		4	16	1997	2018	21	6.81
USGS	08070200	00065	134287		4	17	1997	2018	21	6.54
USGS	08070200	00065	134287		4	18	1997	2018	21	6.99
USGS	08070200	00065	134287		4	19	1997	2018	21	7.32
USGS	08070200	00065	134287		4	20	1997	2018	21	7.43
USGS	08070200	00065	134287		4	21	1997	2018	21	7.53
USGS	08070200	00065	134287		4	22	1997	2018	21	7.61
USGS	08070200	00065	134287		4	23	1998	2018	20	7.35
USGS	08070200	00065	134287		4	24	1998	2018	20	6.93
USGS	08070200	00065	134287		4	25	1997	2018	21	6.63
USGS	08070200	00065	134287		4	26	1997	2018	21	6.54
USGS	08070200	00065	134287		4	27	1997	2018	21	6.45
USGS	08070200	00065	134287		4	28	1997	2018	20	6.72
USGS	08070200	00065	134287		4	29	1997	2018	21	6.80
USGS	08070200	00065	134287		4	30	1997	2018	21	6.80
USGS	08070200	00065	134287		5	1	1997	2018	21	6.82
USGS	08070200	00065	134287		5	2	1997	2018	21	7.41
USGS	08070200	00065	134287		5	3	1997	2018	21	7.58
USGS	08070200	00065	134287		5	4	1997	2018	21	7.64
USGS	08070200	00065	134287		5	5	1997	2018	21	7.38
USGS	08070200	00065	134287		5	6	1997	2018	21	7.11
USGS	08070200	00065	134287		5	7	1997	2018	21	6.63
USGS	08070200	00065	134287		5	8	1997	2018	21	6.28
USGS	08070200	00065	134287		5	9	1997	2018	21	6.10
USGS	08070200	00065	134287		5	10	1997	2018	21	6.00
USGS	08070200	00065	134287		5	11	1997	2018	21	6.02
USGS	08070200	00065	134287		5	12	1997	2018	21	6.34
USGS	08070200	00065	134287		5	13	1997	2018	21	6.90
USGS	08070200	00065	134287		5	14	1997	2018	21	7.32
USGS	08070200	00065	134287		5	15	1997	2018	21	7.55
USGS	08070200	00065	134287		5	16	1997	2018	21	7.67
USGS	08070200	00065	134287		5	17	1997	2018	21	7.78
USGS	08070200	00065	134287		5	18	1997	2018	21	7.46
USGS	08070200	00065	134287		5	19	1997	2018	20	7.13
USGS	08070200	00065	134287		5	20	1997	2018	20	6.88
USGS	08070200	00065	134287		5	21	1997	2018	21	6.66
USGS	08070200	00065	134287		5	22	1997	2018	21	6.58
USGS	08070200	00065	134287		5	23	1997	2018	21	6.54
USGS	08070200	00065	134287		5	24	1997	2018	21	6.42
USGS	08070200	00065	134287		5	25	1997	2018	21	6.46
USGS	08070200	00065	134287		5	26	1997	2018	21	6.56
USGS	08070200	00065	134287		5	27	1997	2018	21	7.06
USGS	08070200	00065	134287		5	28	1997	2018	21	7.50
USGS	08070200	00065	134287		5	29	1997	2018	21	7.89
USGS	08070200	00065	134287		5	30	1997	2018	21	7.68
USGS	08070200	00065	134287		5	31	1997	2018	21	7.33
USGS	08070200	00065	134287		6	1	1997	2018	21	6.86
USGS	08070200	00065	134287		6	2	1997	2018	20	6.71
USGS	08070200	00065	134287		6	3	1997	2018	21	6.45
USGS	08070200	00065	134287		6	4	1997	2018	21	6.33
USGS	08070200	00065	134287		6	5	1997	2018	21	6.40
USGS	08070200	00065	134287		6	6	1997	2018	21	6.55
USGS	08070200	00065	134287		6	7	1997	2018	21	6.42
USGS	08070200	00065	134287		6	8	1997	2018	21	6.39
USGS	08070200	00065	134287		6	9	1997	2018	21	6.53
USGS	08070200	00065	134287		6	10	1997	2018	21	6.88
USGS	08070200	00065	134287		6	11	1997	2018	21	7.13
USGS	08070200	00065	134287		6	12	1997	2018	21	7.06
USGS	08070200	00065	134287		6	13	1997	2018	21	6.91
