#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08071280     00065          Luce Bayou abv Lk Houston nr Huffman, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08071280	00065	134308		1	1	1997	2018	20	10.91
USGS	08071280	00065	134308		1	2	1997	2018	21	10.62
USGS	08071280	00065	134308		1	3	1997	2018	20	10.66
USGS	08071280	00065	134308		1	4	1997	2018	20	10.82
USGS	08071280	00065	134308		1	5	1997	2018	20	10.99
USGS	08071280	00065	134308		1	6	1997	2018	20	11.09
USGS	08071280	00065	134308		1	7	1997	2018	21	11.68
USGS	08071280	00065	134308		1	8	1997	2018	20	11.70
USGS	08071280	00065	134308		1	9	1997	2018	20	11.44
USGS	08071280	00065	134308		1	10	1997	2018	21	11.36
USGS	08071280	00065	134308		1	11	1997	2018	21	11.67
USGS	08071280	00065	134308		1	12	1997	2018	22	11.64
USGS	08071280	00065	134308		1	13	1997	2018	22	11.50
USGS	08071280	00065	134308		1	14	1997	2018	22	11.40
USGS	08071280	00065	134308		1	15	1997	2018	22	10.99
USGS	08071280	00065	134308		1	16	1997	2018	22	10.78
USGS	08071280	00065	134308		1	17	1997	2018	22	10.93
USGS	08071280	00065	134308		1	18	1997	2018	21	11.11
USGS	08071280	00065	134308		1	19	1997	2018	20	11.15
USGS	08071280	00065	134308		1	20	1997	2018	21	11.06
USGS	08071280	00065	134308		1	21	1997	2018	21	10.97
USGS	08071280	00065	134308		1	22	1997	2018	21	10.84
USGS	08071280	00065	134308		1	23	1997	2018	21	11.01
USGS	08071280	00065	134308		1	24	1997	2018	22	11.30
USGS	08071280	00065	134308		1	25	1997	2018	22	11.52
USGS	08071280	00065	134308		1	26	1997	2018	22	11.62
USGS	08071280	00065	134308		1	27	1997	2018	22	11.51
USGS	08071280	00065	134308		1	28	1997	2018	22	11.28
USGS	08071280	00065	134308		1	29	1997	2018	22	11.24
USGS	08071280	00065	134308		1	30	1997	2018	21	11.27
USGS	08071280	00065	134308		1	31	1997	2018	22	11.13
USGS	08071280	00065	134308		2	1	1997	2018	22	11.25
USGS	08071280	00065	134308		2	2	1997	2018	22	11.31
USGS	08071280	00065	134308		2	3	1997	2018	21	11.22
USGS	08071280	00065	134308		2	4	1997	2018	21	11.29
USGS	08071280	00065	134308		2	5	1997	2018	22	11.28
USGS	08071280	00065	134308		2	6	1997	2018	22	11.53
USGS	08071280	00065	134308		2	7	1997	2018	22	11.47
USGS	08071280	00065	134308		2	8	1997	2018	22	11.40
USGS	08071280	00065	134308		2	9	1997	2018	22	11.30
USGS	08071280	00065	134308		2	10	1997	2018	22	11.35
USGS	08071280	00065	134308		2	11	1997	2018	22	11.67
USGS	08071280	00065	134308		2	12	1997	2018	22	11.94
USGS	08071280	00065	134308		2	13	1997	2018	22	12.37
USGS	08071280	00065	134308		2	14	1997	2018	22	12.33
USGS	08071280	00065	134308		2	15	1997	2018	22	12.37
USGS	08071280	00065	134308		2	16	1997	2018	22	12.39
USGS	08071280	00065	134308		2	17	1997	2018	22	12.22
USGS	08071280	00065	134308		2	18	1997	2018	22	11.86
USGS	08071280	00065	134308		2	19	1997	2018	22	11.49
USGS	08071280	00065	134308		2	20	1997	2018	21	11.04
USGS	08071280	00065	134308		2	21	1997	2018	22	11.64
USGS	08071280	00065	134308		2	22	1997	2018	22	12.15
USGS	08071280	00065	134308		2	23	1997	2018	21	12.02
USGS	08071280	00065	134308		2	24	1997	2018	21	12.10
USGS	08071280	00065	134308		2	25	1997	2018	22	12.42
USGS	08071280	00065	134308		2	26	1997	2018	21	12.46
USGS	08071280	00065	134308		2	27	1997	2018	21	12.40
USGS	08071280	00065	134308		2	28	1997	2018	21	12.25
USGS	08071280	00065	134308		2	29	2000	2016	5	10.10
USGS	08071280	00065	134308		3	1	1997	2018	22	12.02
USGS	08071280	00065	134308		3	2	1997	2018	22	11.99
USGS	08071280	00065	134308		3	3	1997	2018	21	11.75
USGS	08071280	00065	134308		3	4	1997	2018	21	11.40
USGS	08071280	00065	134308		3	5	1997	2018	21	11.06
USGS	08071280	00065	134308		3	6	1997	2018	22	10.86
USGS	08071280	00065	134308		3	7	1997	2018	21	10.73
USGS	08071280	00065	134308		3	8	1997	2018	21	10.50
USGS	08071280	00065	134308		3	9	1997	2018	21	10.70
USGS	08071280	00065	134308		3	10	1997	2018	22	11.26
USGS	08071280	00065	134308		3	11	1997	2018	22	11.66
USGS	08071280	00065	134308		3	12	1997	2018	22	12.06
USGS	08071280	00065	134308		3	13	1997	2018	22	12.35
USGS	08071280	00065	134308		3	14	1997	2018	22	12.72
USGS	08071280	00065	134308		3	15	1997	2018	22	13.02
USGS	08071280	00065	134308		3	16	1997	2018	22	12.93
USGS	08071280	00065	134308		3	17	1997	2018	22	12.50
USGS	08071280	00065	134308		3	18	1997	2018	22	11.84
USGS	08071280	00065	134308		3	19	1997	2018	22	11.24
USGS	08071280	00065	134308		3	20	1997	2018	22	10.95
USGS	08071280	00065	134308		3	21	1997	2018	21	11.12
USGS	08071280	00065	134308		3	22	1997	2018	21	11.18
USGS	08071280	00065	134308		3	23	1997	2018	22	10.88
USGS	08071280	00065	134308		3	24	1997	2018	22	10.64
USGS	08071280	00065	134308		3	25	1997	2018	22	10.44
USGS	08071280	00065	134308		3	26	1997	2018	22	10.43
USGS	08071280	00065	134308		3	27	1997	2018	22	10.27
USGS	08071280	00065	134308		3	28	1997	2018	22	10.37
USGS	08071280	00065	134308		3	29	1997	2018	22	10.70
USGS	08071280	00065	134308		3	30	1997	2018	22	10.89
USGS	08071280	00065	134308		3	31	1997	2018	21	11.30
USGS	08071280	00065	134308		4	1	1997	2018	21	11.35
USGS	08071280	00065	134308		4	2	1997	2018	22	10.88
USGS	08071280	00065	134308		4	3	1997	2018	22	10.67
USGS	08071280	00065	134308		4	4	1997	2018	22	10.61
USGS	08071280	00065	134308		4	5	1997	2018	22	10.60
USGS	08071280	00065	134308		4	6	1997	2018	22	10.51
USGS	08071280	00065	134308		4	7	1997	2018	22	10.58
USGS	08071280	00065	134308		4	8	1997	2018	22	10.72
USGS	08071280	00065	134308		4	9	1997	2018	22	10.55
USGS	08071280	00065	134308		4	10	1997	2018	21	10.12
USGS	08071280	00065	134308		4	11	1997	2018	22	9.99
USGS	08071280	00065	134308		4	12	1997	2018	22	10.00
USGS	08071280	00065	134308		4	13	1997	2018	22	9.78
USGS	08071280	00065	134308		4	14	1997	2018	22	9.62
USGS	08071280	00065	134308		4	15	1997	2018	22	9.41
USGS	08071280	00065	134308		4	16	1997	2018	22	9.33
USGS	08071280	00065	134308		4	17	1997	2018	22	9.69
USGS	08071280	00065	134308		4	18	1997	2018	22	10.08
USGS	08071280	00065	134308		4	19	1997	2018	22	10.59
USGS	08071280	00065	134308		4	20	1997	2018	22	10.69
USGS	08071280	00065	134308		4	21	1997	2018	22	10.64
USGS	08071280	00065	134308		4	22	1997	2018	21	10.51
USGS	08071280	00065	134308		4	23	1997	2018	21	10.45
USGS	08071280	00065	134308		4	24	1997	2018	21	10.27
USGS	08071280	00065	134308		4	25	1997	2018	22	10.01
USGS	08071280	00065	134308		4	26	1997	2018	22	10.38
USGS	08071280	00065	134308		4	27	1997	2018	22	10.22
USGS	08071280	00065	134308		4	28	1997	2018	22	10.28
USGS	08071280	00065	134308		4	29	1997	2018	22	10.17
USGS	08071280	00065	134308		4	30	1997	2018	22	10.15
USGS	08071280	00065	134308		5	1	1997	2018	22	10.25
USGS	08071280	00065	134308		5	2	1997	2018	22	10.33
USGS	08071280	00065	134308		5	3	1997	2018	22	10.31
USGS	08071280	00065	134308		5	4	1997	2018	22	10.77
USGS	08071280	00065	134308		5	5	1997	2018	22	10.79
USGS	08071280	00065	134308		5	6	1997	2018	22	10.53
USGS	08071280	00065	134308		5	7	1997	2018	22	10.01
USGS	08071280	00065	134308		5	8	1997	2018	22	9.49
USGS	08071280	00065	134308		5	9	1997	2018	22	9.10
USGS	08071280	00065	134308		5	10	1997	2018	22	8.91
USGS	08071280	00065	134308		5	11	1997	2018	22	8.88
USGS	08071280	00065	134308		5	12	1997	2018	22	9.05
USGS	08071280	00065	134308		5	13	1997	2018	22	9.66
USGS	08071280	00065	134308		5	14	1997	2018	22	10.31
USGS	08071280	00065	134308		5	15	1997	2018	22	10.49
USGS	08071280	00065	134308		5	16	1997	2018	22	10.55
USGS	08071280	00065	134308		5	17	1997	2018	22	10.40
USGS	08071280	00065	134308		5	18	1997	2018	22	10.08
USGS	08071280	00065	134308		5	19	1997	2018	22	9.87
USGS	08071280	00065	134308		5	20	1997	2018	22	9.74
USGS	08071280	00065	134308		5	21	1997	2018	22	9.34
USGS	08071280	00065	134308		5	22	1997	2018	22	9.34
USGS	08071280	00065	134308		5	23	1997	2018	22	9.30
USGS	08071280	00065	134308		5	24	1997	2018	22	9.28
USGS	08071280	00065	134308		5	25	1997	2018	22	9.30
USGS	08071280	00065	134308		5	26	1997	2018	22	9.76
USGS	08071280	00065	134308		5	27	1997	2018	22	10.48
USGS	08071280	00065	134308		5	28	1997	2018	22	10.67
USGS	08071280	00065	134308		5	29	1997	2018	22	10.63
USGS	08071280	00065	134308		5	30	1997	2018	22	10.62
USGS	08071280	00065	134308		5	31	1997	2018	22	10.43
USGS	08071280	00065	134308		6	1	1997	2017	21	10.29
USGS	08071280	00065	134308		6	2	1997	2017	21	10.09
USGS	08071280	00065	134308		6	3	1997	2017	21	9.80
USGS	08071280	00065	134308		6	4	1997	2018	22	9.45
USGS	08071280	00065	134308		6	5	1997	2018	22	9.33
USGS	08071280	00065	134308		6	6	1997	2018	22	9.62
USGS	08071280	00065	134308		6	7	1997	2018	22	9.53
USGS	08071280	00065	134308		6	8	1997	2018	22	9.40
USGS	08071280	00065	134308		6	9	1997	2018	22	9.50
USGS	08071280	00065	134308		6	10	1997	2018	22	9.37
USGS	08071280	00065	134308		6	11	1997	2018	22	9.36
USGS	08071280	00065	134308		6	12	1997	2018	22	9.30
USGS	08071280	00065	134308		6	13	1997	2018	22	9.34
USGS	08071280	00065	134308		6	14	1997	2018	22	9.21
USGS	08071280	00065	134308		6	15	1997	2018	21	9.33
USGS	08071280	00065	134308		6	16	1997	2018	22	9.37
USGS	08071280	00065	134308		6	17	1997	2018	22	9.80
USGS	08071280	00065	134308		6	18	1997	2018	22	10.10
USGS	08071280	00065	134308		6	19	1997	2018	22	9.98
USGS	08071280	00065	134308		6	20	1997	2018	21	9.88
USGS	08071280	00065	134308		6	21	1997	2018	22	9.46
USGS	08071280	00065	134308		6	22	1997	2018	22	9.25
USGS	08071280	00065	134308		6	23	1997	2018	22	9.18
USGS	08071280	00065	134308		6	24	1997	2018	22	9.37
USGS	08071280	00065	134308		6	25	1997	2018	22	9.40
USGS	08071280	00065	134308		6	26	1997	2018	22	9.50
USGS	08071280	00065	134308		6	27	1997	2018	22	9.47
USGS	08071280	00065	134308		6	28	1997	2018	22	9.59
USGS	08071280	00065	134308		6	29	1997	2018	22	10.03
USGS	08071280	00065	134308		6	30	1997	2018	22	10.13
USGS	08071280	00065	134308		7	1	1997	2018	22	9.94
USGS	08071280	00065	134308		7	2	1997	2018	22	9.77
USGS	08071280	00065	134308		7	3	1997	2018	22	9.60
USGS	08071280	00065	134308		7	4	1997	2018	22	9.62
USGS	08071280	00065	134308		7	5	1997	2018	22	9.49
USGS	08071280	00065	134308		7	6	1997	2018	22	9.11
USGS	08071280	00065	134308		7	7	1997	2018	21	9.13
USGS	08071280	00065	134308		7	8	1997	2018	21	9.08
USGS	08071280	00065	134308		7	9	1997	2018	21	8.97
USGS	08071280	00065	134308		7	10	1997	2018	21	8.88
USGS	08071280	00065	134308		7	11	1997	2018	21	8.95
USGS	08071280	00065	134308		7	12	1997	2018	22	8.87
USGS	08071280	00065	134308		7	13	1997	2018	22	8.90
USGS	08071280	00065	134308		7	14	1997	2018	22	9.09
USGS	08071280	00065	134308		7	15	1997	2018	22	9.47
USGS	08071280	00065	134308		7	16	1997	2018	22	9.51
USGS	08071280	00065	134308		7	17	1997	2018	22	9.30
USGS	08071280	00065	134308		7	18	1997	2018	22	9.15
USGS	08071280	00065	134308		7	19	1997	2018	22	8.95
USGS	08071280	00065	134308		7	20	1997	2018	22	8.99
USGS	08071280	00065	134308		7	21	1997	2018	22	8.89
USGS	08071280	00065	134308		7	22	1997	2018	22	8.66
USGS	08071280	00065	134308		7	23	1997	2018	22	8.55
USGS	08071280	00065	134308		7	24	1997	2018	22	8.44
USGS	08071280	00065	134308		7	25	1997	2018	22	8.45
USGS	08071280	00065	134308		7	26	1997	2018	22	8.79
USGS	08071280	00065	134308		7	27	1997	2018	22	8.81
USGS	08071280	00065	134308		7	28	1997	2018	22	8.63
USGS	08071280	00065	134308		7	29	1998	2018	21	8.48
USGS	08071280	00065	134308		7	30	1997	2018	22	8.36
USGS	08071280	00065	134308		7	31	1997	2018	22	8.28
USGS	08071280	00065	134308		8	1	1996	2018	23	8.28
USGS	08071280	00065	134308		8	2	1996	2018	23	8.43
USGS	08071280	00065	134308		8	3	1996	2018	23	8.65
USGS	08071280	00065	134308		8	4	1996	2018	23	8.90
USGS	08071280	00065	134308		8	5	1996	2018	23	8.72
USGS	08071280	00065	134308		8	6	1996	2018	23	8.36
USGS	08071280	00065	134308		8	7	1996	2018	23	8.25
USGS	08071280	00065	134308		8	8	1996	2018	23	8.36
USGS	08071280	00065	134308		8	9	1996	2018	23	8.42
USGS	08071280	00065	134308		8	10	1996	2018	23	8.50
USGS	08071280	00065	134308		8	11	1996	2018	23	8.50
USGS	08071280	00065	134308		8	12	1996	2018	23	8.30
USGS	08071280	00065	134308		8	13	1996	2018	23	8.42
USGS	08071280	00065	134308		8	14	1996	2018	23	8.62
USGS	08071280	00065	134308		8	15	1996	2017	22	8.46
USGS	08071280	00065	134308		8	16	1996	2017	22	8.48
USGS	08071280	00065	134308		8	17	1996	2017	22	8.46
USGS	08071280	00065	134308		8	18	1996	2017	22	8.38
USGS	08071280	00065	134308		8	19	1996	2017	22	8.36
USGS	08071280	00065	134308		8	20	1996	2017	22	8.38
USGS	08071280	00065	134308		8	21	1996	2017	22	8.52
USGS	08071280	00065	134308		8	22	1996	2017	22	8.75
USGS	08071280	00065	134308		8	23	1996	2017	22	8.69
USGS	08071280	00065	134308		8	24	1996	2017	22	8.53
USGS	08071280	00065	134308		8	25	1996	2017	22	8.44
USGS	08071280	00065	134308		8	26	1996	2017	22	8.61
USGS	08071280	00065	134308		8	27	1996	2017	22	9.47
USGS	08071280	00065	134308		8	28	1996	2017	22	9.83
USGS	08071280	00065	134308		8	29	1996	2017	22	9.86
USGS	08071280	00065	134308		8	30	1996	2017	22	9.73
USGS	08071280	00065	134308		8	31	1996	2017	22	9.61
USGS	08071280	00065	134308		9	1	1996	2017	22	9.66
USGS	08071280	00065	134308		9	2	1996	2017	22	9.82
USGS	08071280	00065	134308		9	3	1996	2017	22	9.80
USGS	08071280	00065	134308		9	4	1996	2017	22	9.66
USGS	08071280	00065	134308		9	5	1996	2017	22	9.40
USGS	08071280	00065	134308		9	6	1996	2017	22	9.03
USGS	08071280	00065	134308		9	7	1996	2017	22	8.88
USGS	08071280	00065	134308		9	8	1996	2017	22	8.97
USGS	08071280	00065	134308		9	9	1996	2017	22	9.04
USGS	08071280	00065	134308		9	10	1996	2017	22	9.18
USGS	08071280	00065	134308		9	11	1997	2017	21	9.32
USGS	08071280	00065	134308		9	12	1996	2017	22	9.52
USGS	08071280	00065	134308		9	13	1996	2017	22	9.77
USGS	08071280	00065	134308		9	14	1996	2017	22	10.24
USGS	08071280	00065	134308		9	15	1996	2017	22	10.23
USGS	08071280	00065	134308		9	16	1996	2017	22	9.74
USGS	08071280	00065	134308		9	17	1996	2017	22	9.48
USGS	08071280	00065	134308		9	18	1996	2017	22	9.58
USGS	08071280	00065	134308		9	19	1996	2017	22	9.72
USGS	08071280	00065	134308		9	20	1996	2017	22	9.92
USGS	08071280	00065	134308		9	21	1996	2017	22	9.94
USGS	08071280	00065	134308		9	22	1996	2017	22	9.95
USGS	08071280	00065	134308		9	23	1996	2017	22	9.94
USGS	08071280	00065	134308		9	24	1996	2017	22	9.57
USGS	08071280	00065	134308		9	25	1996	2017	22	9.31
USGS	08071280	00065	134308		9	26	1996	2017	22	9.06
USGS	08071280	00065	134308		9	27	1996	2017	22	9.16
USGS	08071280	00065	134308		9	28	1996	2017	22	9.36
USGS	08071280	00065	134308		9	29	1996	2017	22	9.26
USGS	08071280	00065	134308		9	30	1996	2017	22	9.12
USGS	08071280	00065	134308		10	1	1997	2018	22	8.91
USGS	08071280	00065	134308		10	2	1997	2018	22	8.73
USGS	08071280	00065	134308		10	3	1997	2018	22	8.55
USGS	08071280	00065	134308		10	4	1997	2018	22	8.53
USGS	08071280	00065	134308		10	5	1997	2018	21	8.75
USGS	08071280	00065	134308		10	6	1997	2018	22	8.99
USGS	08071280	00065	134308		10	7	1998	2018	21	8.80
USGS	08071280	00065	134308		10	8	1997	2018	22	8.82
USGS	08071280	00065	134308		10	9	1997	2018	22	8.97
USGS	08071280	00065	134308		10	10	1997	2018	22	9.18
USGS	08071280	00065	134308		10	11	1997	2018	22	9.31
USGS	08071280	00065	134308		10	12	1997	2018	22	9.51
USGS	08071280	00065	134308		10	13	1997	2018	22	9.71
USGS	08071280	00065	134308		10	14	1997	2018	22	9.58
USGS	08071280	00065	134308		10	15	1997	2018	22	9.50
USGS	08071280	00065	134308		10	16	1997	2018	22	9.80
USGS	08071280	00065	134308		10	17	1997	2018	22	9.83
USGS	08071280	00065	134308		10	18	1997	2018	22	10.25
USGS	08071280	00065	134308		10	19	1997	2018	22	10.63
USGS	08071280	00065	134308		10	20	1997	2018	22	10.72
USGS	08071280	00065	134308		10	21	1997	2018	22	10.42
USGS	08071280	00065	134308		10	22	1997	2018	22	10.26
USGS	08071280	00065	134308		10	23	1997	2018	22	10.40
USGS	08071280	00065	134308		10	24	1997	2018	22	10.47
USGS	08071280	00065	134308		10	25	1997	2018	22	10.34
USGS	08071280	00065	134308		10	26	1997	2018	22	10.14
