#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072000     00065          Lk Houston nr Sheldon, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072000	00065	134317		1	1	1997	2017	21	43.95
USGS	08072000	00065	134317		1	2	1997	2017	21	43.92
USGS	08072000	00065	134317		1	3	1997	2017	21	43.92
USGS	08072000	00065	134317		1	4	1997	2017	21	43.89
USGS	08072000	00065	134317		1	5	1997	2017	21	43.88
USGS	08072000	00065	134317		1	6	1997	2017	21	43.86
USGS	08072000	00065	134317		1	7	1997	2017	21	43.96
USGS	08072000	00065	134317		1	8	1997	2017	21	43.96
USGS	08072000	00065	134317		1	9	1997	2017	21	43.95
USGS	08072000	00065	134317		1	10	1997	2017	21	43.99
USGS	08072000	00065	134317		1	11	1997	2017	21	43.98
USGS	08072000	00065	134317		1	12	1997	2017	21	43.94
USGS	08072000	00065	134317		1	13	1997	2017	21	43.94
USGS	08072000	00065	134317		1	14	1997	2017	21	43.94
USGS	08072000	00065	134317		1	15	1997	2017	21	43.92
USGS	08072000	00065	134317		1	16	1997	2017	21	43.93
USGS	08072000	00065	134317		1	17	1997	2017	21	43.97
USGS	08072000	00065	134317		1	18	1997	2017	21	44.02
USGS	08072000	00065	134317		1	19	1997	2017	21	44.08
USGS	08072000	00065	134317		1	20	1997	2017	21	44.07
USGS	08072000	00065	134317		1	21	1997	2017	21	44.02
USGS	08072000	00065	134317		1	22	1997	2017	21	43.96
USGS	08072000	00065	134317		1	23	1997	2017	21	43.93
USGS	08072000	00065	134317		1	24	1997	2017	21	43.96
USGS	08072000	00065	134317		1	25	1997	2017	21	44.06
USGS	08072000	00065	134317		1	26	1997	2017	20	44.21
USGS	08072000	00065	134317		1	27	1997	2017	21	43.98
USGS	08072000	00065	134317		1	28	1997	2017	21	43.92
USGS	08072000	00065	134317		1	29	1997	2017	21	43.95
USGS	08072000	00065	134317		1	30	1997	2017	21	43.96
USGS	08072000	00065	134317		1	31	1997	2017	21	43.91
USGS	08072000	00065	134317		2	1	1997	2017	21	43.88
USGS	08072000	00065	134317		2	2	1997	2017	21	43.88
USGS	08072000	00065	134317		2	3	1997	2017	21	43.86
USGS	08072000	00065	134317		2	4	1997	2017	21	43.87
USGS	08072000	00065	134317		2	5	1997	2017	21	43.87
USGS	08072000	00065	134317		2	6	1997	2017	21	43.84
USGS	08072000	00065	134317		2	7	1997	2017	21	43.82
USGS	08072000	00065	134317		2	8	1997	2017	21	43.82
USGS	08072000	00065	134317		2	9	1997	2017	21	43.83
USGS	08072000	00065	134317		2	10	1997	2017	21	43.83
USGS	08072000	00065	134317		2	11	1997	2017	21	43.91
