#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072050     00065          San Jacinto Rv nr Sheldon, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072050	00065	134318		1	1	1997	2018	22	1.13
USGS	08072050	00065	134318		1	2	1997	2018	22	1.08
USGS	08072050	00065	134318		1	3	1997	2018	22	1.12
USGS	08072050	00065	134318		1	4	1997	2018	22	1.21
USGS	08072050	00065	134318		1	5	1997	2018	22	1.13
USGS	08072050	00065	134318		1	6	1997	2018	22	0.92
USGS	08072050	00065	134318		1	7	1997	2018	22	1.40
USGS	08072050	00065	134318		1	8	1997	2018	22	1.74
USGS	08072050	00065	134318		1	9	1997	2018	21	1.72
USGS	08072050	00065	134318		1	10	1997	2018	21	1.55
USGS	08072050	00065	134318		1	11	1997	2018	22	1.44
USGS	08072050	00065	134318		1	12	1997	2018	22	1.27
USGS	08072050	00065	134318		1	13	1997	2018	22	1.14
USGS	08072050	00065	134318		1	14	1997	2018	22	1.18
USGS	08072050	00065	134318		1	15	1997	2018	22	1.34
USGS	08072050	00065	134318		1	16	1997	2018	22	1.36
USGS	08072050	00065	134318		1	17	1997	2018	22	1.22
USGS	08072050	00065	134318		1	18	1997	2018	21	1.32
USGS	08072050	00065	134318		1	19	1997	2018	22	1.38
USGS	08072050	00065	134318		1	20	1997	2018	22	1.50
USGS	08072050	00065	134318		1	21	1997	2018	22	1.64
USGS	08072050	00065	134318		1	22	1997	2018	22	1.59
USGS	08072050	00065	134318		1	23	1997	2018	22	1.06
USGS	08072050	00065	134318		1	24	1997	2018	22	1.21
USGS	08072050	00065	134318		1	25	1997	2018	22	1.38
USGS	08072050	00065	134318		1	26	1997	2018	22	1.39
USGS	08072050	00065	134318		1	27	1997	2018	22	1.38
USGS	08072050	00065	134318		1	28	1997	2018	22	1.30
USGS	08072050	00065	134318		1	29	1997	2018	22	1.23
USGS	08072050	00065	134318		1	30	1997	2018	22	1.19
USGS	08072050	00065	134318		1	31	1997	2018	22	1.40
USGS	08072050	00065	134318		2	1	1997	2018	22	1.48
USGS	08072050	00065	134318		2	2	1997	2018	22	1.24
USGS	08072050	00065	134318		2	3	1997	2018	22	1.28
USGS	08072050	00065	134318		2	4	1997	2018	22	1.38
USGS	08072050	00065	134318		2	5	1997	2018	22	1.38
USGS	08072050	00065	134318		2	6	1997	2018	22	1.28
USGS	08072050	00065	134318		2	7	1997	2018	22	1.07
USGS	08072050	00065	134318		2	8	1997	2018	22	1.23
USGS	08072050	00065	134318		2	9	1997	2018	22	1.39
USGS	08072050	00065	134318		2	10	1997	2018	22	1.33
USGS	08072050	00065	134318		2	11	1997	2018	22	1.37
USGS	08072050	00065	134318		2	12	1997	2018	21	1.47
USGS	08072050	00065	134318		2	13	1997	2018	22	1.61
USGS	08072050	00065	134318		2	14	1997	2018	22	1.86
USGS	08072050	00065	134318		2	15	1997	2018	22	1.67
USGS	08072050	00065	134318		2	16	1997	2018	22	1.41
USGS	08072050	00065	134318		2	17	1997	2018	22	1.30
USGS	08072050	00065	134318		2	18	1997	2018	22	1.52
USGS	08072050	00065	134318		2	19	1997	2018	22	1.63
USGS	08072050	00065	134318		2	20	1997	2018	22	1.78
USGS	08072050	00065	134318		2	21	1997	2018	22	1.83
USGS	08072050	00065	134318		2	22	1997	2018	22	1.73
USGS	08072050	00065	134318		2	23	1997	2018	22	1.87
USGS	08072050	00065	134318		2	24	1997	2018	22	1.84
USGS	08072050	00065	134318		2	25	1997	2018	22	1.87
USGS	08072050	00065	134318		2	26	1997	2018	22	1.69
USGS	08072050	00065	134318		2	27	1997	2018	22	1.80
USGS	08072050	00065	134318		2	28	1997	2018	22	1.95
USGS	08072050	00065	134318		2	29	2000	2016	5	1.77
USGS	08072050	00065	134318		3	1	1997	2018	22	1.78
USGS	08072050	00065	134318		3	2	1997	2018	22	1.62
USGS	08072050	00065	134318		3	3	1997	2018	22	1.47
USGS	08072050	00065	134318		3	4	1997	2018	22	1.55
USGS	08072050	00065	134318		3	5	1997	2018	22	1.51
USGS	08072050	00065	134318		3	6	1997	2018	22	1.35
USGS	08072050	00065	134318		3	7	1997	2018	22	1.57
USGS	08072050	00065	134318		3	8	1997	2018	22	1.70
USGS	08072050	00065	134318		3	9	1997	2018	22	1.54
USGS	08072050	00065	134318		3	10	1997	2018	22	1.74
USGS	08072050	00065	134318		3	11	1997	2018	22	1.92
USGS	08072050	00065	134318		3	12	1997	2018	22	2.08
USGS	08072050	00065	134318		3	13	1997	2018	22	2.35
USGS	08072050	00065	134318		3	14	1997	2018	21	2.18
USGS	08072050	00065	134318		3	15	1997	2018	21	2.20
USGS	08072050	00065	134318		3	16	1997	2018	22	2.00
USGS	08072050	00065	134318		3	17	1997	2018	22	1.83
USGS	08072050	00065	134318		3	18	1997	2018	22	1.91
USGS	08072050	00065	134318		3	19	1997	2018	22	1.82
USGS	08072050	00065	134318		3	20	1997	2018	21	1.36
USGS	08072050	00065	134318		3	21	1997	2018	21	1.27
USGS	08072050	00065	134318		3	22	1997	2018	22	1.48
USGS	08072050	00065	134318		3	23	1997	2018	22	1.53
USGS	08072050	00065	134318		3	24	1997	2018	22	1.57
USGS	08072050	00065	134318		3	25	1997	2018	22	1.50
USGS	08072050	00065	134318		3	26	1997	2018	22	1.54
USGS	08072050	00065	134318		3	27	1997	2018	22	1.77
USGS	08072050	00065	134318		3	28	1997	2018	22	1.68
USGS	08072050	00065	134318		3	29	1997	2018	22	1.75
USGS	08072050	00065	134318		3	30	1997	2018	22	1.93
USGS	08072050	00065	134318		3	31	1997	2018	22	2.04
USGS	08072050	00065	134318		4	1	1997	2018	22	1.98
USGS	08072050	00065	134318		4	2	1997	2018	21	1.89
USGS	08072050	00065	134318		4	3	1997	2018	22	1.77
USGS	08072050	00065	134318		4	4	1997	2018	22	1.56
USGS	08072050	00065	134318		4	5	1997	2018	22	1.63
USGS	08072050	00065	134318		4	6	1997	2018	22	1.81
USGS	08072050	00065	134318		4	7	1997	2018	22	1.59
USGS	08072050	00065	134318		4	8	1997	2018	22	1.47
USGS	08072050	00065	134318		4	9	1997	2018	22	1.66
USGS	08072050	00065	134318		4	10	1997	2018	22	1.94
USGS	08072050	00065	134318		4	11	1997	2018	22	1.86
USGS	08072050	00065	134318		4	12	1997	2018	22	1.69
USGS	08072050	00065	134318		4	13	1997	2018	22	1.70
USGS	08072050	00065	134318		4	14	1997	2018	22	1.58
USGS	08072050	00065	134318		4	15	1997	2018	22	1.48
USGS	08072050	00065	134318		4	16	1997	2018	22	1.69
USGS	08072050	00065	134318		4	17	1997	2018	22	1.90
USGS	08072050	00065	134318		4	18	1997	2018	22	2.15
USGS	08072050	00065	134318		4	19	1997	2018	22	2.44
USGS	08072050	00065	134318		4	20	1997	2018	22	2.46
USGS	08072050	00065	134318		4	21	1997	2018	22	2.40
USGS	08072050	00065	134318		4	22	1997	2018	22	2.31
USGS	08072050	00065	134318		4	23	1997	2018	22	2.03
USGS	08072050	00065	134318		4	24	1997	2018	22	1.94
USGS	08072050	00065	134318		4	25	1997	2018	22	1.98
USGS	08072050	00065	134318		4	26	1997	2018	22	1.92
USGS	08072050	00065	134318		4	27	1997	2018	22	1.86
