#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072300     00065          Buffalo Bayou nr Katy, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072300	00065	134320		1	1	1999	2018	20	59.94
USGS	08072300	00065	134320		1	2	1999	2018	20	59.90
USGS	08072300	00065	134320		1	3	1999	2018	20	59.86
USGS	08072300	00065	134320		1	4	1999	2018	20	59.93
USGS	08072300	00065	134320		1	5	1999	2018	20	59.95
USGS	08072300	00065	134320		1	6	1999	2018	19	61.80
USGS	08072300	00065	134320		1	7	1999	2018	19	61.84
USGS	08072300	00065	134320		1	8	1999	2018	19	61.85
USGS	08072300	00065	134320		1	9	1999	2018	19	62.20
USGS	08072300	00065	134320		1	10	1999	2018	20	60.11
USGS	08072300	00065	134320		1	11	1999	2018	20	60.05
USGS	08072300	00065	134320		1	12	1999	2018	19	58.03
USGS	08072300	00065	134320		1	13	1999	2018	19	58.06
USGS	08072300	00065	134320		1	14	1999	2018	19	61.84
USGS	08072300	00065	134320		1	15	1999	2018	19	61.92
USGS	08072300	00065	134320		1	16	1999	2018	20	60.23
USGS	08072300	00065	134320		1	17	1999	2018	20	60.43
USGS	08072300	00065	134320		1	18	1999	2018	20	60.41
USGS	08072300	00065	134320		1	19	1999	2018	20	60.42
USGS	08072300	00065	134320		1	20	1999	2018	20	60.16
USGS	08072300	00065	134320		1	21	1999	2018	20	60.06
USGS	08072300	00065	134320		1	22	1999	2018	20	60.02
USGS	08072300	00065	134320		1	23	1999	2018	20	59.96
USGS	08072300	00065	134320		1	24	1999	2018	20	60.12
USGS	08072300	00065	134320		1	25	1999	2018	20	60.36
USGS	08072300	00065	134320		1	26	1999	2018	20	60.17
USGS	08072300	00065	134320		1	27	1999	2018	20	60.02
USGS	08072300	00065	134320		1	28	1999	2018	20	60.02
USGS	08072300	00065	134320		1	29	1999	2018	20	60.11
USGS	08072300	00065	134320		1	30	1999	2018	20	60.11
USGS	08072300	00065	134320		1	31	1999	2018	19	58.10
USGS	08072300	00065	134320		2	1	1999	2018	20	60.13
USGS	08072300	00065	134320		2	2	1999	2018	20	60.05
USGS	08072300	00065	134320		2	3	1999	2018	20	59.95
USGS	08072300	00065	134320		2	4	1999	2018	20	60.08
USGS	08072300	00065	134320		2	5	1999	2018	20	59.99
USGS	08072300	00065	134320		2	6	1999	2018	20	59.90
USGS	08072300	00065	134320		2	7	1999	2018	20	59.97
USGS	08072300	00065	134320		2	8	1999	2018	20	59.99
USGS	08072300	00065	134320		2	9	1999	2018	20	60.00
USGS	08072300	00065	134320		2	10	1999	2018	20	60.08
USGS	08072300	00065	134320		2	11	1999	2018	20	60.22
USGS	08072300	00065	134320		2	12	1999	2018	19	62.07
USGS	08072300	00065	134320		2	13	1999	2018	20	60.00
USGS	08072300	00065	134320		2	14	1999	2018	20	60.03
USGS	08072300	00065	134320		2	15	1999	2018	20	59.95
USGS	08072300	00065	134320		2	16	1999	2018	20	59.87
USGS	08072300	00065	134320		2	17	1999	2018	20	59.92
USGS	08072300	00065	134320		2	18	1999	2018	20	60.03
USGS	08072300	00065	134320		2	19	1999	2018	20	59.90
USGS	08072300	00065	134320		2	20	1999	2018	20	59.92
USGS	08072300	00065	134320		2	21	1999	2018	20	60.06
USGS	08072300	00065	134320		2	22	2000	2018	19	62.00
USGS	08072300	00065	134320		2	23	2000	2018	19	61.92
USGS	08072300	00065	134320		2	24	1999	2018	20	60.01
USGS	08072300	00065	134320		2	25	1999	2018	20	60.07
USGS	08072300	00065	134320		2	26	1999	2018	20	59.99
USGS	08072300	00065	134320		2	27	1999	2018	20	59.92
