#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072350     00065          Buffalo Bayou nr Fulshear, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072350	00065	134321		1	1	2003	2014	11	59.54
USGS	08072350	00065	134321		1	2	2003	2014	10	56.36
USGS	08072350	00065	134321		1	3	2003	2014	12	54.95
USGS	08072350	00065	134321		1	4	2003	2014	11	52.09
USGS	08072350	00065	134321		1	5	2003	2014	11	52.02
USGS	08072350	00065	134321		1	6	2003	2014	11	51.87
USGS	08072350	00065	134321		1	7	2003	2014	11	51.80
USGS	08072350	00065	134321		1	8	2003	2014	11	51.81
USGS	08072350	00065	134321		1	9	2003	2014	12	55.75
USGS	08072350	00065	134321		1	10	2003	2014	11	52.34
USGS	08072350	00065	134321		1	11	2003	2014	11	51.94
USGS	08072350	00065	134321		1	12	2003	2014	11	51.82
USGS	08072350	00065	134321		1	13	2003	2014	11	51.98
USGS	08072350	00065	134321		1	14	2003	2014	11	51.84
USGS	08072350	00065	134321		1	15	2003	2014	11	52.00
USGS	08072350	00065	134321		1	16	2003	2014	11	52.08
USGS	08072350	00065	134321		1	17	2003	2014	11	52.23
USGS	08072350	00065	134321		1	18	2003	2014	11	51.98
USGS	08072350	00065	134321		1	19	2003	2014	11	52.20
USGS	08072350	00065	134321		1	20	2003	2014	11	52.00
USGS	08072350	00065	134321		1	21	2003	2014	12	55.18
USGS	08072350	00065	134321		1	22	2003	2014	12	55.13
USGS	08072350	00065	134321		1	23	2003	2014	12	55.02
USGS	08072350	00065	134321		1	24	2003	2014	12	55.38
USGS	08072350	00065	134321		1	25	2003	2014	12	55.74
USGS	08072350	00065	134321		1	26	2003	2014	12	55.51
USGS	08072350	00065	134321		1	27	2003	2014	12	55.25
USGS	08072350	00065	134321		1	28	2003	2014	12	55.17
USGS	08072350	00065	134321		1	29	2003	2014	12	55.19
USGS	08072350	00065	134321		1	30	2003	2014	12	55.17
USGS	08072350	00065	134321		1	31	2003	2014	12	55.22
USGS	08072350	00065	134321		2	1	2003	2014	12	55.42
USGS	08072350	00065	134321		2	2	2003	2014	12	55.33
USGS	08072350	00065	134321		2	3	2003	2014	12	55.24
USGS	08072350	00065	134321		2	4	2003	2014	12	55.53
USGS	08072350	00065	134321		2	5	2003	2014	12	55.33
USGS	08072350	00065	134321		2	6	2003	2014	12	55.09
USGS	08072350	00065	134321		2	7	2003	2014	12	55.16
USGS	08072350	00065	134321		2	8	2003	2014	12	55.32
USGS	08072350	00065	134321		2	9	2003	2014	12	55.33
USGS	08072350	00065	134321		2	10	2003	2014	12	55.32
USGS	08072350	00065	134321		2	11	2003	2014	12	55.53
USGS	08072350	00065	134321		2	12	2003	2014	12	55.54
USGS	08072350	00065	134321		2	13	2003	2014	12	55.40
USGS	08072350	00065	134321		2	14	2003	2014	12	55.29
USGS	08072350	00065	134321		2	15	2003	2014	12	55.12
USGS	08072350	00065	134321		2	16	2003	2014	12	55.02
USGS	08072350	00065	134321		2	17	2003	2014	12	55.16
USGS	08072350	00065	134321		2	18	2003	2014	12	55.37
USGS	08072350	00065	134321		2	19	2003	2014	12	55.19
USGS	08072350	00065	134321		2	20	2003	2014	12	55.09
USGS	08072350	00065	134321		2	21	2003	2014	12	55.09
USGS	08072350	00065	134321		2	22	2003	2014	12	55.10
USGS	08072350	00065	134321		2	23	2003	2014	12	54.98
USGS	08072350	00065	134321		2	24	2003	2014	12	55.24
USGS	08072350	00065	134321		2	25	2003	2014	12	55.17
USGS	08072350	00065	134321		2	26	2003	2014	12	55.07
USGS	08072350	00065	134321		2	27	2003	2014	12	55.09
USGS	08072350	00065	134321		2	28	2003	2014	11	59.42
USGS	08072350	00065	134321		2	29	2004	2012	3	61.98
USGS	08072350	00065	134321		3	1	2003	2014	12	55.02
USGS	08072350	00065	134321		3	2	2003	2014	12	55.08
USGS	08072350	00065	134321		3	3	2003	2014	12	55.16
USGS	08072350	00065	134321		3	4	2003	2014	12	55.30
USGS	08072350	00065	134321		3	5	2003	2014	12	55.07
USGS	08072350	00065	134321		3	6	2003	2014	12	55.03
USGS	08072350	00065	134321		3	7	2003	2014	12	55.12
USGS	08072350	00065	134321		3	8	2003	2014	12	55.18
USGS	08072350	00065	134321		3	9	2003	2014	12	55.45
USGS	08072350	00065	134321		3	10	2003	2014	12	55.46
USGS	08072350	00065	134321		3	11	2003	2014	12	55.39
USGS	08072350	00065	134321		3	12	2003	2014	12	55.35
USGS	08072350	00065	134321		3	13	2003	2014	12	55.28
USGS	08072350	00065	134321		3	14	2003	2014	12	55.70
USGS	08072350	00065	134321		3	15	2003	2014	12	55.61
USGS	08072350	00065	134321		3	16	2003	2014	12	55.34
USGS	08072350	00065	134321		3	17	2003	2014	12	55.17
USGS	08072350	00065	134321		3	18	2003	2014	12	55.10
USGS	08072350	00065	134321		3	19	2003	2014	12	55.03
USGS	08072350	00065	134321		3	20	2003	2014	12	55.23
USGS	08072350	00065	134321		3	21	2003	2014	12	55.14
USGS	08072350	00065	134321		3	22	2003	2014	12	55.03
USGS	08072350	00065	134321		3	23	2003	2014	12	54.95
USGS	08072350	00065	134321		3	24	2003	2014	12	54.95
USGS	08072350	00065	134321		3	25	2003	2014	12	54.96
USGS	08072350	00065	134321		3	26	2003	2014	12	55.05
USGS	08072350	00065	134321		3	27	2003	2014	12	55.06
USGS	08072350	00065	134321		3	28	2003	2014	12	55.05
USGS	08072350	00065	134321		3	29	2003	2014	12	54.97
USGS	08072350	00065	134321		3	30	2004	2014	11	59.42
USGS	08072350	00065	134321		3	31	2004	2013	10	56.61
USGS	08072350	00065	134321		4	1	2003	2013	11	51.99
USGS	08072350	00065	134321		4	2	2003	2013	11	51.93
USGS	08072350	00065	134321		4	3	2003	2014	12	55.29
USGS	08072350	00065	134321		4	4	2003	2014	12	55.04
USGS	08072350	00065	134321		4	5	2003	2014	12	54.95
USGS	08072350	00065	134321		4	6	2003	2014	12	54.95
USGS	08072350	00065	134321		4	7	2003	2014	12	54.97
USGS	08072350	00065	134321		4	8	2003	2014	12	55.08
USGS	08072350	00065	134321		4	9	2003	2014	12	54.99
USGS	08072350	00065	134321		4	10	2003	2014	12	55.01
USGS	08072350	00065	134321		4	11	2003	2014	12	55.36
USGS	08072350	00065	134321		4	12	2003	2014	12	55.25
USGS	08072350	00065	134321		4	13	2003	2014	12	55.09
USGS	08072350	00065	134321		4	14	2003	2014	12	55.01
USGS	08072350	00065	134321		4	15	2003	2014	12	54.96
USGS	08072350	00065	134321		4	16	2003	2014	12	54.95
USGS	08072350	00065	134321		4	17	2003	2014	12	54.96
USGS	08072350	00065	134321		4	18	2003	2014	12	55.34
USGS	08072350	00065	134321		4	19	2003	2014	12	55.36
USGS	08072350	00065	134321		4	20	2003	2014	12	55.20
USGS	08072350	00065	134321		4	21	2003	2014	12	55.09
USGS	08072350	00065	134321		4	22	2003	2014	12	54.96
USGS	08072350	00065	134321		4	23	2003	2014	12	54.95
USGS	08072350	00065	134321		4	24	2003	2014	12	54.98
USGS	08072350	00065	134321		4	25	2003	2014	12	55.33
USGS	08072350	00065	134321		4	26	2003	2014	12	55.35
USGS	08072350	00065	134321		4	27	2003	2014	12	55.46
USGS	08072350	00065	134321		4	28	2003	2014	12	55.97
USGS	08072350	00065	134321		4	29	2003	2014	12	55.84
USGS	08072350	00065	134321		4	30	2003	2014	12	55.66
USGS	08072350	00065	134321		5	1	2003	2014	12	55.91
USGS	08072350	00065	134321		5	2	2003	2014	12	55.78
USGS	08072350	00065	134321		5	3	2003	2014	12	55.75
USGS	08072350	00065	134321		5	4	2003	2014	12	55.58
USGS	08072350	00065	134321		5	5	2003	2014	12	55.39
USGS	08072350	00065	134321		5	6	2003	2014	12	55.23
USGS	08072350	00065	134321		5	7	2003	2014	12	55.04
USGS	08072350	00065	134321		5	8	2003	2014	12	55.13
USGS	08072350	00065	134321		5	9	2003	2014	12	55.20
USGS	08072350	00065	134321		5	10	2003	2014	12	55.33
USGS	08072350	00065	134321		5	11	2003	2014	12	55.45
USGS	08072350	00065	134321		5	12	2003	2014	12	55.80
USGS	08072350	00065	134321		5	13	2003	2014	12	55.85
USGS	08072350	00065	134321		5	14	2003	2014	12	55.90
USGS	08072350	00065	134321		5	15	2003	2014	12	55.87
USGS	08072350	00065	134321		5	16	2003	2014	12	55.56
USGS	08072350	00065	134321		5	17	2003	2014	12	55.32
USGS	08072350	00065	134321		5	18	2003	2014	12	55.13
USGS	08072350	00065	134321		5	19	2003	2014	12	55.05
USGS	08072350	00065	134321		5	20	2003	2014	12	55.00
USGS	08072350	00065	134321		5	21	2003	2014	12	54.95
USGS	08072350	00065	134321		5	22	2003	2014	12	55.02
USGS	08072350	00065	134321		5	23	2003	2014	12	54.95
USGS	08072350	00065	134321		5	24	2003	2014	12	54.95
USGS	08072350	00065	134321		5	25	2003	2014	12	54.95
USGS	08072350	00065	134321		5	26	2003	2014	12	55.36
USGS	08072350	00065	134321		5	27	2003	2014	12	55.69
USGS	08072350	00065	134321		5	28	2003	2014	12	55.66
USGS	08072350	00065	134321		5	29	2003	2014	12	55.56
USGS	08072350	00065	134321		5	30	2003	2014	12	55.42
USGS	08072350	00065	134321		5	31	2003	2014	12	55.34
USGS	08072350	00065	134321		6	1	2003	2014	12	55.23
USGS	08072350	00065	134321		6	2	2003	2014	12	55.09
USGS	08072350	00065	134321		6	3	2003	2014	12	55.19
USGS	08072350	00065	134321		6	4	2003	2014	12	55.05
USGS	08072350	00065	134321		6	5	2003	2014	12	55.01
USGS	08072350	00065	134321		6	6	2003	2014	12	54.98
USGS	08072350	00065	134321		6	7	2003	2014	12	54.96
USGS	08072350	00065	134321		6	8	2003	2014	12	55.08
USGS	08072350	00065	134321		6	9	2003	2014	12	55.04
USGS	08072350	00065	134321		6	10	2003	2014	12	54.97
USGS	08072350	00065	134321		6	11	2003	2014	12	54.95
USGS	08072350	00065	134321		6	12	2003	2014	11	59.43
USGS	08072350	00065	134321		6	13	2003	2014	12	55.06
USGS	08072350	00065	134321		6	14	2003	2014	12	55.13
USGS	08072350	00065	134321		6	15	2003	2014	11	59.70
USGS	08072350	00065	134321		6	16	2003	2014	12	55.00
USGS	08072350	00065	134321		6	17	2003	2014	12	55.30
USGS	08072350	00065	134321		6	18	2003	2014	11	59.90
USGS	08072350	00065	134321		6	19	2003	2014	12	55.40
USGS	08072350	00065	134321		6	20	2003	2014	12	55.21
USGS	08072350	00065	134321		6	21	2003	2014	12	55.16
USGS	08072350	00065	134321		6	22	2003	2014	12	55.29
USGS	08072350	00065	134321		6	23	2003	2014	11	59.80
USGS	08072350	00065	134321		6	24	2003	2014	12	55.60
USGS	08072350	00065	134321		6	25	2003	2014	12	55.64
USGS	08072350	00065	134321		6	26	2003	2014	12	55.55
USGS	08072350	00065	134321		6	27	2003	2014	12	55.40
USGS	08072350	00065	134321		6	28	1988	2014	13	51.39
USGS	08072350	00065	134321		6	29	1988	2014	13	50.97
USGS	08072350	00065	134321		6	30	2003	2014	12	55.21
USGS	08072350	00065	134321		7	1	2003	2014	12	55.27
USGS	08072350	00065	134321		7	2	2003	2014	12	55.67
USGS	08072350	00065	134321		7	3	2003	2014	12	55.56
USGS	08072350	00065	134321		7	4	2003	2014	12	55.32
USGS	08072350	00065	134321		7	5	2003	2014	12	55.63
USGS	08072350	00065	134321		7	6	2003	2014	12	55.47
USGS	08072350	00065	134321		7	7	2003	2014	12	55.58
USGS	08072350	00065	134321		7	8	2003	2014	12	55.43
USGS	08072350	00065	134321		7	9	2003	2014	11	59.84
USGS	08072350	00065	134321		7	10	2003	2014	12	55.41
USGS	08072350	00065	134321		7	11	2003	2014	12	55.44
USGS	08072350	00065	134321		7	12	2003	2014	12	55.49
USGS	08072350	00065	134321		7	13	2003	2014	12	55.47
USGS	08072350	00065	134321		7	14	2003	2014	11	59.85
USGS	08072350	00065	134321		7	15	2003	2014	11	59.98
USGS	08072350	00065	134321		7	16	2003	2014	11	59.75
USGS	08072350	00065	134321		7	17	2003	2014	11	59.66
USGS	08072350	00065	134321		7	18	2003	2014	11	59.71
USGS	08072350	00065	134321		7	19	2003	2014	12	55.12
USGS	08072350	00065	134321		7	20	2003	2014	12	55.14
USGS	08072350	00065	134321		7	21	2003	2014	12	55.12
USGS	08072350	00065	134321		7	22	2003	2014	12	55.08
USGS	08072350	00065	134321		7	23	2003	2014	12	55.07
USGS	08072350	00065	134321		7	24	2003	2014	12	55.16
USGS	08072350	00065	134321		7	25	2003	2014	11	59.61
USGS	08072350	00065	134321		7	26	2003	2014	12	55.29
USGS	08072350	00065	134321		7	27	2003	2014	12	55.27
USGS	08072350	00065	134321		7	28	2003	2014	12	55.12
USGS	08072350	00065	134321		7	29	2003	2014	12	55.08
USGS	08072350	00065	134321		7	30	2003	2014	12	55.04
USGS	08072350	00065	134321		7	31	2003	2014	12	55.01
USGS	08072350	00065	134321		8	1	2002	2014	13	51.21
USGS	08072350	00065	134321		8	2	2002	2014	13	51.21
USGS	08072350	00065	134321		8	3	2002	2014	13	51.25
USGS	08072350	00065	134321		8	4	2002	2014	13	51.26
USGS	08072350	00065	134321		8	5	2002	2014	13	51.31
USGS	08072350	00065	134321		8	6	2002	2014	13	51.20
USGS	08072350	00065	134321		8	7	2002	2014	12	54.96
USGS	08072350	00065	134321		8	8	2002	2014	12	54.98
USGS	08072350	00065	134321		8	9	2002	2014	13	51.22
USGS	08072350	00065	134321		8	10	2002	2014	13	51.18
USGS	08072350	00065	134321		8	11	2002	2014	13	51.18
USGS	08072350	00065	134321		8	12	2002	2014	13	51.18
USGS	08072350	00065	134321		8	13	2002	2014	13	51.20
USGS	08072350	00065	134321		8	14	2002	2014	13	51.18
USGS	08072350	00065	134321		8	15	2002	2014	13	51.42
USGS	08072350	00065	134321		8	16	2002	2014	13	51.71
USGS	08072350	00065	134321		8	17	2002	2014	13	51.49
USGS	08072350	00065	134321		8	18	2002	2014	13	51.37
USGS	08072350	00065	134321		8	19	2002	2014	13	51.61
USGS	08072350	00065	134321		8	20	2002	2014	13	51.36
USGS	08072350	00065	134321		8	21	2002	2014	12	55.14
USGS	08072350	00065	134321		8	22	2002	2014	12	55.09
USGS	08072350	00065	134321		8	23	2002	2014	12	54.97
USGS	08072350	00065	134321		8	24	2002	2014	13	51.18
USGS	08072350	00065	134321		8	25	2002	2014	13	51.18
USGS	08072350	00065	134321		8	26	2002	2014	13	51.18
USGS	08072350	00065	134321		8	27	2002	2014	12	54.97
USGS	08072350	00065	134321		8	28	2002	2014	13	51.22
USGS	08072350	00065	134321		8	29	2002	2014	13	51.24
USGS	08072350	00065	134321		8	30	2002	2014	12	55.05
USGS	08072350	00065	134321		8	31	2002	2014	12	54.97
USGS	08072350	00065	134321		9	1	2002	2014	12	55.01
USGS	08072350	00065	134321		9	2	2002	2014	13	51.21
USGS	08072350	00065	134321		9	3	2002	2014	13	51.33
USGS	08072350	00065	134321		9	4	2002	2014	13	51.29
USGS	08072350	00065	134321		9	5	2002	2014	12	54.97
USGS	08072350	00065	134321		9	6	2002	2014	13	51.20
USGS	08072350	00065	134321		9	7	2002	2014	13	51.50
USGS	08072350	00065	134321		9	8	2002	2014	13	51.41
USGS	08072350	00065	134321		9	9	2002	2014	13	51.33
USGS	08072350	00065	134321		9	10	2002	2014	13	51.26
USGS	08072350	00065	134321		9	11	2002	2014	13	51.22
USGS	08072350	00065	134321		9	12	2002	2014	13	51.22
USGS	08072350	00065	134321		9	13	2002	2014	13	51.43
USGS	08072350	00065	134321		9	14	2002	2014	13	51.66
USGS	08072350	00065	134321		9	15	2002	2014	12	55.29
USGS	08072350	00065	134321		9	16	2002	2014	13	51.45
USGS	08072350	00065	134321		9	17	2002	2014	12	55.23
USGS	08072350	00065	134321		9	18	2002	2014	12	55.14
USGS	08072350	00065	134321		9	19	2002	2014	12	55.42
USGS	08072350	00065	134321		9	20	2002	2014	12	55.56
USGS	08072350	00065	134321		9	21	2002	2014	12	55.52
USGS	08072350	00065	134321		9	22	2002	2014	12	55.26
USGS	08072350	00065	134321		9	23	2002	2014	13	51.25
USGS	08072350	00065	134321		9	24	2002	2014	13	51.48
USGS	08072350	00065	134321		9	25	2002	2014	12	55.04
USGS	08072350	00065	134321		9	26	2002	2014	12	54.96
USGS	08072350	00065	134321		9	27	2002	2014	12	54.96
USGS	08072350	00065	134321		9	28	2002	2014	12	54.96
USGS	08072350	00065	134321		9	29	2002	2014	12	54.98
USGS	08072350	00065	134321		9	30	2002	2014	13	51.21
USGS	08072350	00065	134321		10	1	2003	2014	12	54.98
USGS	08072350	00065	134321		10	2	2003	2014	12	55.11
USGS	08072350	00065	134321		10	3	2003	2014	12	54.99
USGS	08072350	00065	134321		10	4	2003	2014	12	55.04
USGS	08072350	00065	134321		10	5	2003	2014	12	55.04
USGS	08072350	00065	134321		10	6	2003	2014	12	54.99
USGS	08072350	00065	134321		10	7	2003	2014	12	55.05
USGS	08072350	00065	134321		10	8	2003	2014	12	54.99
USGS	08072350	00065	134321		10	9	2003	2014	12	55.35
USGS	08072350	00065	134321		10	10	2003	2014	12	55.36
USGS	08072350	00065	134321		10	11	2003	2014	12	55.09
USGS	08072350	00065	134321		10	12	2003	2014	12	55.05
USGS	08072350	00065	134321		10	13	2003	2014	12	55.07
USGS	08072350	00065	134321		10	14	2003	2014	12	55.05
USGS	08072350	00065	134321		10	15	2003	2014	12	55.20
USGS	08072350	00065	134321		10	16	2003	2014	12	55.90
USGS	08072350	00065	134321		10	17	2003	2014	11	59.90
USGS	08072350	00065	134321		10	18	2003	2014	12	55.20
USGS	08072350	00065	134321		10	19	2003	2014	12	55.39
USGS	08072350	00065	134321		10	20	2003	2014	12	55.18
USGS	08072350	00065	134321		10	21	2003	2014	12	55.18
USGS	08072350	00065	134321		10	22	2003	2014	12	55.31
USGS	08072350	00065	134321		10	23	2003	2014	12	55.33
USGS	08072350	00065	134321		10	24	2003	2014	12	55.19
USGS	08072350	00065	134321		10	25	2003	2014	12	55.27
USGS	08072350	00065	134321		10	26	2003	2014	12	55.50
USGS	08072350	00065	134321		10	27	2003	2014	12	55.61
USGS	08072350	00065	134321		10	28	2003	2014	12	55.37
USGS	08072350	00065	134321		10	29	2003	2014	12	55.70
USGS	08072350	00065	134321		10	30	2003	2014	12	55.78
USGS	08072350	00065	134321		10	31	2003	2014	12	55.84
USGS	08072350	00065	134321		11	1	2003	2014	12	55.74
USGS	08072350	00065	134321		11	2	2003	2014	12	55.57
USGS	08072350	00065	134321		11	3	2003	2014	12	55.42
USGS	08072350	00065	134321		11	4	2003	2014	12	55.55
USGS	08072350	00065	134321		11	5	2003	2014	12	55.48
USGS	08072350	00065	134321		11	6	2003	2014	12	55.39
USGS	08072350	00065	134321		11	7	2003	2014	12	55.33
USGS	08072350	00065	134321		11	8	2003	2014	12	55.29
USGS	08072350	00065	134321		11	9	2003	2014	12	55.27
USGS	08072350	00065	134321		11	10	2003	2014	12	55.29
USGS	08072350	00065	134321		11	11	2003	2014	12	55.24
USGS	08072350	00065	134321		11	12	2003	2014	12	55.62
USGS	08072350	00065	134321		11	13	2003	2014	12	55.42
USGS	08072350	00065	134321		11	14	2003	2014	12	55.28
USGS	08072350	00065	134321		11	15	2003	2014	12	55.24
USGS	08072350	00065	134321		11	16	2003	2014	12	55.12
USGS	08072350	00065	134321		11	17	2003	2014	12	55.39
USGS	08072350	00065	134321		11	18	2003	2014	12	55.92
USGS	08072350	00065	134321		11	19	2003	2014	12	55.61
USGS	08072350	00065	134321		11	20	2003	2014	12	55.46
USGS	08072350	00065	134321		11	21	2003	2014	12	55.39
USGS	08072350	00065	134321		11	22	2003	2014	12	55.53
USGS	08072350	00065	134321		11	23	2003	2014	12	55.51
USGS	08072350	00065	134321		11	24	2003	2014	12	55.72
USGS	08072350	00065	134321		11	25	2003	2014	12	55.70
USGS	08072350	00065	134321		11	26	2003	2014	12	55.74
USGS	08072350	00065	134321		11	27	2003	2014	12	55.39
USGS	08072350	00065	134321		11	28	2003	2014	12	55.24
USGS	08072350	00065	134321		11	29	2003	2014	12	55.16
USGS	08072350	00065	134321		11	30	2003	2014	12	55.14
USGS	08072350	00065	134321		12	1	2003	2014	12	55.18
USGS	08072350	00065	134321		12	2	2003	2014	12	55.24
USGS	08072350	00065	134321		12	3	2003	2014	12	55.10
USGS	08072350	00065	134321		12	4	2003	2014	11	51.87
USGS	08072350	00065	134321		12	5	2003	2014	11	51.87
USGS	08072350	00065	134321		12	6	2003	2014	12	55.06
USGS	08072350	00065	134321		12	7	2003	2014	12	55.06
USGS	08072350	00065	134321		12	8	2003	2014	12	55.05
USGS	08072350	00065	134321		12	9	2003	2014	12	55.08
USGS	08072350	00065	134321		12	10	2003	2014	12	55.09
USGS	08072350	00065	134321		12	11	2003	2014	12	55.04
USGS	08072350	00065	134321		12	12	2003	2014	12	55.26
USGS	08072350	00065	134321		12	13	2003	2014	12	55.20
USGS	08072350	00065	134321		12	14	2003	2014	12	55.29
USGS	08072350	00065	134321		12	15	2003	2014	12	55.22
USGS	08072350	00065	134321		12	16	2003	2014	12	55.24
USGS	08072350	00065	134321		12	17	2003	2014	12	55.10
USGS	08072350	00065	134321		12	18	2003	2014	12	55.00
USGS	08072350	00065	134321		12	19	2003	2014	12	54.98
USGS	08072350	00065	134321		12	20	2003	2014	12	55.00
USGS	08072350	00065	134321		12	21	2003	2014	11	59.43
USGS	08072350	00065	134321		12	22	2003	2014	11	59.64
USGS	08072350	00065	134321		12	23	2003	2014	11	59.46
USGS	08072350	00065	134321		12	24	2003	2014	11	59.88
USGS	08072350	00065	134321		12	25	2003	2014	11	59.72
USGS	08072350	00065	134321		12	26	2003	2014	11	59.46
USGS	08072350	00065	134321		12	27	2003	2014	11	59.42
USGS	08072350	00065	134321		12	28	2003	2014	11	59.42
USGS	08072350	00065	134321		12	29	2003	2014	11	59.49
USGS	08072350	00065	134321		12	30	2003	2014	11	59.58
USGS	08072350	00065	134321		12	31	2003	2014	11	59.70
