#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072680     00065          S Mayde Ck at Heathergold Dr nr Addicks, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072680	00065	134335		1	1	2016	2018	2	99.19
USGS	08072680	00065	134335		1	2	2016	2018	2	99.16
USGS	08072680	00065	134335		1	3	2016	2018	3	99.62
USGS	08072680	00065	134335		1	4	2016	2018	3	99.21
USGS	08072680	00065	134335		1	5	2016	2018	3	99.10
USGS	08072680	00065	134335		1	6	2016	2018	3	99.54
USGS	08072680	00065	134335		1	7	2016	2018	3	100.77
USGS	08072680	00065	134335		1	8	2016	2018	3	100.04
USGS	08072680	00065	134335		1	9	2016	2018	3	99.74
USGS	08072680	00065	134335		1	10	2016	2018	3	99.37
USGS	08072680	00065	134335		1	11	2016	2018	2	99.65
USGS	08072680	00065	134335		1	12	2016	2018	2	99.57
USGS	08072680	00065	134335		1	13	2016	2018	2	99.38
USGS	08072680	00065	134335		1	14	2016	2018	2	99.29
USGS	08072680	00065	134335		1	15	2016	2018	2	99.23
USGS	08072680	00065	134335		1	16	2016	2018	2	99.32
USGS	08072680	00065	134335		1	17	2016	2018	3	100.01
USGS	08072680	00065	134335		1	18	2016	2018	3	101.40
USGS	08072680	00065	134335		1	19	2016	2018	3	100.78
