#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072730     00065          Bear Ck nr Barker, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072730	00065	134345		1	1	1999	2018	17	52.58
USGS	08072730	00065	134345		1	2	1999	2018	17	52.74
USGS	08072730	00065	134345		1	3	1999	2018	17	52.64
USGS	08072730	00065	134345		1	4	1999	2018	19	52.37
USGS	08072730	00065	134345		1	5	1999	2018	19	52.45
USGS	08072730	00065	134345		1	6	1999	2018	18	49.77
USGS	08072730	00065	134345		1	7	1999	2018	18	49.80
USGS	08072730	00065	134345		1	8	1999	2018	19	52.34
USGS	08072730	00065	134345		1	9	1999	2018	19	52.70
USGS	08072730	00065	134345		1	10	1999	2018	19	52.34
USGS	08072730	00065	134345		1	11	1999	2018	19	52.23
USGS	08072730	00065	134345		1	12	1999	2018	19	52.17
USGS	08072730	00065	134345		1	13	1999	2018	19	52.29
USGS	08072730	00065	134345		1	14	1999	2018	19	52.18
USGS	08072730	00065	134345		1	15	1999	2018	19	52.31
USGS	08072730	00065	134345		1	16	1999	2018	19	52.62
USGS	08072730	00065	134345		1	17	1999	2018	18	50.08
USGS	08072730	00065	134345		1	18	1999	2018	18	50.11
USGS	08072730	00065	134345		1	19	1999	2018	19	52.70
USGS	08072730	00065	134345		1	20	1999	2018	19	52.51
USGS	08072730	00065	134345		1	21	1999	2018	19	52.48
USGS	08072730	00065	134345		1	22	1999	2018	19	52.51
USGS	08072730	00065	134345		1	23	1999	2018	19	52.32
USGS	08072730	00065	134345		1	24	1999	2018	19	52.67
USGS	08072730	00065	134345		1	25	1999	2018	19	52.74
USGS	08072730	00065	134345		1	26	1999	2018	19	52.61
USGS	08072730	00065	134345		1	27	1999	2018	19	52.52
USGS	08072730	00065	134345		1	28	1999	2018	19	52.55
USGS	08072730	00065	134345		1	29	1999	2018	19	52.55
