#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072760     00065          Langham Ck at W Little York Rd nr Addicks, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072760	00065	134347		1	1	2003	2018	16	64.88
USGS	08072760	00065	134347		1	2	2003	2018	16	64.99
USGS	08072760	00065	134347		1	3	2002	2018	17	61.80
USGS	08072760	00065	134347		1	4	2002	2018	17	61.87
USGS	08072760	00065	134347		1	5	2002	2018	17	61.91
USGS	08072760	00065	134347		1	6	2002	2018	17	61.78
USGS	08072760	00065	134347		1	7	2002	2018	17	61.81
USGS	08072760	00065	134347		1	8	2002	2018	17	61.82
USGS	08072760	00065	134347		1	9	2002	2018	16	59.95
USGS	08072760	00065	134347		1	10	2002	2018	16	59.67
USGS	08072760	00065	134347		1	11	2002	2018	16	59.56
USGS	08072760	00065	134347		1	12	2002	2018	17	61.78
USGS	08072760	00065	134347		1	13	2002	2018	17	61.87
USGS	08072760	00065	134347		1	14	2002	2018	17	61.77
USGS	08072760	00065	134347		1	15	2002	2018	17	61.87
USGS	08072760	00065	134347		1	16	2002	2018	17	62.14
USGS	08072760	00065	134347		1	17	2002	2018	17	62.17
USGS	08072760	00065	134347		1	18	2002	2018	17	62.08
USGS	08072760	00065	134347		1	19	2002	2018	17	62.07
USGS	08072760	00065	134347		1	20	2002	2018	17	61.89
USGS	08072760	00065	134347		1	21	2002	2018	17	61.93
USGS	08072760	00065	134347		1	22	2002	2018	16	59.77
USGS	08072760	00065	134347		1	23	2002	2018	16	59.63
USGS	08072760	00065	134347		1	24	2002	2018	17	62.13
USGS	08072760	00065	134347		1	25	2002	2018	17	62.21
USGS	08072760	00065	134347		1	26	2002	2018	17	62.07
USGS	08072760	00065	134347		1	27	2002	2018	17	61.98
USGS	08072760	00065	134347		1	28	2002	2018	17	61.96
USGS	08072760	00065	134347		1	29	2002	2018	17	61.97
USGS	08072760	00065	134347		1	30	2002	2018	17	61.88
USGS	08072760	00065	134347		1	31	2002	2018	17	61.97
USGS	08072760	00065	134347		2	1	2002	2018	17	61.99
USGS	08072760	00065	134347		2	2	2002	2018	17	61.97
USGS	08072760	00065	134347		2	3	2002	2018	17	61.85
USGS	08072760	00065	134347		2	4	2002	2018	17	62.00
USGS	08072760	00065	134347		2	5	2002	2018	17	61.92
USGS	08072760	00065	134347		2	6	2002	2018	17	61.89
USGS	08072760	00065	134347		2	7	2002	2018	17	61.92
USGS	08072760	00065	134347		2	8	2002	2018	17	61.87
USGS	08072760	00065	134347		2	9	2002	2018	16	59.72
USGS	08072760	00065	134347		2	10	2002	2018	17	62.22
USGS	08072760	00065	134347		2	11	2002	2018	17	62.23
USGS	08072760	00065	134347		2	12	2002	2018	17	62.04
USGS	08072760	00065	134347		2	13	2002	2018	17	61.99
USGS	08072760	00065	134347		2	14	2002	2018	17	62.00
USGS	08072760	00065	134347		2	15	2002	2018	17	61.89
USGS	08072760	00065	134347		2	16	2002	2018	17	61.80
USGS	08072760	00065	134347		2	17	2002	2018	17	61.78
USGS	08072760	00065	134347		2	18	2002	2018	17	61.89
USGS	08072760	00065	134347		2	19	2002	2018	17	61.72
USGS	08072760	00065	134347		2	20	2002	2018	17	61.85
USGS	08072760	00065	134347		2	21	2002	2018	17	62.01
USGS	08072760	00065	134347		2	22	2002	2018	17	61.97
USGS	08072760	00065	134347		2	23	2002	2018	17	61.94
USGS	08072760	00065	134347		2	24	2002	2018	17	61.91
USGS	08072760	00065	134347		2	25	2002	2018	17	62.16
