#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08072800     00065          Langham Ck nr Addicks, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08072800	00065	134348		1	1	1988	2018	25	91.73
USGS	08072800	00065	134348		1	2	1988	2018	25	91.68
USGS	08072800	00065	134348		1	3	1988	2018	26	91.63
USGS	08072800	00065	134348		1	4	1988	2018	26	91.60
USGS	08072800	00065	134348		1	5	1988	2018	26	91.77
USGS	08072800	00065	134348		1	6	1988	2018	26	91.93
USGS	08072800	00065	134348		1	7	1988	2018	26	92.12
USGS	08072800	00065	134348		1	8	1994	2018	24	91.83
USGS	08072800	00065	134348		1	9	1988	2018	25	92.17
USGS	08072800	00065	134348		1	10	1988	2018	26	92.12
USGS	08072800	00065	134348		1	11	1988	2018	26	92.04
USGS	08072800	00065	134348		1	12	1988	2018	25	91.81
USGS	08072800	00065	134348		1	13	1988	2018	25	91.89
USGS	08072800	00065	134348		1	14	1988	2018	25	91.72
USGS	08072800	00065	134348		1	15	1988	2018	26	91.67
USGS	08072800	00065	134348		1	16	1988	2018	26	91.99
USGS	08072800	00065	134348		1	17	1988	2018	26	92.42
USGS	08072800	00065	134348		1	18	1988	2018	26	92.16
USGS	08072800	00065	134348		1	19	1988	2018	26	92.11
USGS	08072800	00065	134348		1	20	1988	2018	26	91.82
USGS	08072800	00065	134348		1	21	1988	2018	26	91.83
USGS	08072800	00065	134348		1	22	1988	2018	26	91.91
USGS	08072800	00065	134348		1	23	1988	2018	25	92.13
USGS	08072800	00065	134348		1	24	1988	2018	26	92.07
USGS	08072800	00065	134348		1	25	1988	2018	25	92.15
USGS	08072800	00065	134348		1	26	1988	2018	26	92.07
USGS	08072800	00065	134348		1	27	1988	2018	26	92.20
USGS	08072800	00065	134348		1	28	1988	2018	26	92.39
USGS	08072800	00065	134348		1	29	1988	2018	26	92.27
USGS	08072800	00065	134348		1	30	1988	2018	26	92.01
USGS	08072800	00065	134348		1	31	1988	2018	26	91.77
USGS	08072800	00065	134348		2	1	1994	2018	25	91.87
USGS	08072800	00065	134348		2	2	1988	2018	26	91.75
USGS	08072800	00065	134348		2	3	1988	2018	26	91.55
USGS	08072800	00065	134348		2	4	1988	2018	26	91.65
USGS	08072800	00065	134348		2	5	1988	2018	24	91.50
USGS	08072800	00065	134348		2	6	1988	2018	25	91.55
USGS	08072800	00065	134348		2	7	1988	2018	25	91.61
USGS	08072800	00065	134348		2	8	1988	2018	25	91.52
USGS	08072800	00065	134348		2	9	1988	2018	26	91.51
USGS	08072800	00065	134348		2	10	1988	2018	26	92.06
USGS	08072800	00065	134348		2	11	1988	2018	26	92.46
USGS	08072800	00065	134348		2	12	1988	2018	26	92.29
USGS	08072800	00065	134348		2	13	1988	2018	26	92.10
USGS	08072800	00065	134348		2	14	1988	2018	26	92.04
USGS	08072800	00065	134348		2	15	1988	2018	26	91.81
USGS	08072800	00065	134348		2	16	1988	2018	26	91.62
USGS	08072800	00065	134348		2	17	1988	2018	26	91.64
USGS	08072800	00065	134348		2	18	1988	2018	26	91.64
USGS	08072800	00065	134348		2	19	1988	2018	26	91.54
USGS	08072800	00065	134348		2	20	1988	2018	26	91.59
USGS	08072800	00065	134348		2	21	1988	2018	26	92.28
USGS	08072800	00065	134348		2	22	1988	2018	25	92.57
USGS	08072800	00065	134348		2	23	1988	2018	24	92.45
USGS	08072800	00065	134348		2	24	1988	2018	26	92.22
USGS	08072800	00065	134348		2	25	1988	2018	26	92.28
USGS	08072800	00065	134348		2	26	1994	2018	25	92.42
USGS	08072800	00065	134348		2	27	1994	2017	24	92.13
USGS	08072800	00065	134348		2	28	1994	2017	24	91.98
USGS	08072800	00065	134348		2	29	1996	2016	6	91.50
USGS	08072800	00065	134348		3	1	1994	2017	24	91.99
USGS	08072800	00065	134348		3	2	1988	2017	25	91.99
USGS	08072800	00065	134348		3	3	1988	2017	25	92.02
USGS	08072800	00065	134348		3	4	1988	2017	25	91.96
USGS	08072800	00065	134348		3	5	1988	2017	25	91.82
USGS	08072800	00065	134348		3	6	1988	2017	25	91.62
USGS	08072800	00065	134348		3	7	1988	2017	25	91.67
USGS	08072800	00065	134348		3	8	1994	2017	24	91.69
USGS	08072800	00065	134348		3	9	1994	2017	24	92.36
USGS	08072800	00065	134348		3	10	1994	2017	24	92.57
USGS	08072800	00065	134348		3	11	1988	2017	25	92.31
USGS	08072800	00065	134348		3	12	1988	2017	25	92.44
USGS	08072800	00065	134348		3	13	1994	2017	24	92.72
USGS	08072800	00065	134348		3	14	1988	2017	25	92.88
USGS	08072800	00065	134348		3	15	1988	2017	25	92.89
USGS	08072800	00065	134348		3	16	1988	2017	25	92.44
USGS	08072800	00065	134348		3	17	1988	2017	25	92.13
USGS	08072800	00065	134348		3	18	1988	2017	25	91.98
USGS	08072800	00065	134348		3	19	1988	2017	25	92.02
USGS	08072800	00065	134348		3	20	1988	2017	25	92.11
USGS	08072800	00065	134348		3	21	1988	2017	25	91.98
USGS	08072800	00065	134348		3	22	1988	2017	25	91.70
USGS	08072800	00065	134348		3	23	1988	2017	25	91.36
USGS	08072800	00065	134348		3	24	1988	2017	25	91.29
