#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08073100     00065          Langham Ck at Addicks Res Outflow nr Addicks, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08073100	00065	134366		1	1	2014	2018	5	56.43
USGS	08073100	00065	134366		1	2	2014	2018	5	56.78
USGS	08073100	00065	134366		1	3	2014	2018	5	57.74
USGS	08073100	00065	134366		1	4	2014	2018	5	58.08
USGS	08073100	00065	134366		1	5	2014	2018	5	57.50
USGS	08073100	00065	134366		1	6	2014	2018	5	56.68
USGS	08073100	00065	134366		1	7	2014	2018	5	57.20
USGS	08073100	00065	134366		1	8	2014	2018	5	57.46
USGS	08073100	00065	134366		1	9	2014	2018	5	57.32
USGS	08073100	00065	134366		1	10	2014	2018	5	57.81
USGS	08073100	00065	134366		1	11	2014	2018	5	57.33
USGS	08073100	00065	134366		1	12	2014	2018	5	57.26
USGS	08073100	00065	134366		1	13	2014	2018	5	57.03
USGS	08073100	00065	134366		1	14	2014	2018	5	56.63
USGS	08073100	00065	134366		1	15	2014	2018	5	56.57
USGS	08073100	00065	134366		1	16	2014	2018	5	56.78
USGS	08073100	00065	134366		1	17	2014	2018	5	56.89
USGS	08073100	00065	134366		1	18	2014	2018	5	56.95
USGS	08073100	00065	134366		1	19	2014	2018	5	56.66
USGS	08073100	00065	134366		1	20	2014	2018	5	56.76
USGS	08073100	00065	134366		1	21	2014	2018	5	56.69
USGS	08073100	00065	134366		1	22	2014	2018	5	58.02
USGS	08073100	00065	134366		1	23	2014	2018	5	58.47
USGS	08073100	00065	134366		1	24	2014	2018	5	58.74
USGS	08073100	00065	134366		1	25	2014	2018	5	58.62
USGS	08073100	00065	134366		1	26	2014	2018	5	58.36
USGS	08073100	00065	134366		1	27	2014	2018	5	58.32
USGS	08073100	00065	134366		1	28	2014	2018	5	58.41
USGS	08073100	00065	134366		1	29	2014	2018	5	58.12
USGS	08073100	00065	134366		1	30	2014	2018	5	57.12
USGS	08073100	00065	134366		1	31	2014	2018	5	56.55
USGS	08073100	00065	134366		2	1	2014	2018	5	56.50
USGS	08073100	00065	134366		2	2	2014	2018	5	56.49
USGS	08073100	00065	134366		2	3	2014	2018	4	56.47
USGS	08073100	00065	134366		2	4	2014	2018	5	56.50
USGS	08073100	00065	134366		2	5	2014	2018	5	56.50
USGS	08073100	00065	134366		2	6	2014	2018	5	56.49
USGS	08073100	00065	134366		2	7	2014	2018	5	56.51
USGS	08073100	00065	134366		2	8	2014	2018	5	56.74
USGS	08073100	00065	134366		2	9	2014	2018	5	56.51
USGS	08073100	00065	134366		2	10	2014	2018	5	56.56
USGS	08073100	00065	134366		2	11	2014	2018	5	57.13
USGS	08073100	00065	134366		2	12	2014	2018	5	57.48
USGS	08073100	00065	134366		2	13	2014	2018	5	57.33
USGS	08073100	00065	134366		2	14	2014	2018	5	57.46
USGS	08073100	00065	134366		2	15	2014	2018	5	57.81
