#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08073500     00065          Buffalo Bayou nr Addicks, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08073500	00065	134371		1	1	1998	2018	21	49.33
USGS	08073500	00065	134371		1	2	1998	2018	21	49.57
USGS	08073500	00065	134371		1	3	1998	2018	21	49.77
USGS	08073500	00065	134371		1	4	1998	2018	20	49.62
USGS	08073500	00065	134371		1	5	1998	2018	21	49.64
USGS	08073500	00065	134371		1	6	1998	2018	21	49.63
USGS	08073500	00065	134371		1	7	1998	2018	21	49.72
USGS	08073500	00065	134371		1	8	1998	2018	21	49.79
USGS	08073500	00065	134371		1	9	1998	2018	20	50.39
USGS	08073500	00065	134371		1	10	1998	2018	20	50.49
USGS	08073500	00065	134371		1	11	1998	2018	21	50.36
USGS	08073500	00065	134371		1	12	1998	2018	21	49.93
USGS	08073500	00065	134371		1	13	1998	2018	21	49.74
USGS	08073500	00065	134371		1	14	1998	2018	20	49.51
USGS	08073500	00065	134371		1	15	1998	2018	20	49.36
USGS	08073500	00065	134371		1	16	1998	2018	20	49.76
USGS	08073500	00065	134371		1	17	1998	2018	20	50.49
USGS	08073500	00065	134371		1	18	1998	2018	20	50.98
USGS	08073500	00065	134371		1	19	1998	2018	21	51.22
USGS	08073500	00065	134371		1	20	1998	2018	21	51.05
USGS	08073500	00065	134371		1	21	1998	2018	21	50.22
USGS	08073500	00065	134371		1	22	1998	2018	21	50.45
USGS	08073500	00065	134371		1	23	1998	2018	21	50.33
USGS	08073500	00065	134371		1	24	1998	2018	21	49.95
USGS	08073500	00065	134371		1	25	1998	2018	21	50.36
USGS	08073500	00065	134371		1	26	1998	2018	21	50.70
USGS	08073500	00065	134371		1	27	1998	2018	21	50.90
USGS	08073500	00065	134371		1	28	1998	2018	21	51.23
USGS	08073500	00065	134371		1	29	1998	2018	21	50.88
USGS	08073500	00065	134371		1	30	1998	2018	21	50.34
USGS	08073500	00065	134371		1	31	1998	2018	20	49.88
USGS	08073500	00065	134371		2	1	1998	2018	20	49.55
USGS	08073500	00065	134371		2	2	1998	2018	20	49.94
USGS	08073500	00065	134371		2	3	1998	2018	20	49.80
USGS	08073500	00065	134371		2	4	1998	2018	21	49.62
USGS	08073500	00065	134371		2	5	1998	2018	21	49.52
USGS	08073500	00065	134371		2	6	1998	2018	21	50.01
USGS	08073500	00065	134371		2	7	1998	2018	21	50.00
USGS	08073500	00065	134371		2	8	1998	2018	21	49.74
USGS	08073500	00065	134371		2	9	1998	2018	21	49.61
USGS	08073500	00065	134371		2	10	1998	2018	21	49.94
USGS	08073500	00065	134371		2	11	1998	2018	21	50.38
USGS	08073500	00065	134371		2	12	1998	2018	21	50.38
USGS	08073500	00065	134371		2	13	1998	2018	21	50.05
USGS	08073500	00065	134371		2	14	1998	2018	21	50.33
USGS	08073500	00065	134371		2	15	1998	2018	21	50.52
USGS	08073500	00065	134371		2	16	1998	2018	21	50.44
USGS	08073500	00065	134371		2	17	1998	2018	21	50.24
USGS	08073500	00065	134371		2	18	1998	2018	21	50.28
USGS	08073500	00065	134371		2	19	1998	2018	21	50.08
USGS	08073500	00065	134371		2	20	1998	2018	21	50.01
USGS	08073500	00065	134371		2	21	1998	2018	21	49.94
USGS	08073500	00065	134371		2	22	1998	2018	20	50.22
USGS	08073500	00065	134371		2	23	1998	2018	20	50.94
USGS	08073500	00065	134371		2	24	1998	2018	21	51.22
USGS	08073500	00065	134371		2	25	1998	2018	21	50.22
USGS	08073500	00065	134371		2	26	1998	2018	21	50.04
USGS	08073500	00065	134371		2	27	1998	2018	21	50.10
USGS	08073500	00065	134371		2	28	1998	2018	21	50.18
USGS	08073500	00065	134371		2	29	2000	2016	5	49.29
USGS	08073500	00065	134371		3	1	1998	2018	21	50.09
USGS	08073500	00065	134371		3	2	1998	2018	21	49.82
USGS	08073500	00065	134371		3	3	1998	2018	21	49.73
USGS	08073500	00065	134371		3	4	1998	2018	20	49.78
USGS	08073500	00065	134371		3	5	1998	2018	21	49.97
USGS	08073500	00065	134371		3	6	1998	2018	21	50.42
USGS	08073500	00065	134371		3	7	1998	2018	21	49.86
USGS	08073500	00065	134371		3	8	1998	2018	21	49.57
USGS	08073500	00065	134371		3	9	1998	2018	21	49.86
USGS	08073500	00065	134371		3	10	1998	2018	21	50.15
USGS	08073500	00065	134371		3	11	1998	2018	21	49.79
USGS	08073500	00065	134371		3	12	1999	2018	20	49.92
USGS	08073500	00065	134371		3	13	1998	2018	21	50.77
USGS	08073500	00065	134371		3	14	1998	2018	21	51.22
USGS	08073500	00065	134371		3	15	1998	2018	21	51.25
USGS	08073500	00065	134371		3	16	1998	2018	21	51.35
USGS	08073500	00065	134371		3	17	1998	2018	21	51.36
USGS	08073500	00065	134371		3	18	1998	2018	21	50.58
USGS	08073500	00065	134371		3	19	1998	2018	21	50.77
USGS	08073500	00065	134371		3	20	1998	2018	21	50.24
USGS	08073500	00065	134371		3	21	1998	2018	21	50.37
USGS	08073500	00065	134371		3	22	1998	2018	21	50.57
USGS	08073500	00065	134371		3	23	1998	2018	21	50.31
USGS	08073500	00065	134371		3	24	1998	2018	21	50.08
USGS	08073500	00065	134371		3	25	1998	2018	21	50.08
USGS	08073500	00065	134371		3	26	1998	2018	21	49.93
USGS	08073500	00065	134371		3	27	1998	2018	21	49.71
USGS	08073500	00065	134371		3	28	1998	2018	21	49.76
USGS	08073500	00065	134371		3	29	1998	2018	21	49.71
USGS	08073500	00065	134371		3	30	1998	2018	21	49.91
USGS	08073500	00065	134371		3	31	1998	2018	21	50.17
USGS	08073500	00065	134371		4	1	1998	2018	21	49.98
USGS	08073500	00065	134371		4	2	1998	2018	21	49.97
USGS	08073500	00065	134371		4	3	1998	2018	21	49.91
USGS	08073500	00065	134371		4	4	1998	2018	21	49.97
USGS	08073500	00065	134371		4	5	1998	2018	21	50.27
USGS	08073500	00065	134371		4	6	1998	2018	21	50.18
USGS	08073500	00065	134371		4	7	1998	2018	21	49.53
USGS	08073500	00065	134371		4	8	1998	2018	21	49.72
USGS	08073500	00065	134371		4	9	1998	2018	21	49.43
USGS	08073500	00065	134371		4	10	1998	2018	21	49.57
USGS	08073500	00065	134371		4	11	1998	2018	21	49.69
USGS	08073500	00065	134371		4	12	1998	2018	21	49.85
USGS	08073500	00065	134371		4	13	1998	2018	21	50.20
USGS	08073500	00065	134371		4	14	1998	2018	21	50.34
USGS	08073500	00065	134371		4	15	1998	2018	21	49.71
USGS	08073500	00065	134371		4	16	1998	2018	21	49.31
USGS	08073500	00065	134371		4	17	1998	2018	21	49.47
USGS	08073500	00065	134371		4	18	1998	2018	21	50.92
USGS	08073500	00065	134371		4	19	1998	2018	21	50.23
USGS	08073500	00065	134371		4	20	1998	2018	21	50.08
USGS	08073500	00065	134371		4	21	1998	2018	21	50.23
USGS	08073500	00065	134371		4	22	1998	2018	21	50.28
USGS	08073500	00065	134371		4	23	1998	2018	21	50.07
USGS	08073500	00065	134371		4	24	1998	2018	21	49.98
USGS	08073500	00065	134371		4	25	1998	2018	21	49.57
USGS	08073500	00065	134371		4	26	1998	2018	21	50.03
USGS	08073500	00065	134371		4	27	1998	2018	21	50.23
USGS	08073500	00065	134371		4	28	1998	2018	21	51.00
USGS	08073500	00065	134371		4	29	1998	2018	21	50.31
USGS	08073500	00065	134371		4	30	1998	2018	21	50.11
USGS	08073500	00065	134371		5	1	1998	2018	21	50.99
USGS	08073500	00065	134371		5	2	1998	2017	20	51.15
USGS	08073500	00065	134371		5	3	1998	2017	20	51.39
USGS	08073500	00065	134371		5	4	1998	2017	20	51.33
USGS	08073500	00065	134371		5	5	1998	2017	19	51.14
USGS	08073500	00065	134371		5	6	1998	2017	20	51.40
USGS	08073500	00065	134371		5	7	1998	2017	20	51.76
USGS	08073500	00065	134371		5	8	1998	2017	20	51.92
USGS	08073500	00065	134371		5	9	1998	2017	20	51.68
USGS	08073500	00065	134371		5	10	1998	2017	20	51.88
USGS	08073500	00065	134371		5	11	1998	2017	20	51.39
USGS	08073500	00065	134371		5	12	1998	2017	20	51.44
USGS	08073500	00065	134371		5	13	1998	2017	19	51.83
USGS	08073500	00065	134371		5	14	1998	2017	20	51.49
USGS	08073500	00065	134371		5	15	1998	2017	20	51.08
USGS	08073500	00065	134371		5	16	1998	2017	20	51.08
USGS	08073500	00065	134371		5	17	1998	2017	20	51.17
USGS	08073500	00065	134371		5	18	1998	2017	20	50.91
USGS	08073500	00065	134371		5	19	1998	2017	20	50.91
USGS	08073500	00065	134371		5	20	1998	2017	20	51.27
USGS	08073500	00065	134371		5	21	1998	2017	20	51.06
USGS	08073500	00065	134371		5	22	1998	2017	20	51.23
USGS	08073500	00065	134371		5	23	1998	2017	20	51.26
USGS	08073500	00065	134371		5	24	1998	2017	20	50.30
USGS	08073500	00065	134371		5	25	1998	2017	19	49.89
USGS	08073500	00065	134371		5	26	1998	2017	19	50.68
USGS	08073500	00065	134371		5	27	1998	2017	19	49.93
USGS	08073500	00065	134371		5	28	1998	2017	19	50.49
USGS	08073500	00065	134371		5	29	1998	2017	18	50.72
USGS	08073500	00065	134371		5	30	1998	2017	19	50.83
