#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08073600     00065          Buffalo Bayou at W Belt Dr, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08073600	00065	134373		1	1	1997	2018	21	39.16
USGS	08073600	00065	134373		1	2	1997	2018	21	39.34
USGS	08073600	00065	134373		1	3	1997	2018	22	39.51
USGS	08073600	00065	134373		1	4	1997	2018	22	39.34
USGS	08073600	00065	134373		1	5	1997	2018	22	39.41
USGS	08073600	00065	134373		1	6	1997	2018	22	39.42
USGS	08073600	00065	134373		1	7	1997	2018	22	39.62
USGS	08073600	00065	134373		1	8	1997	2018	22	39.59
USGS	08073600	00065	134373		1	9	1997	2018	22	40.32
USGS	08073600	00065	134373		1	10	1997	2018	22	40.33
USGS	08073600	00065	134373		1	11	1997	2018	22	40.30
USGS	08073600	00065	134373		1	12	1997	2018	22	39.77
USGS	08073600	00065	134373		1	13	1997	2018	22	39.70
USGS	08073600	00065	134373		1	14	1997	2018	21	39.46
USGS	08073600	00065	134373		1	15	1997	2018	21	39.23
USGS	08073600	00065	134373		1	16	1997	2018	21	39.74
USGS	08073600	00065	134373		1	17	1997	2018	21	40.54
USGS	08073600	00065	134373		1	18	1997	2018	21	40.95
USGS	08073600	00065	134373		1	19	1997	2018	22	41.17
USGS	08073600	00065	134373		1	20	1997	2018	22	41.07
USGS	08073600	00065	134373		1	21	1997	2018	22	40.13
USGS	08073600	00065	134373		1	22	1997	2018	22	40.41
USGS	08073600	00065	134373		1	23	1997	2018	22	40.27
USGS	08073600	00065	134373		1	24	1997	2018	22	40.13
USGS	08073600	00065	134373		1	25	1997	2018	22	40.60
USGS	08073600	00065	134373		1	26	1997	2018	22	40.61
USGS	08073600	00065	134373		1	27	1997	2018	21	40.94
USGS	08073600	00065	134373		1	28	1997	2018	21	41.41
USGS	08073600	00065	134373		1	29	1997	2018	20	40.95
USGS	08073600	00065	134373		1	30	1997	2018	22	40.23
USGS	08073600	00065	134373		1	31	1997	2018	22	39.80
USGS	08073600	00065	134373		2	1	1997	2018	22	39.40
USGS	08073600	00065	134373		2	2	1997	2018	22	39.62
USGS	08073600	00065	134373		2	3	1997	2018	22	39.50
USGS	08073600	00065	134373		2	4	1997	2018	22	39.34
USGS	08073600	00065	134373		2	5	1997	2018	21	38.56
USGS	08073600	00065	134373		2	6	1997	2018	21	39.29
USGS	08073600	00065	134373		2	7	1997	2018	22	39.82
USGS	08073600	00065	134373		2	8	1997	2018	22	39.53
USGS	08073600	00065	134373		2	9	1997	2018	22	39.31
USGS	08073600	00065	134373		2	10	1997	2018	22	39.77
USGS	08073600	00065	134373		2	11	1997	2018	22	40.28
USGS	08073600	00065	134373		2	12	1997	2018	22	40.53
USGS	08073600	00065	134373		2	13	1997	2018	21	39.91
USGS	08073600	00065	134373		2	14	1997	2018	21	39.97
USGS	08073600	00065	134373		2	15	1997	2018	21	40.10
USGS	08073600	00065	134373		2	16	1997	2018	21	40.13
USGS	08073600	00065	134373		2	17	1997	2018	21	39.88
USGS	08073600	00065	134373		2	18	1997	2018	22	40.32
USGS	08073600	00065	134373		2	19	1997	2018	22	40.08
USGS	08073600	00065	134373		2	20	1997	2018	22	40.06
USGS	08073600	00065	134373		2	21	1997	2018	22	39.92
USGS	08073600	00065	134373		2	22	1997	2018	21	40.39
USGS	08073600	00065	134373		2	23	1997	2018	21	41.09
USGS	08073600	00065	134373		2	24	1997	2018	22	41.23
USGS	08073600	00065	134373		2	25	1997	2018	22	40.17
USGS	08073600	00065	134373		2	26	1997	2018	22	39.98
USGS	08073600	00065	134373		2	27	1997	2018	22	39.85
USGS	08073600	00065	134373		2	28	1997	2018	22	39.96
USGS	08073600	00065	134373		2	29	2000	2016	5	38.92
USGS	08073600	00065	134373		3	1	1997	2018	21	39.91
USGS	08073600	00065	134373		3	2	1997	2018	22	39.58
USGS	08073600	00065	134373		3	3	1997	2018	22	39.43
USGS	08073600	00065	134373		3	4	1997	2018	22	39.63
USGS	08073600	00065	134373		3	5	1997	2018	22	39.73
USGS	08073600	00065	134373		3	6	1997	2018	22	40.33
USGS	08073600	00065	134373		3	7	1997	2018	22	39.80
USGS	08073600	00065	134373		3	8	1997	2018	22	39.23
USGS	08073600	00065	134373		3	9	1997	2018	22	39.68
USGS	08073600	00065	134373		3	10	1997	2018	22	40.25
USGS	08073600	00065	134373		3	11	1997	2018	22	39.74
USGS	08073600	00065	134373		3	12	1997	2018	22	40.26
USGS	08073600	00065	134373		3	13	1997	2018	22	40.93
USGS	08073600	00065	134373		3	14	1997	2018	22	41.57
USGS	08073600	00065	134373		3	15	1997	2018	22	41.52
USGS	08073600	00065	134373		3	16	1997	2018	21	41.52
USGS	08073600	00065	134373		3	17	1997	2018	22	41.37
USGS	08073600	00065	134373		3	18	1997	2018	22	40.66
USGS	08073600	00065	134373		3	19	1997	2018	22	40.91
USGS	08073600	00065	134373		3	20	1997	2018	22	40.64
USGS	08073600	00065	134373		3	21	1997	2018	22	40.65
USGS	08073600	00065	134373		3	22	1997	2018	22	40.70
USGS	08073600	00065	134373		3	23	1997	2018	22	40.28
USGS	08073600	00065	134373		3	24	1997	2018	22	39.87
USGS	08073600	00065	134373		3	25	1997	2018	22	39.69
USGS	08073600	00065	134373		3	26	1997	2018	22	39.65
USGS	08073600	00065	134373		3	27	1997	2018	22	39.36
USGS	08073600	00065	134373		3	28	1997	2018	22	39.62
USGS	08073600	00065	134373		3	29	1997	2018	22	39.81
USGS	08073600	00065	134373		3	30	1997	2018	21	39.61
