#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08074000     00065          Buffalo Bayou at Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08074000	00065	134409		1	1	1988	2017	28	3.87
USGS	08074000	00065	134409		1	2	1988	2017	28	3.87
USGS	08074000	00065	134409		1	3	1988	2017	28	4.19
USGS	08074000	00065	134409		1	4	1988	2017	28	4.04
USGS	08074000	00065	134409		1	5	1988	2017	29	4.06
USGS	08074000	00065	134409		1	6	1988	2017	29	4.11
USGS	08074000	00065	134409		1	7	1988	2017	28	4.06
USGS	08074000	00065	134409		1	8	1988	2017	28	3.92
USGS	08074000	00065	134409		1	9	1988	2017	28	4.51
USGS	08074000	00065	134409		1	10	1988	2017	29	4.70
USGS	08074000	00065	134409		1	11	1989	2017	28	4.54
USGS	08074000	00065	134409		1	12	1988	2017	29	4.21
USGS	08074000	00065	134409		1	13	1988	2017	28	4.16
USGS	08074000	00065	134409		1	14	1988	2017	29	4.15
USGS	08074000	00065	134409		1	15	1988	2017	29	4.33
USGS	08074000	00065	134409		1	16	1988	2017	29	4.41
USGS	08074000	00065	134409		1	17	1988	2017	29	4.73
USGS	08074000	00065	134409		1	18	1988	2017	28	5.49
USGS	08074000	00065	134409		1	19	1988	2017	29	5.14
USGS	08074000	00065	134409		1	20	1988	2017	27	4.75
USGS	08074000	00065	134409		1	21	1988	2017	29	4.46
USGS	08074000	00065	134409		1	22	1988	2017	28	4.42
USGS	08074000	00065	134409		1	23	1988	2017	29	4.56
USGS	08074000	00065	134409		1	24	1988	2017	27	4.30
USGS	08074000	00065	134409		1	25	1988	2017	28	4.97
USGS	08074000	00065	134409		1	26	1988	2017	29	4.82
USGS	08074000	00065	134409		1	27	1988	2017	27	4.77
USGS	08074000	00065	134409		1	28	1988	2017	29	5.17
USGS	08074000	00065	134409		1	29	1988	2017	29	5.23
USGS	08074000	00065	134409		1	30	1988	2017	26	4.01
USGS	08074000	00065	134409		1	31	1988	2017	26	3.83
USGS	08074000	00065	134409		2	1	1989	2017	25	4.30
USGS	08074000	00065	134409		2	2	1988	2017	29	4.25
USGS	08074000	00065	134409		2	3	1988	2017	28	4.25
USGS	08074000	00065	134409		2	4	1988	2017	29	4.72
USGS	08074000	00065	134409		2	5	1988	2017	29	3.96
USGS	08074000	00065	134409		2	6	1988	2017	27	3.72
USGS	08074000	00065	134409		2	7	1988	2017	28	3.96
USGS	08074000	00065	134409		2	8	1988	2017	27	3.91
USGS	08074000	00065	134409		2	9	1988	2017	27	4.22
USGS	08074000	00065	134409		2	10	1988	2017	27	4.12
USGS	08074000	00065	134409		2	11	1988	2017	28	4.60
USGS	08074000	00065	134409		2	12	1988	2017	29	4.66
USGS	08074000	00065	134409		2	13	1988	2017	29	4.49
USGS	08074000	00065	134409		2	14	1988	2017	29	4.31
USGS	08074000	00065	134409		2	15	1988	2017	29	4.45
USGS	08074000	00065	134409		2	16	1988	2017	28	4.50
USGS	08074000	00065	134409		2	17	1988	2017	27	4.43
USGS	08074000	00065	134409		2	18	1988	2017	29	4.60
USGS	08074000	00065	134409		2	19	1988	2017	29	4.31
USGS	08074000	00065	134409		2	20	1988	2017	29	4.46
USGS	08074000	00065	134409		2	21	1988	2017	29	4.70
USGS	08074000	00065	134409		2	22	1988	2017	27	4.56
USGS	08074000	00065	134409		2	23	1988	2017	27	4.68
USGS	08074000	00065	134409		2	24	1988	2017	28	4.96
USGS	08074000	00065	134409		2	25	1988	2017	28	4.65
USGS	08074000	00065	134409		2	26	1988	2017	29	4.34
USGS	08074000	00065	134409		2	27	1988	2017	28	4.20
USGS	08074000	00065	134409		2	28	1988	2017	28	4.53
USGS	08074000	00065	134409		2	29	1988	2016	8	4.43
USGS	08074000	00065	134409		3	1	1988	2017	29	4.59
USGS	08074000	00065	134409		3	2	1988	2017	29	4.56
USGS	08074000	00065	134409		3	3	1988	2017	29	4.42
USGS	08074000	00065	134409		3	4	1988	2017	29	4.98
USGS	08074000	00065	134409		3	5	1988	2017	29	4.97
USGS	08074000	00065	134409		3	6	1988	2017	28	4.48
USGS	08074000	00065	134409		3	7	1989	2017	27	4.45
USGS	08074000	00065	134409		3	8	1988	2017	28	4.13
USGS	08074000	00065	134409		3	9	1988	2017	27	4.32
USGS	08074000	00065	134409		3	10	1988	2017	28	4.62
USGS	08074000	00065	134409		3	11	1988	2017	26	4.16
USGS	08074000	00065	134409		3	12	1988	2017	28	4.50
USGS	08074000	00065	134409		3	13	1989	2017	28	5.37
USGS	08074000	00065	134409		3	14	1988	2017	28	5.32
USGS	08074000	00065	134409		3	15	1988	2017	27	5.31
USGS	08074000	00065	134409		3	16	1988	2017	28	5.13
USGS	08074000	00065	134409		3	17	1988	2017	27	5.22
USGS	08074000	00065	134409		3	18	1988	2017	28	5.23
USGS	08074000	00065	134409		3	19	1988	2017	29	5.24
USGS	08074000	00065	134409		3	20	1988	2017	29	5.26
USGS	08074000	00065	134409		3	21	1988	2017	29	4.61
USGS	08074000	00065	134409		3	22	1988	2017	29	4.62
USGS	08074000	00065	134409		3	23	1988	2017	29	4.41
USGS	08074000	00065	134409		3	24	1988	2017	29	4.35
USGS	08074000	00065	134409		3	25	1988	2017	28	3.94
USGS	08074000	00065	134409		3	26	1988	2017	28	4.17
USGS	08074000	00065	134409		3	27	1988	2017	28	4.30
USGS	08074000	00065	134409		3	28	1988	2017	28	4.60
USGS	08074000	00065	134409		3	29	1988	2017	28	4.31
USGS	08074000	00065	134409		3	30	1988	2017	28	4.02
USGS	08074000	00065	134409		3	31	1988	2017	25	4.38
USGS	08074000	00065	134409		4	1	1988	2017	27	4.11
USGS	08074000	00065	134409		4	2	1988	2017	28	3.99
USGS	08074000	00065	134409		4	3	1988	2017	28	4.30
USGS	08074000	00065	134409		4	4	1988	2017	29	4.65
USGS	08074000	00065	134409		4	5	1988	2017	29	5.10
USGS	08074000	00065	134409		4	6	1988	2017	29	4.84
USGS	08074000	00065	134409		4	7	1989	2017	27	4.10
USGS	08074000	00065	134409		4	8	1988	2017	29	4.61
USGS	08074000	00065	134409		4	9	1988	2017	28	4.38
USGS	08074000	00065	134409		4	10	1988	2017	29	4.49
USGS	08074000	00065	134409		4	11	1989	2017	28	4.94
USGS	08074000	00065	134409		4	12	1989	2017	28	4.73
