#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08074150     00065          Cole Ck at Deihl Rd, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08074150	00065	134426		1	1	1999	2017	18	67.38
USGS	08074150	00065	134426		1	2	1999	2017	18	67.42
USGS	08074150	00065	134426		1	3	1999	2017	19	67.44
USGS	08074150	00065	134426		1	4	1999	2017	19	67.47
USGS	08074150	00065	134426		1	5	1999	2017	18	67.46
USGS	08074150	00065	134426		1	6	1999	2017	18	67.45
USGS	08074150	00065	134426		1	7	1999	2017	19	67.54
USGS	08074150	00065	134426		1	8	1999	2017	19	67.50
USGS	08074150	00065	134426		1	9	1999	2017	19	67.70
USGS	08074150	00065	134426		1	10	1999	2017	19	67.57
USGS	08074150	00065	134426		1	11	1999	2017	19	67.50
USGS	08074150	00065	134426		1	12	1999	2017	19	67.43
USGS	08074150	00065	134426		1	13	1999	2017	19	67.51
USGS	08074150	00065	134426		1	14	1999	2017	18	67.42
USGS	08074150	00065	134426		1	15	1999	2017	18	67.40
USGS	08074150	00065	134426		1	16	1999	2017	18	67.59
USGS	08074150	00065	134426		1	17	1999	2017	18	67.66
USGS	08074150	00065	134426		1	18	1999	2017	19	67.63
USGS	08074150	00065	134426		1	19	1999	2017	19	67.64
USGS	08074150	00065	134426		1	20	1999	2017	19	67.45
USGS	08074150	00065	134426		1	21	1999	2017	19	67.46
USGS	08074150	00065	134426		1	22	1999	2017	19	67.50
USGS	08074150	00065	134426		1	23	1999	2017	19	67.43
USGS	08074150	00065	134426		1	24	1999	2017	19	67.63
USGS	08074150	00065	134426		1	25	1999	2017	19	67.65
USGS	08074150	00065	134426		1	26	1999	2017	19	67.47
USGS	08074150	00065	134426		1	27	1999	2017	19	67.48
USGS	08074150	00065	134426		1	28	1999	2017	19	67.46
USGS	08074150	00065	134426		1	29	1999	2017	19	67.54
USGS	08074150	00065	134426		1	30	1999	2017	19	67.46
USGS	08074150	00065	134426		1	31	1999	2017	19	67.50
USGS	08074150	00065	134426		2	1	1999	2017	19	67.51
USGS	08074150	00065	134426		2	2	1999	2017	19	67.43
USGS	08074150	00065	134426		2	3	1999	2017	19	67.39
USGS	08074150	00065	134426		2	4	1999	2017	19	67.54
USGS	08074150	00065	134426		2	5	1999	2017	19	67.43
USGS	08074150	00065	134426		2	6	1999	2017	19	67.47
