#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08074250     00065          Brickhouse Gully at Costa Rica St, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08074250	00065	134428		1	1	2001	2016	14	53.47
USGS	08074250	00065	134428		1	2	2001	2016	15	53.40
USGS	08074250	00065	134428		1	3	2001	2016	16	53.41
USGS	08074250	00065	134428		1	4	2001	2016	16	53.52
USGS	08074250	00065	134428		1	5	2001	2016	16	53.46
USGS	08074250	00065	134428		1	6	2001	2016	16	53.43
USGS	08074250	00065	134428		1	7	2001	2016	16	53.43
USGS	08074250	00065	134428		1	8	2001	2017	17	53.05
USGS	08074250	00065	134428		1	9	2001	2016	16	53.72
USGS	08074250	00065	134428		1	10	2001	2016	16	53.47
USGS	08074250	00065	134428		1	11	2001	2016	16	53.40
USGS	08074250	00065	134428		1	12	2001	2017	17	53.04
USGS	08074250	00065	134428		1	13	2001	2017	17	53.10
USGS	08074250	00065	134428		1	14	2001	2017	17	53.01
USGS	08074250	00065	134428		1	15	2001	2017	17	53.08
USGS	08074250	00065	134428		1	16	2001	2017	17	53.22
USGS	08074250	00065	134428		1	17	2001	2017	17	53.19
USGS	08074250	00065	134428		1	18	2001	2017	17	53.26
USGS	08074250	00065	134428		1	19	2001	2017	17	53.18
USGS	08074250	00065	134428		1	20	2001	2017	17	53.07
USGS	08074250	00065	134428		1	21	2001	2017	17	53.04
USGS	08074250	00065	134428		1	22	2001	2017	17	53.13
USGS	08074250	00065	134428		1	23	2001	2017	17	53.04
USGS	08074250	00065	134428		1	24	2001	2017	17	53.27
USGS	08074250	00065	134428		1	25	2001	2016	16	53.61
USGS	08074250	00065	134428		1	26	2001	2016	15	53.43
USGS	08074250	00065	134428		1	27	2001	2016	16	53.43
USGS	08074250	00065	134428		1	28	2001	2016	16	53.45
USGS	08074250	00065	134428		1	29	2001	2016	16	53.47
USGS	08074250	00065	134428		1	30	2001	2016	16	53.37
USGS	08074250	00065	134428		1	31	2001	2016	16	53.51
USGS	08074250	00065	134428		2	1	2001	2016	16	53.48
USGS	08074250	00065	134428		2	2	2001	2016	15	53.39
USGS	08074250	00065	134428		2	3	2001	2016	15	53.43
USGS	08074250	00065	134428		2	4	2001	2016	16	53.56
USGS	08074250	00065	134428		2	5	2001	2016	16	53.44
USGS	08074250	00065	134428		2	6	2001	2016	16	53.41
USGS	08074250	00065	134428		2	7	2001	2016	15	53.39
USGS	08074250	00065	134428		2	8	2001	2016	16	53.47
USGS	08074250	00065	134428		2	9	2001	2016	15	53.42
USGS	08074250	00065	134428		2	10	2001	2016	15	53.59
USGS	08074250	00065	134428		2	11	2001	2016	16	53.55
USGS	08074250	00065	134428		2	12	2001	2016	16	53.46
USGS	08074250	00065	134428		2	13	2001	2016	16	53.46
USGS	08074250	00065	134428		2	14	2001	2016	15	53.42
USGS	08074250	00065	134428		2	15	2001	2017	15	53.02
USGS	08074250	00065	134428		2	16	2001	2016	16	53.41
USGS	08074250	00065	134428		2	17	2001	2016	16	53.39
USGS	08074250	00065	134428		2	18	2001	2016	16	53.58
USGS	08074250	00065	134428		2	19	2001	2016	16	53.43
USGS	08074250	00065	134428		2	20	2001	2016	16	53.46
USGS	08074250	00065	134428		2	21	2001	2017	17	53.13
USGS	08074250	00065	134428		2	22	2001	2017	17	53.10
USGS	08074250	00065	134428		2	23	2001	2017	17	53.10
USGS	08074250	00065	134428		2	24	2001	2016	16	53.52
USGS	08074250	00065	134428		2	25	2001	2016	16	53.47
USGS	08074250	00065	134428		2	26	2001	2016	16	53.46
USGS	08074250	00065	134428		2	27	2001	2016	16	53.39
USGS	08074250	00065	134428		2	28	2001	2016	16	53.38
USGS	08074250	00065	134428		2	29	2004	2016	4	53.52
USGS	08074250	00065	134428		3	1	2001	2016	16	53.45
USGS	08074250	00065	134428		3	2	2001	2016	15	53.48
USGS	08074250	00065	134428		3	3	2001	2016	16	53.45
USGS	08074250	00065	134428		3	4	2001	2016	15	53.43
USGS	08074250	00065	134428		3	5	2001	2017	16	53.09
USGS	08074250	00065	134428		3	6	2001	2017	17	53.05
USGS	08074250	00065	134428		3	7	2001	2017	17	53.05
USGS	08074250	00065	134428		3	8	2001	2017	17	53.11
USGS	08074250	00065	134428		3	9	2001	2017	16	53.47
USGS	08074250	00065	134428		3	10	2001	2017	16	53.35
USGS	08074250	00065	134428		3	11	2001	2017	16	53.25
