#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08074598     00065          Whiteoak Bayou at Main St, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08074598	00065	134459		1	1	1994	2016	23	2.39
USGS	08074598	00065	134459		1	2	1994	2016	23	2.14
USGS	08074598	00065	134459		1	3	1994	2016	23	2.17
USGS	08074598	00065	134459		1	4	1994	2016	23	2.39
USGS	08074598	00065	134459		1	5	1994	2016	23	2.35
USGS	08074598	00065	134459		1	6	1994	2016	23	2.22
USGS	08074598	00065	134459		1	7	1994	2016	22	2.15
USGS	08074598	00065	134459		1	8	1994	2016	23	2.25
USGS	08074598	00065	134459		1	9	1994	2016	22	2.66
USGS	08074598	00065	134459		1	10	1994	2016	23	2.49
USGS	08074598	00065	134459		1	11	1994	2016	23	2.51
USGS	08074598	00065	134459		1	12	1994	2016	23	2.45
USGS	08074598	00065	134459		1	13	1994	2016	22	2.46
USGS	08074598	00065	134459		1	14	1994	2015	22	2.35
USGS	08074598	00065	134459		1	15	1994	2015	22	2.46
USGS	08074598	00065	134459		1	16	1994	2016	23	2.62
USGS	08074598	00065	134459		1	17	1994	2016	23	2.60
USGS	08074598	00065	134459		1	18	1994	2016	23	2.42
USGS	08074598	00065	134459		1	19	1994	2016	23	2.28
USGS	08074598	00065	134459		1	20	1994	2016	22	2.49
USGS	08074598	00065	134459		1	21	1994	2016	23	2.60
USGS	08074598	00065	134459		1	22	1994	2016	23	2.63
USGS	08074598	00065	134459		1	23	1994	2016	23	2.25
USGS	08074598	00065	134459		1	24	1994	2016	22	2.41
USGS	08074598	00065	134459		1	25	1995	2016	22	2.68
USGS	08074598	00065	134459		1	26	1994	2016	23	2.59
USGS	08074598	00065	134459		1	27	1994	2016	22	2.59
USGS	08074598	00065	134459		1	28	1994	2016	23	2.58
USGS	08074598	00065	134459		1	29	1994	2016	23	2.56
USGS	08074598	00065	134459		1	30	1994	2016	22	2.35
USGS	08074598	00065	134459		1	31	1994	2016	22	2.49
USGS	08074598	00065	134459		2	1	1994	2016	23	2.60
USGS	08074598	00065	134459		2	2	1994	2016	23	2.32
USGS	08074598	00065	134459		2	3	1994	2016	23	2.37
USGS	08074598	00065	134459		2	4	1994	2016	23	2.53
USGS	08074598	00065	134459		2	5	1994	2016	23	2.41
USGS	08074598	00065	134459		2	6	1994	2016	22	2.37
USGS	08074598	00065	134459		2	7	1994	2016	23	2.31
USGS	08074598	00065	134459		2	8	1994	2016	22	2.44
USGS	08074598	00065	134459		2	9	1996	2016	21	2.47
USGS	08074598	00065	134459		2	10	1996	2016	20	2.32
USGS	08074598	00065	134459		2	11	1995	2016	21	2.46
USGS	08074598	00065	134459		2	12	1994	2016	23	2.60
USGS	08074598	00065	134459		2	13	1994	2016	23	2.51
USGS	08074598	00065	134459		2	14	1994	2016	23	2.58
USGS	08074598	00065	134459		2	15	1994	2016	23	2.60
USGS	08074598	00065	134459		2	16	1994	2016	22	2.35
USGS	08074598	00065	134459		2	17	1994	2016	21	2.32
USGS	08074598	00065	134459		2	18	1994	2016	23	2.77
USGS	08074598	00065	134459		2	19	1994	2016	23	2.67
USGS	08074598	00065	134459		2	20	1994	2016	23	2.84
USGS	08074598	00065	134459		2	21	1994	2016	23	2.90
USGS	08074598	00065	134459		2	22	1994	2016	22	2.49
USGS	08074598	00065	134459		2	23	1994	2016	22	2.66
USGS	08074598	00065	134459		2	24	1994	2016	22	2.66
USGS	08074598	00065	134459		2	25	1994	2016	22	2.65
USGS	08074598	00065	134459		2	26	1994	2016	22	2.34
USGS	08074598	00065	134459		2	27	1994	2016	22	2.38
USGS	08074598	00065	134459		2	28	1994	2016	22	2.67
USGS	08074598	00065	134459		2	29	1996	2016	6	2.80
USGS	08074598	00065	134459		3	1	1994	2016	22	2.55
USGS	08074598	00065	134459		3	2	1994	2016	22	2.44
USGS	08074598	00065	134459		3	3	1994	2016	22	2.25
USGS	08074598	00065	134459		3	4	1994	2016	22	2.48
USGS	08074598	00065	134459		3	5	1994	2016	22	2.43
USGS	08074598	00065	134459		3	6	1995	2016	21	2.39
USGS	08074598	00065	134459		3	7	1995	2016	21	2.56
USGS	08074598	00065	134459		3	8	1995	2016	21	2.67
USGS	08074598	00065	134459		3	9	1995	2016	20	2.86
USGS	08074598	00065	134459		3	10	1995	2016	21	2.99
USGS	08074598	00065	134459		3	11	1995	2016	19	2.77
USGS	08074598	00065	134459		3	12	1994	2016	20	2.71
USGS	08074598	00065	134459		3	13	1994	2016	21	3.11
USGS	08074598	00065	134459		3	14	1994	2016	23	3.21
USGS	08074598	00065	134459		3	15	1994	2016	23	3.17
USGS	08074598	00065	134459		3	16	1994	2016	22	2.96
