#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08074810     00065          Brays Bayou at Gessner Dr, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08074810	00065	134507		1	1	1998	2018	21	40.84
USGS	08074810	00065	134507		1	2	1998	2018	21	40.97
USGS	08074810	00065	134507		1	3	1998	2018	21	40.87
USGS	08074810	00065	134507		1	4	1998	2018	21	40.94
USGS	08074810	00065	134507		1	5	1998	2018	21	40.95
USGS	08074810	00065	134507		1	6	1998	2018	21	41.00
USGS	08074810	00065	134507		1	7	1998	2018	21	41.04
USGS	08074810	00065	134507		1	8	1998	2018	21	41.00
USGS	08074810	00065	134507		1	9	1998	2018	21	41.48
USGS	08074810	00065	134507		1	10	1998	2018	21	41.13
USGS	08074810	00065	134507		1	11	1998	2018	21	41.09
USGS	08074810	00065	134507		1	12	1998	2018	21	40.93
USGS	08074810	00065	134507		1	13	1998	2018	21	41.00
USGS	08074810	00065	134507		1	14	1998	2018	21	40.85
USGS	08074810	00065	134507		1	15	1998	2018	21	40.92
USGS	08074810	00065	134507		1	16	1998	2018	21	41.20
USGS	08074810	00065	134507		1	17	1998	2018	21	41.25
USGS	08074810	00065	134507		1	18	1998	2018	21	41.35
USGS	08074810	00065	134507		1	19	1998	2018	21	41.25
USGS	08074810	00065	134507		1	20	1998	2018	21	41.02
USGS	08074810	00065	134507		1	21	1998	2018	21	41.13
USGS	08074810	00065	134507		1	22	1998	2018	21	41.29
USGS	08074810	00065	134507		1	23	1998	2018	21	41.01
USGS	08074810	00065	134507		1	24	1998	2018	21	41.32
USGS	08074810	00065	134507		1	25	1998	2018	21	41.24
USGS	08074810	00065	134507		1	26	1998	2018	21	40.98
USGS	08074810	00065	134507		1	27	1998	2018	21	41.09
USGS	08074810	00065	134507		1	28	1998	2018	21	40.99
USGS	08074810	00065	134507		1	29	1998	2018	21	41.00
USGS	08074810	00065	134507		1	30	1998	2018	21	40.90
USGS	08074810	00065	134507		1	31	1998	2018	21	40.84
USGS	08074810	00065	134507		2	1	1998	2018	21	41.01
USGS	08074810	00065	134507		2	2	1998	2018	21	40.86
USGS	08074810	00065	134507		2	3	1998	2018	21	40.77
USGS	08074810	00065	134507		2	4	1998	2018	21	41.08
USGS	08074810	00065	134507		2	5	1998	2018	21	40.93
USGS	08074810	00065	134507		2	6	1998	2018	21	40.92
USGS	08074810	00065	134507		2	7	1998	2018	21	40.90
USGS	08074810	00065	134507		2	8	1998	2018	21	40.94
USGS	08074810	00065	134507		2	9	1998	2018	21	40.97
USGS	08074810	00065	134507		2	10	1998	2018	21	41.39
USGS	08074810	00065	134507		2	11	1998	2018	21	41.32
USGS	08074810	00065	134507		2	12	1998	2018	21	41.05
USGS	08074810	00065	134507		2	13	1998	2018	21	41.07
USGS	08074810	00065	134507		2	14	1998	2018	21	41.08
USGS	08074810	00065	134507		2	15	1998	2018	21	40.94
USGS	08074810	00065	134507		2	16	1998	2018	21	40.94
USGS	08074810	00065	134507		2	17	1998	2018	21	41.03
USGS	08074810	00065	134507		2	18	1998	2018	21	41.10
USGS	08074810	00065	134507		2	19	1998	2018	21	41.01
USGS	08074810	00065	134507		2	20	1998	2018	21	41.12
USGS	08074810	00065	134507		2	21	1998	2018	21	41.30
