#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075000     00065          Brays Bayou at Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075000	00065	134509		1	1	1989	2019	21	20.39
USGS	08075000	00065	134509		1	2	1989	2019	21	20.71
USGS	08075000	00065	134509		1	3	1989	2019	22	20.82
USGS	08075000	00065	134509		1	4	1989	2019	22	20.75
USGS	08075000	00065	134509		1	5	1989	2019	22	20.71
USGS	08075000	00065	134509		1	6	1989	2019	22	20.63
USGS	08075000	00065	134509		1	7	1989	2019	22	20.65
USGS	08075000	00065	134509		1	8	1989	2019	22	20.78
USGS	08075000	00065	134509		1	9	1989	2019	22	21.33
USGS	08075000	00065	134509		1	10	1989	2019	22	20.88
USGS	08075000	00065	134509		1	11	1989	2019	22	20.86
USGS	08075000	00065	134509		1	12	1989	2019	22	20.71
USGS	08075000	00065	134509		1	13	1989	2019	21	20.51
USGS	08075000	00065	134509		1	14	1989	2019	21	20.35
USGS	08075000	00065	134509		1	15	1989	2019	21	20.41
USGS	08075000	00065	134509		1	16	1989	2019	21	20.81
USGS	08075000	00065	134509		1	17	1989	2019	20	20.57
USGS	08075000	00065	134509		1	18	1989	2019	19	21.23
USGS	08075000	00065	134509		1	19	1989	2019	20	21.22
USGS	08075000	00065	134509		1	20	1989	2019	22	20.92
USGS	08075000	00065	134509		1	21	1989	2019	22	20.80
USGS	08075000	00065	134509		1	22	1989	2019	21	21.05
USGS	08075000	00065	134509		1	23	1989	2019	21	20.65
USGS	08075000	00065	134509		1	24	1989	2019	22	21.14
USGS	08075000	00065	134509		1	25	1989	2019	22	21.06
USGS	08075000	00065	134509		1	26	1989	2019	22	20.71
USGS	08075000	00065	134509		1	27	1989	2019	22	20.87
USGS	08075000	00065	134509		1	28	1989	2019	22	20.75
USGS	08075000	00065	134509		1	29	1989	2019	22	20.89
USGS	08075000	00065	134509		1	30	1989	2019	22	20.67
USGS	08075000	00065	134509		1	31	1989	2019	21	20.36
USGS	08075000	00065	134509		2	1	1989	2019	22	20.79
USGS	08075000	00065	134509		2	2	1989	2019	22	20.61
USGS	08075000	00065	134509		2	3	1989	2019	22	20.63
USGS	08075000	00065	134509		2	4	1989	2019	22	20.94
USGS	08075000	00065	134509		2	5	1989	2019	22	20.68
USGS	08075000	00065	134509		2	6	1989	2019	22	20.68
USGS	08075000	00065	134509		2	7	1989	2019	22	20.64
USGS	08075000	00065	134509		2	8	1989	2018	21	20.90
USGS	08075000	00065	134509		2	9	1989	2018	21	20.92
USGS	08075000	00065	134509		2	10	1989	2018	21	21.34
USGS	08075000	00065	134509		2	11	1989	2018	21	21.28
USGS	08075000	00065	134509		2	12	1989	2018	21	20.99
USGS	08075000	00065	134509		2	13	1989	2018	21	21.04
USGS	08075000	00065	134509		2	14	1989	2018	21	21.02
USGS	08075000	00065	134509		2	15	1989	2018	21	20.87
USGS	08075000	00065	134509		2	16	1989	2018	21	20.77
USGS	08075000	00065	134509		2	17	1989	2018	21	20.95
USGS	08075000	00065	134509		2	18	1989	2018	21	21.09
USGS	08075000	00065	134509		2	19	1989	2018	21	20.82
USGS	08075000	00065	134509		2	20	1989	2018	21	21.12
USGS	08075000	00065	134509		2	21	1989	2018	20	21.07
USGS	08075000	00065	134509		2	22	1989	2018	19	20.49
USGS	08075000	00065	134509		2	23	1989	2018	19	20.45
USGS	08075000	00065	134509		2	24	1989	2018	21	21.01
USGS	08075000	00065	134509		2	25	1989	2018	20	20.62
USGS	08075000	00065	134509		2	26	1989	2018	20	20.56
USGS	08075000	00065	134509		2	27	1989	2018	20	20.53
USGS	08075000	00065	134509		2	28	1989	2018	20	20.41
USGS	08075000	00065	134509		2	29	2004	2016	4	19.14
USGS	08075000	00065	134509		3	1	1989	2018	21	20.88
USGS	08075000	00065	134509		3	2	1989	2018	21	20.96
USGS	08075000	00065	134509		3	3	1989	2018	21	20.88
USGS	08075000	00065	134509		3	4	1989	2018	20	20.60
USGS	08075000	00065	134509		3	5	1989	2018	19	20.51
USGS	08075000	00065	134509		3	6	1989	2018	19	20.40
USGS	08075000	00065	134509		3	7	1989	2018	21	20.86
USGS	08075000	00065	134509		3	8	1989	2018	21	20.87
USGS	08075000	00065	134509		3	9	1989	2018	21	21.30
USGS	08075000	00065	134509		3	10	1989	2018	20	21.32
USGS	08075000	00065	134509		3	11	1989	2018	20	20.99
USGS	08075000	00065	134509		3	12	1989	2018	19	20.57
USGS	08075000	00065	134509		3	13	1989	2018	19	20.54
USGS	08075000	00065	134509		3	14	1989	2018	20	21.33
USGS	08075000	00065	134509		3	15	1989	2018	20	21.44
USGS	08075000	00065	134509		3	16	1989	2018	21	20.87
USGS	08075000	00065	134509		3	17	1989	2018	20	20.92
USGS	08075000	00065	134509		3	18	1989	2018	21	20.74
USGS	08075000	00065	134509		3	19	1989	2018	21	20.95
USGS	08075000	00065	134509		3	20	1989	2018	20	21.34
USGS	08075000	00065	134509		3	21	1989	2018	21	20.93
USGS	08075000	00065	134509		3	22	1989	2018	20	21.02
USGS	08075000	00065	134509		3	23	1989	2018	21	20.68
USGS	08075000	00065	134509		3	24	1989	2018	21	20.77
USGS	08075000	00065	134509		3	25	1989	2018	21	20.71
USGS	08075000	00065	134509		3	26	1989	2018	20	21.06
USGS	08075000	00065	134509		3	27	1989	2018	21	20.87
USGS	08075000	00065	134509		3	28	1989	2018	21	21.23
USGS	08075000	00065	134509		3	29	1989	2018	21	21.36
USGS	08075000	00065	134509		3	30	1989	2018	21	20.90
USGS	08075000	00065	134509		3	31	1989	2018	21	20.93
USGS	08075000	00065	134509		4	1	1989	2018	21	20.81
USGS	08075000	00065	134509		4	2	1989	2018	21	20.98
USGS	08075000	00065	134509		4	3	1989	2018	21	21.10
USGS	08075000	00065	134509		4	4	1989	2018	20	20.59
USGS	08075000	00065	134509		4	5	1989	2018	21	20.65
USGS	08075000	00065	134509		4	6	1989	2018	21	20.70
USGS	08075000	00065	134509		4	7	1989	2018	21	20.74
USGS	08075000	00065	134509		4	8	1989	2018	21	21.30
USGS	08075000	00065	134509		4	9	1989	2018	21	20.72
USGS	08075000	00065	134509		4	10	1989	2018	21	20.72
USGS	08075000	00065	134509		4	11	1989	2018	20	20.90
USGS	08075000	00065	134509		4	12	1989	2018	21	21.09
USGS	08075000	00065	134509		4	13	1989	2018	21	20.85
USGS	08075000	00065	134509		4	14	1989	2018	20	20.61
USGS	08075000	00065	134509		4	15	1989	2018	21	20.70
USGS	08075000	00065	134509		4	16	1989	2018	21	20.89
USGS	08075000	00065	134509		4	17	1989	2018	21	21.27
USGS	08075000	00065	134509		4	18	1989	2018	21	22.55
USGS	08075000	00065	134509		4	19	1989	2018	21	21.35
USGS	08075000	00065	134509		4	20	1989	2018	21	21.00
USGS	08075000	00065	134509		4	21	1989	2018	21	21.00
USGS	08075000	00065	134509		4	22	1989	2018	21	20.91
USGS	08075000	00065	134509		4	23	1989	2018	21	20.72
USGS	08075000	00065	134509		4	24	1989	2018	21	20.89
USGS	08075000	00065	134509		4	25	1989	2018	21	21.20
USGS	08075000	00065	134509		4	26	1989	2018	21	20.91
USGS	08075000	00065	134509		4	27	1989	2018	21	21.23
USGS	08075000	00065	134509		4	28	1989	2018	21	21.61
USGS	08075000	00065	134509		4	29	1989	2018	21	21.04
USGS	08075000	00065	134509		4	30	1989	2018	21	20.83
USGS	08075000	00065	134509		5	1	1989	2018	21	21.04
USGS	08075000	00065	134509		5	2	1989	2018	21	20.99
USGS	08075000	00065	134509		5	3	1989	2018	21	21.01
USGS	08075000	00065	134509		5	4	1989	2018	21	20.92
USGS	08075000	00065	134509		5	5	1989	2018	21	20.34
USGS	08075000	00065	134509		5	6	1989	2018	21	19.57
USGS	08075000	00065	134509		5	7	1989	2018	21	19.81
USGS	08075000	00065	134509		5	8	1989	2018	21	19.58
USGS	08075000	00065	134509		5	9	1989	2018	21	19.49
USGS	08075000	00065	134509		5	10	1989	2018	21	20.08
USGS	08075000	00065	134509		5	11	1989	2018	20	21.01
USGS	08075000	00065	134509		5	12	1989	2018	20	21.41
USGS	08075000	00065	134509		5	13	1989	2018	21	21.79
USGS	08075000	00065	134509		5	14	1989	2018	21	21.59
USGS	08075000	00065	134509		5	15	1989	2018	21	21.28
USGS	08075000	00065	134509		5	16	1989	2018	21	20.89
USGS	08075000	00065	134509		5	17	1989	2018	21	21.03
USGS	08075000	00065	134509		5	18	1989	2018	21	21.36
