#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075500     00065          Sims Bayou at Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075500	00065	134520		1	1	1998	2017	19	4.93
USGS	08075500	00065	134520		1	2	1998	2017	19	4.92
USGS	08075500	00065	134520		1	3	1998	2017	19	4.96
USGS	08075500	00065	134520		1	4	1998	2017	19	5.04
USGS	08075500	00065	134520		1	5	1998	2017	20	4.92
USGS	08075500	00065	134520		1	6	1998	2017	20	4.78
USGS	08075500	00065	134520		1	7	1998	2017	20	4.96
USGS	08075500	00065	134520		1	8	1998	2017	20	4.92
USGS	08075500	00065	134520		1	9	1998	2017	20	5.21
USGS	08075500	00065	134520		1	10	1998	2017	20	4.96
USGS	08075500	00065	134520		1	11	1998	2017	20	5.12
USGS	08075500	00065	134520		1	12	1998	2017	20	5.01
USGS	08075500	00065	134520		1	13	1998	2017	20	4.94
USGS	08075500	00065	134520		1	14	1998	2017	20	4.95
USGS	08075500	00065	134520		1	15	1998	2017	20	5.02
USGS	08075500	00065	134520		1	16	1998	2017	20	5.20
USGS	08075500	00065	134520		1	17	1998	2017	20	5.02
USGS	08075500	00065	134520		1	18	1998	2017	20	4.92
USGS	08075500	00065	134520		1	19	1998	2017	20	4.98
USGS	08075500	00065	134520		1	20	1998	2017	20	5.08
USGS	08075500	00065	134520		1	21	1998	2017	20	5.21
USGS	08075500	00065	134520		1	22	1998	2017	19	5.36
USGS	08075500	00065	134520		1	23	1998	2017	19	4.77
USGS	08075500	00065	134520		1	24	1998	2017	20	5.04
USGS	08075500	00065	134520		1	25	1998	2017	20	5.17
USGS	08075500	00065	134520		1	26	1998	2017	20	4.86
USGS	08075500	00065	134520		1	27	1998	2017	20	4.89
USGS	08075500	00065	134520		1	28	1998	2017	20	5.02
USGS	08075500	00065	134520		1	29	1998	2017	20	5.04
USGS	08075500	00065	134520		1	30	1998	2017	20	4.93
USGS	08075500	00065	134520		1	31	1998	2017	20	5.06
USGS	08075500	00065	134520		2	1	1998	2017	20	5.18
USGS	08075500	00065	134520		2	2	1998	2017	20	4.94
USGS	08075500	00065	134520		2	3	1998	2017	20	4.91
USGS	08075500	00065	134520		2	4	1998	2017	20	5.18
USGS	08075500	00065	134520		2	5	1998	2017	20	5.14
USGS	08075500	00065	134520		2	6	1998	2017	20	4.94
USGS	08075500	00065	134520		2	7	1998	2017	20	4.77
USGS	08075500	00065	134520		2	8	1998	2017	19	4.98
USGS	08075500	00065	134520		2	9	1998	2017	19	5.08
USGS	08075500	00065	134520		2	10	1998	2017	20	5.00
USGS	08075500	00065	134520		2	11	1998	2017	20	5.12
USGS	08075500	00065	134520		2	12	1998	2017	20	4.92
USGS	08075500	00065	134520		2	13	1998	2017	20	4.94
USGS	08075500	00065	134520		2	14	1998	2017	20	5.10
USGS	08075500	00065	134520		2	15	1998	2017	20	4.96
USGS	08075500	00065	134520		2	16	1998	2017	20	4.84
USGS	08075500	00065	134520		2	17	1998	2017	20	4.86
USGS	08075500	00065	134520		2	18	1998	2017	20	5.23
USGS	08075500	00065	134520		2	19	1998	2017	20	5.13
USGS	08075500	00065	134520		2	20	1998	2017	20	5.33
USGS	08075500	00065	134520		2	21	1998	2017	19	5.40
USGS	08075500	00065	134520		2	22	1998	2017	18	5.20
USGS	08075500	00065	134520		2	23	1998	2017	18	5.15
USGS	08075500	00065	134520		2	24	1998	2017	20	5.17
USGS	08075500	00065	134520		2	25	1998	2017	20	5.12
USGS	08075500	00065	134520		2	26	1998	2017	19	4.85
USGS	08075500	00065	134520		2	27	1998	2017	19	4.89
USGS	08075500	00065	134520		2	28	1998	2017	20	5.15
USGS	08075500	00065	134520		2	29	2000	2016	5	5.65
USGS	08075500	00065	134520		3	1	1998	2017	19	5.09
USGS	08075500	00065	134520		3	2	1998	2017	19	4.95
USGS	08075500	00065	134520		3	3	1998	2017	19	4.87
USGS	08075500	00065	134520		3	4	1998	2017	20	5.06
USGS	08075500	00065	134520		3	5	1998	2017	20	5.19
USGS	08075500	00065	134520		3	6	1998	2017	20	5.04
USGS	08075500	00065	134520		3	7	1998	2017	20	5.32
USGS	08075500	00065	134520		3	8	1998	2017	20	5.41
USGS	08075500	00065	134520		3	9	1998	2017	20	5.31
USGS	08075500	00065	134520		3	10	1998	2017	20	5.37
USGS	08075500	00065	134520		3	11	1998	2017	20	5.36
USGS	08075500	00065	134520		3	12	1998	2017	20	5.27
USGS	08075500	00065	134520		3	13	1998	2017	20	5.23
USGS	08075500	00065	134520		3	14	1998	2017	20	5.26
USGS	08075500	00065	134520		3	15	1998	2017	20	5.46
USGS	08075500	00065	134520		3	16	1998	2017	20	5.33
USGS	08075500	00065	134520		3	17	1998	2017	20	5.27
USGS	08075500	00065	134520		3	18	1998	2017	20	5.44
USGS	08075500	00065	134520		3	19	1998	2017	20	5.34
USGS	08075500	00065	134520		3	20	1998	2017	20	5.10
USGS	08075500	00065	134520		3	21	1998	2017	20	5.10
USGS	08075500	00065	134520		3	22	1998	2017	20	5.20
