#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075605     00065          Berry Bayou at Nevada St, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075605	00065	134534		1	1	2008	2018	11	15.53
USGS	08075605	00065	134534		1	2	2008	2018	11	15.56
USGS	08075605	00065	134534		1	3	2008	2018	11	15.55
USGS	08075605	00065	134534		1	4	2008	2018	11	15.52
USGS	08075605	00065	134534		1	5	2008	2018	11	15.54
USGS	08075605	00065	134534		1	6	2008	2018	11	15.54
USGS	08075605	00065	134534		1	7	2008	2018	11	15.56
USGS	08075605	00065	134534		1	8	2008	2018	11	15.57
USGS	08075605	00065	134534		1	9	2008	2018	11	15.71
USGS	08075605	00065	134534		1	10	2008	2018	11	15.55
USGS	08075605	00065	134534		1	11	2008	2018	11	15.58
USGS	08075605	00065	134534		1	12	2008	2018	11	15.53
USGS	08075605	00065	134534		1	13	2008	2018	11	15.53
USGS	08075605	00065	134534		1	14	2008	2018	11	15.52
USGS	08075605	00065	134534		1	15	2008	2018	11	15.52
USGS	08075605	00065	134534		1	16	2008	2018	11	15.60
USGS	08075605	00065	134534		1	17	2008	2018	11	15.54
USGS	08075605	00065	134534		1	18	2008	2018	11	15.55
USGS	08075605	00065	134534		1	19	2008	2018	11	15.60
USGS	08075605	00065	134534		1	20	2008	2018	11	15.55
USGS	08075605	00065	134534		1	21	2008	2018	11	15.53
USGS	08075605	00065	134534		1	22	2008	2018	11	15.60
USGS	08075605	00065	134534		1	23	2008	2018	11	15.56
USGS	08075605	00065	134534		1	24	2008	2018	11	15.61
USGS	08075605	00065	134534		1	25	2008	2018	11	15.58
USGS	08075605	00065	134534		1	26	2008	2018	11	15.54
USGS	08075605	00065	134534		1	27	2008	2018	10	15.56
USGS	08075605	00065	134534		1	28	2008	2018	10	15.52
USGS	08075605	00065	134534		1	29	2008	2018	11	15.55
USGS	08075605	00065	134534		1	30	2008	2018	10	15.52
USGS	08075605	00065	134534		1	31	2008	2018	11	15.54
USGS	08075605	00065	134534		2	1	2008	2018	11	15.53
USGS	08075605	00065	134534		2	2	2008	2018	11	15.53
USGS	08075605	00065	134534		2	3	2008	2018	11	15.53
USGS	08075605	00065	134534		2	4	2008	2018	11	15.62
USGS	08075605	00065	134534		2	5	2008	2018	11	15.57
USGS	08075605	00065	134534		2	6	2008	2018	11	15.57
USGS	08075605	00065	134534		2	7	2008	2018	11	15.55
USGS	08075605	00065	134534		2	8	2008	2018	11	15.55
USGS	08075605	00065	134534		2	9	2008	2018	11	15.55
USGS	08075605	00065	134534		2	10	2008	2018	11	15.63
USGS	08075605	00065	134534		2	11	2008	2018	10	15.60
USGS	08075605	00065	134534		2	12	2008	2018	10	15.57
USGS	08075605	00065	134534		2	13	2008	2018	10	15.56
USGS	08075605	00065	134534		2	14	2008	2018	10	15.57
USGS	08075605	00065	134534		2	15	2008	2018	11	15.55
USGS	08075605	00065	134534		2	16	2008	2018	11	15.56
USGS	08075605	00065	134534		2	17	2008	2018	11	15.57
USGS	08075605	00065	134534		2	18	2008	2018	11	15.66
USGS	08075605	00065	134534		2	19	2008	2018	11	15.54
USGS	08075605	00065	134534		2	20	2008	2018	11	15.58
USGS	08075605	00065	134534		2	21	2008	2018	11	15.62
USGS	08075605	00065	134534		2	22	2008	2018	11	15.56
USGS	08075605	00065	134534		2	23	2008	2018	11	15.58
USGS	08075605	00065	134534		2	24	2008	2018	11	15.54
USGS	08075605	00065	134534		2	25	2008	2018	11	15.53
USGS	08075605	00065	134534		2	26	2008	2018	11	15.53
USGS	08075605	00065	134534		2	27	2008	2018	11	15.52
USGS	08075605	00065	134534		2	28	2008	2018	11	15.52
USGS	08075605	00065	134534		2	29	2008	2016	3	15.50
USGS	08075605	00065	134534		3	1	2008	2018	11	15.53
USGS	08075605	00065	134534		3	2	2008	2018	11	15.52
USGS	08075605	00065	134534		3	3	2008	2018	11	15.52
USGS	08075605	00065	134534		3	4	2008	2018	11	15.54
USGS	08075605	00065	134534		3	5	2008	2018	11	15.61
USGS	08075605	00065	134534		3	6	2008	2018	10	15.57
USGS	08075605	00065	134534		3	7	2008	2018	10	15.54
USGS	08075605	00065	134534		3	8	2008	2018	11	15.54
USGS	08075605	00065	134534		3	9	2008	2018	11	15.67
USGS	08075605	00065	134534		3	10	2008	2018	11	15.66
USGS	08075605	00065	134534		3	11	2008	2018	11	15.61
USGS	08075605	00065	134534		3	12	2008	2018	11	15.61
USGS	08075605	00065	134534		3	13	2008	2018	11	15.56
USGS	08075605	00065	134534		3	14	2008	2018	11	15.55
USGS	08075605	00065	134534		3	15	2008	2018	11	15.54
USGS	08075605	00065	134534		3	16	2008	2018	11	15.54
USGS	08075605	00065	134534		3	17	2008	2018	11	15.53
USGS	08075605	00065	134534		3	18	2008	2018	11	15.53
USGS	08075605	00065	134534		3	19	2008	2018	11	15.52
USGS	08075605	00065	134534		3	20	2008	2018	11	15.56
USGS	08075605	00065	134534		3	21	2008	2018	11	15.59
USGS	08075605	00065	134534		3	22	2008	2018	11	15.53
USGS	08075605	00065	134534		3	23	2008	2018	11	15.51
USGS	08075605	00065	134534		3	24	2008	2018	11	15.52
USGS	08075605	00065	134534		3	25	2008	2018	11	15.52
USGS	08075605	00065	134534		3	26	2008	2018	11	15.53
USGS	08075605	00065	134534		3	27	2008	2018	11	15.51
USGS	08075605	00065	134534		3	28	2008	2018	11	15.51
USGS	08075605	00065	134534		3	29	2008	2018	11	15.70
USGS	08075605	00065	134534		3	30	2008	2018	11	15.53
USGS	08075605	00065	134534		3	31	2008	2018	11	15.51
USGS	08075605	00065	134534		4	1	2008	2018	11	15.51
USGS	08075605	00065	134534		4	2	2008	2018	11	15.52
USGS	08075605	00065	134534		4	3	2008	2018	11	15.54
USGS	08075605	00065	134534		4	4	2008	2018	11	15.53
USGS	08075605	00065	134534		4	5	2008	2018	11	15.50
USGS	08075605	00065	134534		4	6	2008	2018	11	15.50
USGS	08075605	00065	134534		4	7	2008	2018	11	15.49
USGS	08075605	00065	134534		4	8	2008	2018	11	15.49
USGS	08075605	00065	134534		4	9	2008	2018	11	15.49
USGS	08075605	00065	134534		4	10	2008	2018	11	15.49
USGS	08075605	00065	134534		4	11	2008	2018	11	15.54
USGS	08075605	00065	134534		4	12	2008	2018	11	15.52
USGS	08075605	00065	134534		4	13	2008	2018	11	15.53
USGS	08075605	00065	134534		4	14	2008	2018	11	15.52
USGS	08075605	00065	134534		4	15	2008	2018	11	15.51
USGS	08075605	00065	134534		4	16	2008	2018	11	15.54
USGS	08075605	00065	134534		4	17	2008	2018	11	15.69
USGS	08075605	00065	134534		4	18	2008	2018	11	16.10
USGS	08075605	00065	134534		4	19	2008	2018	11	15.61
USGS	08075605	00065	134534		4	20	2008	2018	11	15.55
