#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:08:00 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075730     00065          Vince Bayou at Pasadena, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075730	00065	134538		1	1	1998	2018	21	7.87
USGS	08075730	00065	134538		1	2	1998	2018	21	7.90
USGS	08075730	00065	134538		1	3	1998	2018	21	7.87
USGS	08075730	00065	134538		1	4	1998	2018	21	7.91
USGS	08075730	00065	134538		1	5	1998	2018	21	7.93
USGS	08075730	00065	134538		1	6	1998	2018	21	7.99
USGS	08075730	00065	134538		1	7	1998	2018	21	7.96
USGS	08075730	00065	134538		1	8	1998	2018	21	7.96
USGS	08075730	00065	134538		1	9	1998	2018	21	8.04
USGS	08075730	00065	134538		1	10	1998	2018	21	7.88
USGS	08075730	00065	134538		1	11	1998	2018	21	7.93
USGS	08075730	00065	134538		1	12	1998	2018	21	7.87
USGS	08075730	00065	134538		1	13	1998	2018	21	7.96
USGS	08075730	00065	134538		1	14	1998	2018	20	7.86
USGS	08075730	00065	134538		1	15	1998	2018	21	7.88
USGS	08075730	00065	134538		1	16	1998	2018	21	8.00
USGS	08075730	00065	134538		1	17	1998	2017	20	8.12
USGS	08075730	00065	134538		1	18	1998	2018	21	7.90
USGS	08075730	00065	134538		1	19	1998	2018	21	7.96
USGS	08075730	00065	134538		1	20	1998	2018	21	7.89
USGS	08075730	00065	134538		1	21	1998	2018	21	7.95
USGS	08075730	00065	134538		1	22	1998	2018	21	8.02
USGS	08075730	00065	134538		1	23	1998	2018	21	7.93
USGS	08075730	00065	134538		1	24	1998	2018	21	8.04
USGS	08075730	00065	134538		1	25	1998	2018	21	7.97
USGS	08075730	00065	134538		1	26	1998	2018	21	7.92
USGS	08075730	00065	134538		1	27	1998	2018	21	7.95
USGS	08075730	00065	134538		1	28	1998	2018	21	7.89
USGS	08075730	00065	134538		1	29	1998	2018	21	7.94
USGS	08075730	00065	134538		1	30	1998	2018	21	7.87
USGS	08075730	00065	134538		1	31	1998	2018	21	7.89
USGS	08075730	00065	134538		2	1	1998	2018	21	7.90
USGS	08075730	00065	134538		2	2	1998	2018	21	7.87
USGS	08075730	00065	134538		2	3	1998	2018	21	7.86
USGS	08075730	00065	134538		2	4	1998	2018	21	7.96
USGS	08075730	00065	134538		2	5	1998	2018	21	7.91
USGS	08075730	00065	134538		2	6	1998	2018	21	7.90
USGS	08075730	00065	134538		2	7	1998	2018	21	7.87
USGS	08075730	00065	134538		2	8	1998	2018	21	7.88
USGS	08075730	00065	134538		2	9	1998	2018	21	7.86
USGS	08075730	00065	134538		2	10	1998	2018	20	8.09
USGS	08075730	00065	134538		2	11	1998	2018	21	8.01
USGS	08075730	00065	134538		2	12	1998	2018	21	7.93
USGS	08075730	00065	134538		2	13	1998	2018	21	7.91
USGS	08075730	00065	134538		2	14	1998	2018	21	7.91
USGS	08075730	00065	134538		2	15	1998	2018	21	7.86
USGS	08075730	00065	134538		2	16	1998	2018	21	7.89
USGS	08075730	00065	134538		2	17	1998	2018	21	7.90
USGS	08075730	00065	134538		2	18	1998	2018	21	7.92
USGS	08075730	00065	134538		2	19	1998	2018	21	7.85
USGS	08075730	00065	134538		2	20	1998	2018	21	7.94
USGS	08075730	00065	134538		2	21	1998	2018	21	8.02
USGS	08075730	00065	134538		2	22	1998	2018	21	7.93
USGS	08075730	00065	134538		2	23	1998	2018	21	7.89
USGS	08075730	00065	134538		2	24	1998	2018	21	7.87
USGS	08075730	00065	134538		2	25	1998	2018	21	7.86
USGS	08075730	00065	134538		2	26	1998	2018	21	7.87
USGS	08075730	00065	134538		2	27	1998	2018	21	7.82
USGS	08075730	00065	134538		2	28	1998	2018	21	7.80
USGS	08075730	00065	134538		2	29	2000	2016	5	8.21
USGS	08075730	00065	134538		3	1	1998	2018	21	7.93
USGS	08075730	00065	134538		3	2	1998	2018	21	7.89
USGS	08075730	00065	134538		3	3	1998	2018	20	7.85
USGS	08075730	00065	134538		3	4	1998	2018	20	7.84
USGS	08075730	00065	134538		3	5	1998	2018	21	7.94
USGS	08075730	00065	134538		3	6	1998	2018	20	7.87
USGS	08075730	00065	134538		3	7	1998	2018	20	7.89
USGS	08075730	00065	134538		3	8	1998	2018	21	7.90
USGS	08075730	00065	134538		3	9	1998	2018	21	8.04
USGS	08075730	00065	134538		3	10	1998	2018	21	8.01
USGS	08075730	00065	134538		3	11	1998	2018	21	7.95
USGS	08075730	00065	134538		3	12	1998	2018	20	7.98
USGS	08075730	00065	134538		3	13	1998	2018	20	7.91
USGS	08075730	00065	134538		3	14	1998	2018	20	8.06
USGS	08075730	00065	134538		3	15	1998	2018	20	7.92
USGS	08075730	00065	134538		3	16	1998	2018	21	7.95
USGS	08075730	00065	134538		3	17	1998	2018	21	7.87
USGS	08075730	00065	134538		3	18	1998	2018	21	7.89
USGS	08075730	00065	134538		3	19	1998	2018	21	7.89
USGS	08075730	00065	134538		3	20	1998	2018	21	7.95
USGS	08075730	00065	134538		3	21	1998	2018	21	7.95
USGS	08075730	00065	134538		3	22	1998	2018	21	7.89
USGS	08075730	00065	134538		3	23	1998	2018	21	7.88
USGS	08075730	00065	134538		3	24	1998	2018	20	7.90
USGS	08075730	00065	134538		3	25	1998	2018	21	7.93
USGS	08075730	00065	134538		3	26	1998	2018	21	7.93
USGS	08075730	00065	134538		3	27	1998	2018	21	7.96
USGS	08075730	00065	134538		3	28	1998	2018	21	7.99
USGS	08075730	00065	134538		3	29	1998	2018	21	8.09
USGS	08075730	00065	134538		3	30	1998	2018	21	7.96
USGS	08075730	00065	134538		3	31	1998	2018	19	7.96
USGS	08075730	00065	134538		4	1	1998	2018	20	7.89
USGS	08075730	00065	134538		4	2	1998	2018	21	7.95
USGS	08075730	00065	134538		4	3	1998	2018	21	7.98
USGS	08075730	00065	134538		4	4	1998	2018	21	7.95
USGS	08075730	00065	134538		4	5	1998	2018	21	7.88
USGS	08075730	00065	134538		4	6	1998	2018	21	7.92
USGS	08075730	00065	134538		4	7	1998	2018	21	7.93
USGS	08075730	00065	134538		4	8	1998	2018	21	8.07
USGS	08075730	00065	134538		4	9	1998	2018	21	7.88
USGS	08075730	00065	134538		4	10	1998	2018	21	7.90
USGS	08075730	00065	134538		4	11	1998	2018	21	8.02
USGS	08075730	00065	134538		4	12	1998	2018	20	8.00
USGS	08075730	00065	134538		4	13	1998	2018	20	7.94
USGS	08075730	00065	134538		4	14	1998	2018	20	7.94
USGS	08075730	00065	134538		4	15	1998	2018	20	7.86
USGS	08075730	00065	134538		4	16	1998	2018	20	7.93
USGS	08075730	00065	134538		4	17	1998	2018	20	8.04
USGS	08075730	00065	134538		4	18	1998	2018	20	8.34
USGS	08075730	00065	134538		4	19	1998	2018	20	7.97
USGS	08075730	00065	134538		4	20	1998	2018	20	7.94
USGS	08075730	00065	134538		4	21	1998	2018	20	7.96
USGS	08075730	00065	134538		4	22	1998	2018	21	7.96
USGS	08075730	00065	134538		4	23	1998	2018	20	7.91
USGS	08075730	00065	134538		4	24	1998	2018	21	8.04
USGS	08075730	00065	134538		4	25	1998	2018	21	8.08
USGS	08075730	00065	134538		4	26	1998	2018	21	7.95
USGS	08075730	00065	134538		4	27	1998	2018	21	8.04
USGS	08075730	00065	134538		4	28	1998	2018	21	8.00
USGS	08075730	00065	134538		4	29	1998	2018	21	7.91
USGS	08075730	00065	134538		4	30	1998	2018	20	7.90
USGS	08075730	00065	134538		5	1	1998	2018	21	7.98
USGS	08075730	00065	134538		5	2	1998	2018	21	7.97
USGS	08075730	00065	134538		5	3	1998	2018	21	7.97
USGS	08075730	00065	134538		5	4	1998	2018	21	7.94
USGS	08075730	00065	134538		5	5	1998	2018	21	7.97
USGS	08075730	00065	134538		5	6	1998	2018	21	7.93
USGS	08075730	00065	134538		5	7	1998	2018	21	7.90
USGS	08075730	00065	134538		5	8	1998	2018	21	7.90
USGS	08075730	00065	134538		5	9	1998	2018	21	7.89
USGS	08075730	00065	134538		5	10	1997	2018	22	8.04
USGS	08075730	00065	134538		5	11	1997	2018	22	8.07
USGS	08075730	00065	134538		5	12	1997	2018	22	8.17
USGS	08075730	00065	134538		5	13	1997	2018	22	8.15
USGS	08075730	00065	134538		5	14	1997	2018	22	8.05
USGS	08075730	00065	134538		5	15	1997	2018	22	7.97
USGS	08075730	00065	134538		5	16	1997	2018	22	7.90
USGS	08075730	00065	134538		5	17	1997	2018	22	7.93
USGS	08075730	00065	134538		5	18	1997	2018	22	7.86
USGS	08075730	00065	134538		5	19	1997	2018	21	7.87
USGS	08075730	00065	134538		5	20	1997	2018	22	7.94
USGS	08075730	00065	134538		5	21	1997	2018	22	7.88
USGS	08075730	00065	134538		5	22	1997	2018	22	7.94
USGS	08075730	00065	134538		5	23	1997	2018	22	7.87
USGS	08075730	00065	134538		5	24	1997	2018	22	7.95
