#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:08:00 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075780     00065          Greens Bayou at Cutten Rd nr Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075780	00065	134547		1	1	2004	2014	11	102.82
USGS	08075780	00065	134547		1	2	2005	2014	10	102.71
USGS	08075780	00065	134547		1	3	2004	2014	11	102.77
USGS	08075780	00065	134547		1	4	2005	2014	10	102.91
USGS	08075780	00065	134547		1	5	2004	2014	10	102.72
USGS	08075780	00065	134547		1	6	2004	2014	10	102.62
USGS	08075780	00065	134547		1	7	2004	2014	10	102.57
USGS	08075780	00065	134547		1	8	2004	2014	10	102.80
USGS	08075780	00065	134547		1	9	2004	2014	11	103.45
USGS	08075780	00065	134547		1	10	2004	2014	11	103.04
USGS	08075780	00065	134547		1	11	2005	2014	10	102.77
USGS	08075780	00065	134547		1	12	2004	2014	11	102.83
USGS	08075780	00065	134547		1	13	2004	2014	11	103.08
USGS	08075780	00065	134547		1	14	2005	2014	10	102.86
USGS	08075780	00065	134547		1	15	2005	2014	10	102.94
USGS	08075780	00065	134547		1	16	2004	2014	11	103.10
USGS	08075780	00065	134547		1	17	2004	2014	11	103.35
USGS	08075780	00065	134547		1	18	2004	2014	11	102.98
USGS	08075780	00065	134547		1	19	2004	2014	11	103.00
USGS	08075780	00065	134547		1	20	2004	2014	11	102.92
USGS	08075780	00065	134547		1	21	2004	2014	11	102.98
USGS	08075780	00065	134547		1	22	2005	2014	10	103.03
USGS	08075780	00065	134547		1	23	2004	2014	11	102.99
USGS	08075780	00065	134547		1	24	2005	2014	10	103.27
USGS	08075780	00065	134547		1	25	2004	2014	11	103.56
USGS	08075780	00065	134547		1	26	2004	2014	11	103.14
USGS	08075780	00065	134547		1	27	2004	2014	11	103.08
USGS	08075780	00065	134547		1	28	2004	2014	11	103.20
USGS	08075780	00065	134547		1	29	2004	2014	11	103.20
USGS	08075780	00065	134547		1	30	2004	2014	11	103.10
USGS	08075780	00065	134547		1	31	2005	2014	10	103.25
USGS	08075780	00065	134547		2	1	2004	2014	11	103.32
USGS	08075780	00065	134547		2	2	2004	2014	11	103.22
USGS	08075780	00065	134547		2	3	2004	2014	11	103.02
USGS	08075780	00065	134547		2	4	2004	2014	11	103.19
USGS	08075780	00065	134547		2	5	2004	2014	11	103.08
USGS	08075780	00065	134547		2	6	2004	2014	11	102.99
USGS	08075780	00065	134547		2	7	2005	2014	10	103.21
USGS	08075780	00065	134547		2	8	2004	2014	10	102.96
USGS	08075780	00065	134547		2	9	2005	2014	9	102.93
USGS	08075780	00065	134547		2	10	2005	2014	10	103.30
USGS	08075780	00065	134547		2	11	2004	2014	11	103.48
USGS	08075780	00065	134547		2	12	2004	2014	11	103.24
USGS	08075780	00065	134547		2	13	2004	2014	11	103.28
USGS	08075780	00065	134547		2	14	2004	2014	11	103.24
USGS	08075780	00065	134547		2	15	2004	2014	11	103.07
USGS	08075780	00065	134547		2	16	2004	2014	11	103.09
USGS	08075780	00065	134547		2	17	2005	2014	10	103.04
USGS	08075780	00065	134547		2	18	2004	2014	11	103.25
USGS	08075780	00065	134547		2	19	2005	2014	10	103.02
USGS	08075780	00065	134547		2	20	2004	2014	11	103.05
USGS	08075780	00065	134547		2	21	2004	2014	11	103.08
USGS	08075780	00065	134547		2	22	2004	2014	11	102.99
USGS	08075780	00065	134547		2	23	2004	2014	11	103.02
USGS	08075780	00065	134547		2	24	2004	2014	11	103.22
USGS	08075780	00065	134547		2	25	2004	2014	11	103.30
USGS	08075780	00065	134547		2	26	2004	2014	11	103.14
USGS	08075780	00065	134547		2	27	2004	2014	11	103.07
USGS	08075780	00065	134547		2	28	2004	2014	11	102.94
USGS	08075780	00065	134547		2	29	2004	2012	3	102.92
USGS	08075780	00065	134547		3	1	2004	2014	11	103.05
USGS	08075780	00065	134547		3	2	2004	2014	11	103.05
USGS	08075780	00065	134547		3	3	2004	2014	11	103.01
USGS	08075780	00065	134547		3	4	2004	2014	11	103.03
USGS	08075780	00065	134547		3	5	2004	2014	11	102.98
USGS	08075780	00065	134547		3	6	2004	2014	11	103.02
USGS	08075780	00065	134547		3	7	2005	2014	10	103.05
USGS	08075780	00065	134547		3	8	2005	2014	10	103.00
USGS	08075780	00065	134547		3	9	2005	2014	10	103.10
