#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08075900     00065          Greens Bayou nr US Hwy 75 nr Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08075900	00065	134549		1	1	1998	2018	20	67.84
USGS	08075900	00065	134549		1	2	1998	2018	20	67.91
USGS	08075900	00065	134549		1	3	1998	2018	20	67.90
USGS	08075900	00065	134549		1	4	1998	2018	20	67.92
USGS	08075900	00065	134549		1	5	1998	2018	20	68.01
USGS	08075900	00065	134549		1	6	1998	2018	20	68.08
USGS	08075900	00065	134549		1	7	1998	2018	20	68.17
USGS	08075900	00065	134549		1	8	1998	2018	21	68.11
USGS	08075900	00065	134549		1	9	1998	2018	20	68.21
USGS	08075900	00065	134549		1	10	1998	2018	20	67.98
USGS	08075900	00065	134549		1	11	1998	2018	20	67.96
USGS	08075900	00065	134549		1	12	1998	2018	21	68.01
USGS	08075900	00065	134549		1	13	1998	2018	21	68.09
USGS	08075900	00065	134549		1	14	1998	2018	21	67.98
USGS	08075900	00065	134549		1	15	1998	2018	21	68.01
USGS	08075900	00065	134549		1	16	1998	2018	21	68.23
USGS	08075900	00065	134549		1	17	1998	2018	21	68.29
USGS	08075900	00065	134549		1	18	1998	2018	21	68.27
USGS	08075900	00065	134549		1	19	1998	2018	20	68.10
USGS	08075900	00065	134549		1	20	1998	2018	20	67.85
USGS	08075900	00065	134549		1	21	1998	2018	20	68.00
USGS	08075900	00065	134549		1	22	1998	2018	20	67.97
USGS	08075900	00065	134549		1	23	1998	2018	21	67.99
USGS	08075900	00065	134549		1	24	1998	2018	21	68.31
USGS	08075900	00065	134549		1	25	1998	2018	21	68.35
USGS	08075900	00065	134549		1	26	1998	2018	21	68.09
USGS	08075900	00065	134549		1	27	1998	2018	21	68.07
USGS	08075900	00065	134549		1	28	1998	2018	21	68.04
USGS	08075900	00065	134549		1	29	1998	2018	21	68.14
USGS	08075900	00065	134549		1	30	1998	2018	21	67.98
USGS	08075900	00065	134549		1	31	1998	2018	20	67.96
USGS	08075900	00065	134549		2	1	1998	2018	20	67.94
USGS	08075900	00065	134549		2	2	1998	2018	21	68.03
USGS	08075900	00065	134549		2	3	1998	2018	21	67.97
USGS	08075900	00065	134549		2	4	1998	2018	21	68.13
USGS	08075900	00065	134549		2	5	1998	2018	21	68.00
USGS	08075900	00065	134549		2	6	1998	2018	21	68.01
USGS	08075900	00065	134549		2	7	1998	2018	21	68.11
USGS	08075900	00065	134549		2	8	1998	2018	21	68.03
USGS	08075900	00065	134549		2	9	1998	2018	21	68.05
USGS	08075900	00065	134549		2	10	1998	2018	21	68.37
USGS	08075900	00065	134549		2	11	1998	2018	20	68.17
USGS	08075900	00065	134549		2	12	1998	2018	20	68.07
USGS	08075900	00065	134549		2	13	1998	2018	20	68.01
USGS	08075900	00065	134549		2	14	1998	2018	20	67.99
USGS	08075900	00065	134549		2	15	1998	2018	20	67.91
USGS	08075900	00065	134549		2	16	1998	2018	20	67.96
USGS	08075900	00065	134549		2	17	1998	2018	21	68.07
USGS	08075900	00065	134549		2	18	1998	2018	21	68.15
USGS	08075900	00065	134549		2	19	1998	2018	21	67.99
USGS	08075900	00065	134549		2	20	1998	2018	21	68.16
USGS	08075900	00065	134549		2	21	1998	2018	20	68.44
USGS	08075900	00065	134549		2	22	1998	2018	19	68.48
USGS	08075900	00065	134549		2	23	1998	2018	21	68.16
USGS	08075900	00065	134549		2	24	1998	2018	21	68.11
USGS	08075900	00065	134549		2	25	1998	2018	21	68.25
USGS	08075900	00065	134549		2	26	1998	2018	21	68.27
USGS	08075900	00065	134549		2	27	1998	2018	21	68.01
USGS	08075900	00065	134549		2	28	1998	2018	21	67.94
USGS	08075900	00065	134549		2	29	2000	2016	5	67.84
USGS	08075900	00065	134549		3	1	1998	2018	21	68.04
USGS	08075900	00065	134549		3	2	1998	2018	21	68.08
USGS	08075900	00065	134549		3	3	1998	2018	21	68.04
USGS	08075900	00065	134549		3	4	1998	2018	21	68.04
USGS	08075900	00065	134549		3	5	1998	2018	21	68.02
USGS	08075900	00065	134549		3	6	1998	2018	20	68.04
USGS	08075900	00065	134549		3	7	1998	2018	21	68.00
USGS	08075900	00065	134549		3	8	1998	2018	21	68.06
USGS	08075900	00065	134549		3	9	1998	2018	21	68.37
USGS	08075900	00065	134549		3	10	1998	2018	21	68.44
USGS	08075900	00065	134549		3	11	1998	2018	21	68.28
USGS	08075900	00065	134549		3	12	1998	2018	21	68.20
USGS	08075900	00065	134549		3	13	1998	2018	21	68.19
USGS	08075900	00065	134549		3	14	1998	2018	21	68.54
USGS	08075900	00065	134549		3	15	1998	2018	21	68.22
USGS	08075900	00065	134549		3	16	1998	2018	21	68.07
USGS	08075900	00065	134549		3	17	1998	2018	21	67.94
USGS	08075900	00065	134549		3	18	1998	2018	21	67.93
USGS	08075900	00065	134549		3	19	1998	2018	21	68.13
USGS	08075900	00065	134549		3	20	1998	2018	21	68.19
USGS	08075900	00065	134549		3	21	1998	2018	21	68.09
USGS	08075900	00065	134549		3	22	1998	2018	21	68.02
USGS	08075900	00065	134549		3	23	1998	2018	21	67.90
USGS	08075900	00065	134549		3	24	1998	2018	21	67.96
USGS	08075900	00065	134549		3	25	1998	2018	20	67.96
USGS	08075900	00065	134549		3	26	1998	2018	21	68.04
USGS	08075900	00065	134549		3	27	1998	2018	21	68.09
USGS	08075900	00065	134549		3	28	1998	2018	20	68.34
USGS	08075900	00065	134549		3	29	1998	2018	20	68.57
USGS	08075900	00065	134549		3	30	1998	2018	19	68.13
USGS	08075900	00065	134549		3	31	1998	2018	19	68.06
USGS	08075900	00065	134549		4	1	1998	2018	21	67.97
USGS	08075900	00065	134549		4	2	1998	2018	21	68.12
USGS	08075900	00065	134549		4	3	1998	2018	21	68.10
USGS	08075900	00065	134549		4	4	1998	2018	21	67.95
USGS	08075900	00065	134549		4	5	1998	2018	21	67.89
USGS	08075900	00065	134549		4	6	1998	2018	21	67.88
USGS	08075900	00065	134549		4	7	1998	2018	21	67.90
USGS	08075900	00065	134549		4	8	1998	2018	20	68.26
USGS	08075900	00065	134549		4	9	1998	2018	21	67.90
USGS	08075900	00065	134549		4	10	1998	2018	21	68.04
USGS	08075900	00065	134549		4	11	1998	2018	20	68.41
USGS	08075900	00065	134549		4	12	1998	2018	21	68.20
USGS	08075900	00065	134549		4	13	1998	2018	21	68.06
USGS	08075900	00065	134549		4	14	1998	2018	21	68.05
USGS	08075900	00065	134549		4	15	1998	2018	20	68.04
USGS	08075900	00065	134549		4	16	1998	2018	20	68.13
USGS	08075900	00065	134549		4	17	1997	2018	21	68.49
USGS	08075900	00065	134549		4	18	1997	2018	22	69.29
USGS	08075900	00065	134549		4	19	1997	2018	22	68.51
USGS	08075900	00065	134549		4	20	1997	2018	22	68.27
USGS	08075900	00065	134549		4	21	1997	2018	22	68.28
USGS	08075900	00065	134549		4	22	1997	2018	22	68.19
USGS	08075900	00065	134549		4	23	1997	2018	22	68.08
USGS	08075900	00065	134549		4	24	1997	2018	22	68.11
USGS	08075900	00065	134549		4	25	1997	2018	22	68.35
USGS	08075900	00065	134549		4	26	1997	2018	22	68.23
USGS	08075900	00065	134549		4	27	1997	2018	22	68.24
USGS	08075900	00065	134549		4	28	1998	2018	21	68.39
USGS	08075900	00065	134549		4	29	1998	2018	21	68.16
USGS	08075900	00065	134549		4	30	1997	2018	22	68.12
USGS	08075900	00065	134549		5	1	1997	2018	22	68.28
USGS	08075900	00065	134549		5	2	1997	2018	22	68.29
USGS	08075900	00065	134549		5	3	1997	2018	22	68.15
USGS	08075900	00065	134549		5	4	1997	2018	22	68.27
USGS	08075900	00065	134549		5	5	1997	2018	22	68.36
USGS	08075900	00065	134549		5	6	1997	2018	22	68.25
USGS	08075900	00065	134549		5	7	1997	2018	22	68.19
USGS	08075900	00065	134549		5	8	1997	2018	22	68.16
USGS	08075900	00065	134549		5	9	1997	2018	22	68.12
USGS	08075900	00065	134549		5	10	1997	2018	22	68.25
USGS	08075900	00065	134549		5	11	1997	2018	22	68.40
USGS	08075900	00065	134549		5	12	1997	2018	22	68.41
USGS	08075900	00065	134549		5	13	1997	2018	22	68.58
USGS	08075900	00065	134549		5	14	1997	2018	22	68.48
USGS	08075900	00065	134549		5	15	1997	2018	22	68.48
USGS	08075900	00065	134549		5	16	1997	2018	22	68.22
USGS	08075900	00065	134549		5	17	1997	2018	22	68.18
USGS	08075900	00065	134549		5	18	1997	2018	22	68.13
USGS	08075900	00065	134549		5	19	1997	2018	22	68.21
USGS	08075900	00065	134549		5	20	1997	2018	22	68.45
USGS	08075900	00065	134549		5	21	1997	2018	22	68.30
USGS	08075900	00065	134549		5	22	1997	2018	22	68.36
USGS	08075900	00065	134549		5	23	1997	2018	22	68.24
USGS	08075900	00065	134549		5	24	1997	2018	22	68.31
USGS	08075900	00065	134549		5	25	1997	2018	22	68.27
USGS	08075900	00065	134549		5	26	1997	2018	22	68.74
USGS	08075900	00065	134549		5	27	1997	2018	22	69.03
USGS	08075900	00065	134549		5	28	1997	2018	22	68.71
USGS	08075900	00065	134549		5	29	1997	2018	22	68.58
USGS	08075900	00065	134549		5	30	1997	2018	22	68.41
USGS	08075900	00065	134549		5	31	1997	2018	22	68.60
USGS	08075900	00065	134549		6	1	1997	2018	22	68.32
USGS	08075900	00065	134549		6	2	1997	2018	22	68.63
USGS	08075900	00065	134549		6	3	1997	2018	22	68.39
USGS	08075900	00065	134549		6	4	1997	2018	22	68.54
USGS	08075900	00065	134549		6	5	1997	2018	22	68.31
USGS	08075900	00065	134549		6	6	1997	2018	22	68.33
USGS	08075900	00065	134549		6	7	1997	2018	22	68.13
USGS	08075900	00065	134549		6	8	1997	2018	22	68.38
USGS	08075900	00065	134549		6	9	1997	2018	21	69.09
USGS	08075900	00065	134549		6	10	1997	2018	22	68.33
USGS	08075900	00065	134549		6	11	1997	2018	22	68.20
USGS	08075900	00065	134549		6	12	1997	2018	22	68.20
USGS	08075900	00065	134549		6	13	1997	2018	22	68.26
USGS	08075900	00065	134549		6	14	1997	2018	22	68.27
USGS	08075900	00065	134549		6	15	1997	2018	22	68.36
USGS	08075900	00065	134549		6	16	1997	2018	22	68.49
USGS	08075900	00065	134549		6	17	1997	2018	22	68.51
USGS	08075900	00065	134549		6	18	1997	2018	21	68.36
USGS	08075900	00065	134549		6	19	1997	2018	22	68.52
USGS	08075900	00065	134549		6	20	1997	2018	20	68.63
USGS	08075900	00065	134549		6	21	1997	2018	21	68.41
USGS	08075900	00065	134549		6	22	1997	2018	22	68.48
USGS	08075900	00065	134549		6	23	1997	2018	22	68.32
USGS	08075900	00065	134549		6	24	1997	2018	22	68.39
USGS	08075900	00065	134549		6	25	1997	2018	22	68.54
USGS	08075900	00065	134549		6	26	1997	2018	20	68.50
USGS	08075900	00065	134549		6	27	1997	2018	21	68.31
USGS	08075900	00065	134549		6	28	1997	2018	22	68.59
USGS	08075900	00065	134549		6	29	1997	2018	22	68.31
USGS	08075900	00065	134549		6	30	1997	2018	21	68.45
USGS	08075900	00065	134549		7	1	1997	2018	21	68.41
USGS	08075900	00065	134549		7	2	1997	2018	21	68.66
USGS	08075900	00065	134549		7	3	1997	2018	22	68.30
USGS	08075900	00065	134549		7	4	1997	2018	21	68.53
USGS	08075900	00065	134549		7	5	1997	2017	21	68.52
USGS	08075900	00065	134549		7	6	1997	2017	20	68.56
USGS	08075900	00065	134549		7	7	1997	2017	19	68.59
USGS	08075900	00065	134549		7	8	1997	2017	20	68.38
