#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08076000     00065          Greens Bayou nr Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08076000	00065	134551		1	1	1997	2018	22	41.55
USGS	08076000	00065	134551		1	2	1997	2018	22	41.65
USGS	08076000	00065	134551		1	3	1997	2018	21	41.52
USGS	08076000	00065	134551		1	4	1997	2018	21	41.75
USGS	08076000	00065	134551		1	5	1997	2018	22	41.87
USGS	08076000	00065	134551		1	6	1997	2018	22	41.92
USGS	08076000	00065	134551		1	7	1997	2018	22	42.25
USGS	08076000	00065	134551		1	8	1997	2018	22	41.89
USGS	08076000	00065	134551		1	9	1997	2018	22	42.14
USGS	08076000	00065	134551		1	10	1997	2018	22	41.87
USGS	08076000	00065	134551		1	11	1997	2018	22	41.80
USGS	08076000	00065	134551		1	12	1997	2018	21	41.81
USGS	08076000	00065	134551		1	13	1997	2018	20	41.95
USGS	08076000	00065	134551		1	14	1997	2018	21	41.60
USGS	08076000	00065	134551		1	15	1997	2018	22	41.72
USGS	08076000	00065	134551		1	16	1997	2018	21	41.88
USGS	08076000	00065	134551		1	17	1997	2018	21	42.03
USGS	08076000	00065	134551		1	18	1997	2018	21	41.86
