#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08076180     00065          Garners Bayou nr Humble, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08076180	00065	134568		1	1	1999	2018	20	35.47
USGS	08076180	00065	134568		1	2	1999	2018	20	35.47
USGS	08076180	00065	134568		1	3	1999	2018	20	35.48
USGS	08076180	00065	134568		1	4	1999	2018	20	35.42
USGS	08076180	00065	134568		1	5	1999	2018	20	35.62
USGS	08076180	00065	134568		1	6	1999	2018	20	35.41
USGS	08076180	00065	134568		1	7	1999	2018	20	35.62
USGS	08076180	00065	134568		1	8	1999	2018	20	35.44
USGS	08076180	00065	134568		1	9	1999	2018	20	35.74
USGS	08076180	00065	134568		1	10	1999	2018	20	35.51
USGS	08076180	00065	134568		1	11	1999	2018	20	35.60
USGS	08076180	00065	134568		1	12	1999	2018	20	35.38
USGS	08076180	00065	134568		1	13	1999	2018	20	35.49
USGS	08076180	00065	134568		1	14	1999	2018	20	35.28
USGS	08076180	00065	134568		1	15	1999	2018	20	35.31
USGS	08076180	00065	134568		1	16	1999	2018	20	35.68
USGS	08076180	00065	134568		1	17	1999	2017	19	36.04
USGS	08076180	00065	134568		1	18	1999	2017	19	36.05
USGS	08076180	00065	134568		1	19	1999	2018	20	35.87
USGS	08076180	00065	134568		1	20	1999	2018	20	35.40
USGS	08076180	00065	134568		1	21	1999	2018	19	35.39
USGS	08076180	00065	134568		1	22	1999	2018	19	35.49
USGS	08076180	00065	134568		1	23	1999	2018	20	35.45
USGS	08076180	00065	134568		1	24	1999	2018	20	35.83
USGS	08076180	00065	134568		1	25	1999	2018	20	36.10
USGS	08076180	00065	134568		1	26	1999	2018	20	35.72
USGS	08076180	00065	134568		1	27	1999	2018	20	35.61
USGS	08076180	00065	134568		1	28	1999	2018	20	35.46
USGS	08076180	00065	134568		1	29	1999	2018	20	35.55
USGS	08076180	00065	134568		1	30	1999	2018	20	35.46
USGS	08076180	00065	134568		1	31	1999	2018	20	35.41
USGS	08076180	00065	134568		2	1	1999	2018	20	35.56
USGS	08076180	00065	134568		2	2	1999	2018	20	35.47
USGS	08076180	00065	134568		2	3	1999	2018	20	35.47
USGS	08076180	00065	134568		2	4	1999	2018	20	35.76
USGS	08076180	00065	134568		2	5	1999	2018	20	35.53
USGS	08076180	00065	134568		2	6	1999	2018	20	35.39
USGS	08076180	00065	134568		2	7	1999	2018	20	35.50
USGS	08076180	00065	134568		2	8	1999	2018	20	35.42
USGS	08076180	00065	134568		2	9	1999	2018	20	35.65
USGS	08076180	00065	134568		2	10	1999	2018	20	35.99
USGS	08076180	00065	134568		2	11	1999	2018	20	36.02
USGS	08076180	00065	134568		2	12	1999	2018	20	35.81
USGS	08076180	00065	134568		2	13	1998	2018	21	35.73
USGS	08076180	00065	134568		2	14	1998	2018	21	35.73
USGS	08076180	00065	134568		2	15	1998	2018	21	35.57
USGS	08076180	00065	134568		2	16	1998	2018	21	35.66
USGS	08076180	00065	134568		2	17	1998	2018	21	35.62
USGS	08076180	00065	134568		2	18	1998	2018	21	35.73
USGS	08076180	00065	134568		2	19	1998	2018	21	35.52
USGS	08076180	00065	134568		2	20	1998	2018	21	35.52
USGS	08076180	00065	134568		2	21	1998	2018	21	36.01
USGS	08076180	00065	134568		2	22	1998	2018	19	36.40
USGS	08076180	00065	134568		2	23	1998	2018	20	35.84
USGS	08076180	00065	134568		2	24	1998	2018	21	35.66
USGS	08076180	00065	134568		2	25	1998	2018	21	35.62
USGS	08076180	00065	134568		2	26	1998	2018	21	35.86
USGS	08076180	00065	134568		2	27	1998	2018	21	35.57
USGS	08076180	00065	134568		2	28	1998	2018	21	35.34
USGS	08076180	00065	134568		2	29	2000	2016	5	35.43
USGS	08076180	00065	134568		3	1	1998	2018	21	35.56
USGS	08076180	00065	134568		3	2	1998	2018	21	35.54
USGS	08076180	00065	134568		3	3	1998	2018	21	35.51
USGS	08076180	00065	134568		3	4	1998	2018	21	35.53
USGS	08076180	00065	134568		3	5	1998	2018	21	35.47
USGS	08076180	00065	134568		3	6	1998	2018	21	35.45
