#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:08:00 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08076500     00065          Halls Bayou at Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08076500	00065	134570		1	1	1997	2018	21	43.22
USGS	08076500	00065	134570		1	2	1997	2018	21	43.20
USGS	08076500	00065	134570		1	3	1997	2018	21	43.26
USGS	08076500	00065	134570		1	4	1997	2018	21	43.28
USGS	08076500	00065	134570		1	5	1997	2018	21	43.37
USGS	08076500	00065	134570		1	6	1997	2018	21	43.42
USGS	08076500	00065	134570		1	7	1997	2018	21	43.68
USGS	08076500	00065	134570		1	8	1997	2018	21	43.34
USGS	08076500	00065	134570		1	9	1997	2018	21	43.46
USGS	08076500	00065	134570		1	10	1997	2018	21	43.27
USGS	08076500	00065	134570		1	11	1997	2018	21	43.25
USGS	08076500	00065	134570		1	12	1997	2018	21	43.22
USGS	08076500	00065	134570		1	13	1997	2018	21	43.39
USGS	08076500	00065	134570		1	14	1997	2018	21	43.23
USGS	08076500	00065	134570		1	15	1997	2018	21	43.26
USGS	08076500	00065	134570		1	16	1997	2018	21	43.41
USGS	08076500	00065	134570		1	17	1997	2018	21	43.56
USGS	08076500	00065	134570		1	18	1997	2018	21	43.57
USGS	08076500	00065	134570		1	19	1997	2018	21	43.54
USGS	08076500	00065	134570		1	20	1997	2018	21	43.28
USGS	08076500	00065	134570		1	21	1997	2018	21	43.39
USGS	08076500	00065	134570		1	22	1997	2018	21	43.46
USGS	08076500	00065	134570		1	23	1997	2018	21	43.29
USGS	08076500	00065	134570		1	24	1997	2018	21	43.51
USGS	08076500	00065	134570		1	25	1997	2018	21	43.65
USGS	08076500	00065	134570		1	26	1997	2018	21	43.37
USGS	08076500	00065	134570		1	27	1997	2018	21	43.48
USGS	08076500	00065	134570		1	28	1997	2018	21	43.41
USGS	08076500	00065	134570		1	29	1997	2018	21	43.30
USGS	08076500	00065	134570		1	30	1997	2018	21	43.29
USGS	08076500	00065	134570		1	31	1997	2018	21	43.24
USGS	08076500	00065	134570		2	1	1997	2018	21	43.33
USGS	08076500	00065	134570		2	2	1997	2018	21	43.28
USGS	08076500	00065	134570		2	3	1997	2018	21	43.26
USGS	08076500	00065	134570		2	4	1997	2018	21	43.46
USGS	08076500	00065	134570		2	5	1997	2018	21	43.30
USGS	08076500	00065	134570		2	6	1997	2018	21	43.23
USGS	08076500	00065	134570		2	7	1997	2018	21	43.32
USGS	08076500	00065	134570		2	8	1997	2018	21	43.28
USGS	08076500	00065	134570		2	9	1997	2018	20	43.57
USGS	08076500	00065	134570		2	10	1997	2018	20	43.77
USGS	08076500	00065	134570		2	11	1997	2018	20	43.81
USGS	08076500	00065	134570		2	12	1997	2018	21	43.69
USGS	08076500	00065	134570		2	13	1997	2018	21	43.54
