#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08076700     00065          Greens Bayou at Ley Rd, Houston, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08076700	00065	134572		1	1	1998	2018	21	4.28
USGS	08076700	00065	134572		1	2	1998	2018	20	4.38
USGS	08076700	00065	134572		1	3	1998	2018	20	4.35
USGS	08076700	00065	134572		1	4	1998	2018	20	4.42
USGS	08076700	00065	134572		1	5	1998	2018	21	4.63
USGS	08076700	00065	134572		1	6	1998	2018	21	4.38
USGS	08076700	00065	134572		1	7	1998	2018	20	5.54
USGS	08076700	00065	134572		1	8	1998	2018	21	4.53
USGS	08076700	00065	134572		1	9	1998	2018	21	4.80
USGS	08076700	00065	134572		1	10	1998	2018	21	4.50
USGS	08076700	00065	134572		1	11	1998	2018	21	4.68
USGS	08076700	00065	134572		1	12	1998	2018	21	4.31
USGS	08076700	00065	134572		1	13	1998	2018	21	4.44
USGS	08076700	00065	134572		1	14	1998	2018	21	4.20
USGS	08076700	00065	134572		1	15	1998	2018	21	4.35
USGS	08076700	00065	134572		1	16	1998	2018	21	4.75
USGS	08076700	00065	134572		1	17	1998	2018	21	5.22
USGS	08076700	00065	134572		1	18	1998	2018	21	5.07
USGS	08076700	00065	134572		1	19	1998	2018	21	5.29
USGS	08076700	00065	134572		1	20	1998	2018	21	4.43
USGS	08076700	00065	134572		1	21	1998	2018	21	4.76
USGS	08076700	00065	134572		1	22	1998	2018	20	4.79
USGS	08076700	00065	134572		1	23	1998	2018	20	4.33
USGS	08076700	00065	134572		1	24	1998	2018	20	4.87
USGS	08076700	00065	134572		1	25	1998	2018	21	5.51
USGS	08076700	00065	134572		1	26	1998	2018	21	4.75
USGS	08076700	00065	134572		1	27	1998	2018	20	4.53
USGS	08076700	00065	134572		1	28	1998	2018	21	4.47
USGS	08076700	00065	134572		1	29	1998	2018	21	4.58
USGS	08076700	00065	134572		1	30	1998	2018	21	4.40
USGS	08076700	00065	134572		1	31	1998	2018	21	4.31
USGS	08076700	00065	134572		2	1	1998	2018	21	4.81
USGS	08076700	00065	134572		2	2	1999	2018	20	4.39
USGS	08076700	00065	134572		2	3	1999	2018	20	4.26
USGS	08076700	00065	134572		2	4	1999	2018	19	4.94
USGS	08076700	00065	134572		2	5	1999	2018	19	4.68
USGS	08076700	00065	134572		2	6	1999	2018	20	4.33
USGS	08076700	00065	134572		2	7	1998	2018	20	4.32
