#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08076997     00065          Clear Ck at Mykawa St nr Pearland, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08076997	00065	134575		1	1	2009	2018	10	31.58
USGS	08076997	00065	134575		1	2	2009	2018	10	31.51
USGS	08076997	00065	134575		1	3	2009	2018	10	31.45
USGS	08076997	00065	134575		1	4	2008	2018	11	31.17
USGS	08076997	00065	134575		1	5	2008	2018	11	31.15
USGS	08076997	00065	134575		1	6	2008	2018	11	31.10
USGS	08076997	00065	134575		1	7	2008	2018	11	31.22
USGS	08076997	00065	134575		1	8	2008	2018	11	31.17
USGS	08076997	00065	134575		1	9	2008	2018	11	31.46
USGS	08076997	00065	134575		1	10	2008	2018	11	31.60
USGS	08076997	00065	134575		1	11	2008	2018	11	31.54
USGS	08076997	00065	134575		1	12	2008	2018	11	31.43
USGS	08076997	00065	134575		1	13	2008	2018	11	31.19
USGS	08076997	00065	134575		1	14	2008	2018	11	31.07
USGS	08076997	00065	134575		1	15	2008	2018	11	30.97
USGS	08076997	00065	134575		1	16	2008	2018	11	31.51
USGS	08076997	00065	134575		1	17	2008	2018	11	31.40
USGS	08076997	00065	134575		1	18	2008	2018	11	31.26
USGS	08076997	00065	134575		1	19	2008	2018	11	31.64
USGS	08076997	00065	134575		1	20	2008	2018	11	31.50
USGS	08076997	00065	134575		1	21	2008	2018	11	31.56
USGS	08076997	00065	134575		1	22	2008	2018	11	31.59
USGS	08076997	00065	134575		1	23	2008	2018	11	31.67
USGS	08076997	00065	134575		1	24	2008	2018	11	31.71
USGS	08076997	00065	134575		1	25	2008	2018	11	31.79
USGS	08076997	00065	134575		1	26	2008	2018	11	31.70
USGS	08076997	00065	134575		1	27	2008	2018	11	31.48
USGS	08076997	00065	134575		1	28	2008	2018	11	31.29
USGS	08076997	00065	134575		1	29	2008	2018	11	31.33
USGS	08076997	00065	134575		1	30	2008	2018	11	31.19
USGS	08076997	00065	134575		1	31	2008	2018	11	31.04
USGS	08076997	00065	134575		2	1	2008	2018	11	31.00
USGS	08076997	00065	134575		2	2	2008	2018	11	30.92
USGS	08076997	00065	134575		2	3	2008	2018	11	30.84
USGS	08076997	00065	134575		2	4	2008	2018	11	31.19
USGS	08076997	00065	134575		2	5	2008	2018	11	31.10
USGS	08076997	00065	134575		2	6	2008	2018	11	30.98
USGS	08076997	00065	134575		2	7	2008	2018	11	30.94
USGS	08076997	00065	134575		2	8	2008	2018	11	30.87
USGS	08076997	00065	134575		2	9	2008	2018	11	30.86
USGS	08076997	00065	134575		2	10	2008	2018	11	31.19
USGS	08076997	00065	134575		2	11	2008	2018	11	31.37
USGS	08076997	00065	134575		2	12	2008	2018	11	31.41
USGS	08076997	00065	134575		2	13	2008	2018	11	31.22
USGS	08076997	00065	134575		2	14	2008	2018	11	31.23
USGS	08076997	00065	134575		2	15	2008	2018	11	31.10
USGS	08076997	00065	134575		2	16	2008	2018	11	31.02
USGS	08076997	00065	134575		2	17	2008	2018	11	31.05
USGS	08076997	00065	134575		2	18	2008	2018	11	31.45
USGS	08076997	00065	134575		2	19	2008	2018	11	31.40
USGS	08076997	00065	134575		2	20	2008	2018	11	31.49
USGS	08076997	00065	134575		2	21	2008	2018	11	31.75
USGS	08076997	00065	134575		2	22	2008	2018	11	31.59
USGS	08076997	00065	134575		2	23	2008	2018	11	31.41
USGS	08076997	00065	134575		2	24	2008	2018	11	31.22
USGS	08076997	00065	134575		2	25	2008	2018	11	31.04
USGS	08076997	00065	134575		2	26	2008	2018	11	30.95
USGS	08076997	00065	134575		2	27	2008	2018	11	30.86
USGS	08076997	00065	134575		2	28	2008	2018	11	30.79
USGS	08076997	00065	134575		2	29	2008	2016	3	30.78
USGS	08076997	00065	134575		3	1	2008	2018	11	30.77
USGS	08076997	00065	134575		3	2	2008	2018	11	30.78
USGS	08076997	00065	134575		3	3	2008	2018	11	30.75
USGS	08076997	00065	134575		3	4	2008	2018	11	30.77
USGS	08076997	00065	134575		3	5	2008	2018	11	31.20
USGS	08076997	00065	134575		3	6	2008	2018	11	31.55
USGS	08076997	00065	134575		3	7	2008	2018	11	31.40
USGS	08076997	00065	134575		3	8	2008	2018	11	31.18
USGS	08076997	00065	134575		3	9	2008	2018	11	31.38
USGS	08076997	00065	134575		3	10	2008	2018	11	32.00
USGS	08076997	00065	134575		3	11	2008	2018	11	31.77
USGS	08076997	00065	134575		3	12	2008	2018	11	31.70
USGS	08076997	00065	134575		3	13	2008	2018	11	31.47
USGS	08076997	00065	134575		3	14	2008	2018	11	31.27
USGS	08076997	00065	134575		3	15	2008	2018	11	31.10
USGS	08076997	00065	134575		3	16	2008	2018	11	31.00
USGS	08076997	00065	134575		3	17	2008	2018	11	30.91
USGS	08076997	00065	134575		3	18	2008	2018	11	30.84
USGS	08076997	00065	134575		3	19	2008	2018	11	30.81
USGS	08076997	00065	134575		3	20	2008	2018	11	30.92
USGS	08076997	00065	134575		3	21	2008	2018	11	31.10
USGS	08076997	00065	134575		3	22	2008	2018	11	31.18
USGS	08076997	00065	134575		3	23	2008	2018	11	30.97
USGS	08076997	00065	134575		3	24	2008	2018	11	30.89
