#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:08:00 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08077600     00065          Clear Ck nr Friendswood, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08077600	00065	134592		1	1	1998	2018	21	0.55
USGS	08077600	00065	134592		1	2	1998	2018	21	0.52
USGS	08077600	00065	134592		1	3	1998	2018	20	0.51
USGS	08077600	00065	134592		1	4	1998	2018	20	0.75
USGS	08077600	00065	134592		1	5	1998	2018	21	0.75
USGS	08077600	00065	134592		1	6	1998	2018	21	0.46
USGS	08077600	00065	134592		1	7	1998	2018	21	0.78
USGS	08077600	00065	134592		1	8	1998	2018	21	0.56
USGS	08077600	00065	134592		1	9	1998	2018	21	0.74
USGS	08077600	00065	134592		1	10	1998	2018	21	0.63
USGS	08077600	00065	134592		1	11	1998	2018	21	0.65
USGS	08077600	00065	134592		1	12	1998	2018	21	0.55
USGS	08077600	00065	134592		1	13	1998	2018	21	0.53
USGS	08077600	00065	134592		1	14	1998	2018	21	0.68
USGS	08077600	00065	134592		1	15	1998	2018	21	0.70
USGS	08077600	00065	134592		1	16	1998	2018	21	0.88
USGS	08077600	00065	134592		1	17	1998	2018	21	0.74
USGS	08077600	00065	134592		1	18	1998	2018	21	0.50
USGS	08077600	00065	134592		1	19	1998	2018	21	0.56
USGS	08077600	00065	134592		1	20	1998	2018	21	0.65
USGS	08077600	00065	134592		1	21	1998	2018	21	0.74
USGS	08077600	00065	134592		1	22	1998	2018	21	0.92
USGS	08077600	00065	134592		1	23	1998	2018	21	0.66
USGS	08077600	00065	134592		1	24	1998	2018	21	0.75
USGS	08077600	00065	134592		1	25	1998	2018	20	0.77
USGS	08077600	00065	134592		1	26	1998	2018	21	0.55
USGS	08077600	00065	134592		1	27	1998	2018	21	0.55
USGS	08077600	00065	134592		1	28	1998	2018	21	0.60
USGS	08077600	00065	134592		1	29	1998	2018	21	0.62
USGS	08077600	00065	134592		1	30	1998	2018	21	0.57
USGS	08077600	00065	134592		1	31	1998	2018	21	0.66
USGS	08077600	00065	134592		2	1	1998	2018	21	0.80
USGS	08077600	00065	134592		2	2	1998	2018	21	0.57
USGS	08077600	00065	134592		2	3	1998	2018	21	0.55
USGS	08077600	00065	134592		2	4	1998	2018	21	0.80
USGS	08077600	00065	134592		2	5	1998	2018	21	0.88
USGS	08077600	00065	134592		2	6	1998	2018	21	0.62
USGS	08077600	00065	134592		2	7	1998	2018	21	0.34
USGS	08077600	00065	134592		2	8	1998	2018	21	0.50
USGS	08077600	00065	134592		2	9	1998	2018	21	0.60
USGS	08077600	00065	134592		2	10	1998	2018	21	0.77
USGS	08077600	00065	134592		2	11	1998	2018	21	1.07
USGS	08077600	00065	134592		2	12	1998	2018	21	0.76
USGS	08077600	00065	134592		2	13	1998	2018	21	0.55
USGS	08077600	00065	134592		2	14	1998	2018	21	0.70
USGS	08077600	00065	134592		2	15	1998	2018	21	0.56
USGS	08077600	00065	134592		2	16	1998	2018	21	0.43
USGS	08077600	00065	134592		2	17	1998	2018	21	0.51
USGS	08077600	00065	134592		2	18	1998	2018	21	0.77
USGS	08077600	00065	134592		2	19	1998	2018	21	0.90
USGS	08077600	00065	134592		2	20	1998	2018	21	0.89
USGS	08077600	00065	134592		2	21	1998	2018	21	1.07
USGS	08077600	00065	134592		2	22	1998	2018	20	0.89
USGS	08077600	00065	134592		2	23	1998	2018	21	0.83
USGS	08077600	00065	134592		2	24	1998	2018	21	0.78
USGS	08077600	00065	134592		2	25	1998	2018	21	0.74
USGS	08077600	00065	134592		2	26	1998	2018	21	0.54
USGS	08077600	00065	134592		2	27	1998	2018	21	0.53
USGS	08077600	00065	134592		2	28	1998	2018	21	0.76
USGS	08077600	00065	134592		2	29	2000	2016	5	0.92
USGS	08077600	00065	134592		3	1	1998	2018	21	0.69
USGS	08077600	00065	134592		3	2	1998	2018	21	0.66
USGS	08077600	00065	134592		3	3	1998	2018	20	0.66
USGS	08077600	00065	134592		3	4	1998	2018	21	0.63
USGS	08077600	00065	134592		3	5	1998	2018	20	0.71
USGS	08077600	00065	134592		3	6	1998	2018	21	0.72
USGS	08077600	00065	134592		3	7	1998	2018	21	0.89
USGS	08077600	00065	134592		3	8	1998	2018	21	0.96
USGS	08077600	00065	134592		3	9	1998	2018	21	0.90
USGS	08077600	00065	134592		3	10	1998	2018	20	1.16
USGS	08077600	00065	134592		3	11	1998	2018	20	1.02
USGS	08077600	00065	134592		3	12	1998	2018	20	0.97
USGS	08077600	00065	134592		3	13	1998	2018	20	0.83
USGS	08077600	00065	134592		3	14	1998	2018	20	0.98
USGS	08077600	00065	134592		3	15	1998	2018	20	1.34
USGS	08077600	00065	134592		3	16	1998	2018	20	1.14
USGS	08077600	00065	134592		3	17	1998	2018	20	0.99
USGS	08077600	00065	134592		3	18	1998	2018	20	1.0
USGS	08077600	00065	134592		3	19	1998	2018	20	0.91
USGS	08077600	00065	134592		3	20	1998	2018	20	0.67
USGS	08077600	00065	134592		3	21	1998	2018	20	0.63
