#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08111500     00065          Brazos Rv nr Hempstead, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08111500	00065	135478		1	1	1999	2018	19	15.03
USGS	08111500	00065	135478		1	2	1999	2018	19	15.15
USGS	08111500	00065	135478		1	3	1999	2017	19	15.85
USGS	08111500	00065	135478		1	4	1999	2018	20	15.58
USGS	08111500	00065	135478		1	5	1999	2017	19	15.67
USGS	08111500	00065	135478		1	6	1999	2017	19	15.50
USGS	08111500	00065	135478		1	7	1999	2017	19	15.35
USGS	08111500	00065	135478		1	8	1999	2017	19	15.15
USGS	08111500	00065	135478		1	9	1999	2017	18	15.25
USGS	08111500	00065	135478		1	10	1999	2017	18	15.26
USGS	08111500	00065	135478		1	11	1999	2017	19	15.22
USGS	08111500	00065	135478		1	12	1999	2017	19	15.42
USGS	08111500	00065	135478		1	13	1999	2017	19	15.69
USGS	08111500	00065	135478		1	14	1999	2017	19	16.14
USGS	08111500	00065	135478		1	15	1999	2017	19	15.85
USGS	08111500	00065	135478		1	16	1999	2017	19	15.85
USGS	08111500	00065	135478		1	17	1999	2017	19	15.95
USGS	08111500	00065	135478		1	18	1999	2018	19	15.39
USGS	08111500	00065	135478		1	19	1999	2017	19	16.04
USGS	08111500	00065	135478		1	20	1999	2018	19	15.60
USGS	08111500	00065	135478		1	21	1999	2017	18	15.65
USGS	08111500	00065	135478		1	22	1999	2017	18	15.05
USGS	08111500	00065	135478		1	23	1999	2017	19	15.44
USGS	08111500	00065	135478		1	24	1999	2018	20	15.25
USGS	08111500	00065	135478		1	25	1999	2017	19	15.76
USGS	08111500	00065	135478		1	26	1999	2017	18	15.84
USGS	08111500	00065	135478		1	27	1999	2018	20	15.46
USGS	08111500	00065	135478		1	28	1999	2017	19	15.45
USGS	08111500	00065	135478		1	29	1999	2017	19	15.12
USGS	08111500	00065	135478		1	30	1999	2017	18	15.00
USGS	08111500	00065	135478		1	31	1999	2017	18	15.26
USGS	08111500	00065	135478		2	1	1999	2017	19	15.70
USGS	08111500	00065	135478		2	2	1999	2018	20	15.52
USGS	08111500	00065	135478		2	3	1999	2017	19	15.50
USGS	08111500	00065	135478		2	4	1999	2017	19	15.51
USGS	08111500	00065	135478		2	5	1999	2017	19	15.86
USGS	08111500	00065	135478		2	6	1999	2017	18	15.46
USGS	08111500	00065	135478		2	7	1999	2017	18	15.92
USGS	08111500	00065	135478		2	8	1999	2018	20	16.36
USGS	08111500	00065	135478		2	9	1999	2017	19	16.30
USGS	08111500	00065	135478		2	10	1999	2017	19	15.88
USGS	08111500	00065	135478		2	11	1999	2017	19	15.88
USGS	08111500	00065	135478		2	12	1999	2017	19	15.89
USGS	08111500	00065	135478		2	13	1999	2017	19	15.65
USGS	08111500	00065	135478		2	14	1999	2017	17	15.53
USGS	08111500	00065	135478		2	15	1999	2017	18	15.21
USGS	08111500	00065	135478		2	16	1999	2017	19	15.46
USGS	08111500	00065	135478		2	17	1999	2018	19	15.10
USGS	08111500	00065	135478		2	18	1999	2018	19	15.16
USGS	08111500	00065	135478		2	19	1999	2018	19	15.03
USGS	08111500	00065	135478		2	20	1999	2018	20	15.69
USGS	08111500	00065	135478		2	21	1999	2018	20	16.48
USGS	08111500	00065	135478		2	22	2000	2018	19	16.85
USGS	08111500	00065	135478		2	23	2000	2018	19	16.85
USGS	08111500	00065	135478		2	24	1999	2018	20	16.60
USGS	08111500	00065	135478		2	25	1999	2018	20	16.63
USGS	08111500	00065	135478		2	26	1999	2018	20	16.84
USGS	08111500	00065	135478		2	27	1999	2018	20	16.24
USGS	08111500	00065	135478		2	28	1999	2018	20	16.05
USGS	08111500	00065	135478		2	29	2000	2016	5	15.34
USGS	08111500	00065	135478		3	1	1999	2018	20	15.79
USGS	08111500	00065	135478		3	2	1999	2018	20	15.82
USGS	08111500	00065	135478		3	3	1999	2018	20	15.97
USGS	08111500	00065	135478		3	4	1999	2018	20	16.16
USGS	08111500	00065	135478		3	5	1999	2018	20	16.33
USGS	08111500	00065	135478		3	6	1999	2018	20	16.26
USGS	08111500	00065	135478		3	7	1999	2018	20	15.95
USGS	08111500	00065	135478		3	8	1999	2018	19	15.87
USGS	08111500	00065	135478		3	9	1999	2018	19	15.96
USGS	08111500	00065	135478		3	10	1999	2018	20	17.28
USGS	08111500	00065	135478		3	11	1999	2018	20	18.40
USGS	08111500	00065	135478		3	12	1999	2018	20	19.15
USGS	08111500	00065	135478		3	13	1999	2018	20	19.29
USGS	08111500	00065	135478		3	14	1999	2018	20	19.79
USGS	08111500	00065	135478		3	15	1999	2018	20	19.81
USGS	08111500	00065	135478		3	16	1999	2018	20	19.48
USGS	08111500	00065	135478		3	17	1999	2018	20	19.12
USGS	08111500	00065	135478		3	18	1999	2018	20	18.44
USGS	08111500	00065	135478		3	19	1999	2018	20	17.74
USGS	08111500	00065	135478		3	20	1999	2018	20	17.34
USGS	08111500	00065	135478		3	21	1999	2018	20	17.87
USGS	08111500	00065	135478		3	22	1999	2018	20	18.44
USGS	08111500	00065	135478		3	23	1999	2018	20	18.25
USGS	08111500	00065	135478		3	24	1999	2018	20	17.89
USGS	08111500	00065	135478		3	25	1999	2018	20	17.31
USGS	08111500	00065	135478		3	26	1999	2018	20	16.75
USGS	08111500	00065	135478		3	27	1999	2018	20	16.63
USGS	08111500	00065	135478		3	28	1999	2018	20	16.95
USGS	08111500	00065	135478		3	29	1999	2018	20	17.93
USGS	08111500	00065	135478		3	30	1999	2018	20	18.18
USGS	08111500	00065	135478		3	31	1999	2018	20	18.04
USGS	08111500	00065	135478		4	1	1999	2018	20	17.87
USGS	08111500	00065	135478		4	2	1999	2018	20	17.45
USGS	08111500	00065	135478		4	3	1999	2018	20	16.98
USGS	08111500	00065	135478		4	4	1999	2018	20	16.60
USGS	08111500	00065	135478		4	5	1999	2018	20	16.34
USGS	08111500	00065	135478		4	6	1999	2018	20	16.19
USGS	08111500	00065	135478		4	7	1999	2018	20	16.03
USGS	08111500	00065	135478		4	8	1999	2018	20	15.89
USGS	08111500	00065	135478		4	9	1999	2018	20	15.95
USGS	08111500	00065	135478		4	10	1999	2018	20	15.83
USGS	08111500	00065	135478		4	11	1999	2018	20	15.55
USGS	08111500	00065	135478		4	12	1999	2018	20	15.52
USGS	08111500	00065	135478		4	13	1999	2018	20	15.88
USGS	08111500	00065	135478		4	14	1999	2018	20	15.96
USGS	08111500	00065	135478		4	15	1999	2018	20	15.93
USGS	08111500	00065	135478		4	16	1999	2018	20	15.38
USGS	08111500	00065	135478		4	17	1999	2018	20	15.06
USGS	08111500	00065	135478		4	18	1999	2018	20	16.00
USGS	08111500	00065	135478		4	19	1999	2018	20	16.59
USGS	08111500	00065	135478		4	20	1999	2018	20	16.43
USGS	08111500	00065	135478		4	21	1999	2018	19	16.78
USGS	08111500	00065	135478		4	22	1999	2018	19	16.81
USGS	08111500	00065	135478		4	23	1999	2018	19	16.64
USGS	08111500	00065	135478		4	24	1999	2018	19	16.17
USGS	08111500	00065	135478		4	25	1999	2018	19	15.46
USGS	08111500	00065	135478		4	26	1999	2018	20	15.38
USGS	08111500	00065	135478		4	27	1999	2018	20	15.86
USGS	08111500	00065	135478		4	28	1999	2018	20	16.26
USGS	08111500	00065	135478		4	29	1999	2018	20	16.47
USGS	08111500	00065	135478		4	30	1999	2018	20	16.09
USGS	08111500	00065	135478		5	1	1999	2018	20	16.21
USGS	08111500	00065	135478		5	2	1999	2018	20	16.43
USGS	08111500	00065	135478		5	3	1999	2018	20	16.83
USGS	08111500	00065	135478		5	4	1999	2018	20	17.13
USGS	08111500	00065	135478		5	5	1999	2018	20	17.44
USGS	08111500	00065	135478		5	6	1999	2018	20	17.58
USGS	08111500	00065	135478		5	7	1999	2018	20	17.49
USGS	08111500	00065	135478		5	8	1999	2018	20	17.91
USGS	08111500	00065	135478		5	9	1999	2018	19	18.48
USGS	08111500	00065	135478		5	10	1999	2018	20	17.35
USGS	08111500	00065	135478		5	11	1999	2018	19	17.05
USGS	08111500	00065	135478		5	12	1999	2018	20	16.66
USGS	08111500	00065	135478		5	13	1999	2018	20	16.83
USGS	08111500	00065	135478		5	14	1999	2018	20	17.78
USGS	08111500	00065	135478		5	15	1999	2018	20	17.88
USGS	08111500	00065	135478		5	16	1999	2018	20	18.33
