#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08111700     00065          Mill Ck nr Bellville, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08111700	00065	135499		1	1	2001	2018	18	4.34
USGS	08111700	00065	135499		1	2	2001	2018	18	4.09
USGS	08111700	00065	135499		1	3	2001	2018	17	3.92
USGS	08111700	00065	135499		1	4	2001	2018	17	3.89
USGS	08111700	00065	135499		1	5	2001	2018	18	4.21
USGS	08111700	00065	135499		1	6	2001	2018	18	4.04
USGS	08111700	00065	135499		1	7	2001	2018	18	3.98
USGS	08111700	00065	135499		1	8	2001	2018	18	3.88
USGS	08111700	00065	135499		1	9	2001	2018	18	3.94
USGS	08111700	00065	135499		1	10	2001	2018	18	4.14
USGS	08111700	00065	135499		1	11	2001	2018	18	4.07
USGS	08111700	00065	135499		1	12	2001	2018	18	4.01
USGS	08111700	00065	135499		1	13	2001	2018	18	4.24
USGS	08111700	00065	135499		1	14	2001	2018	18	4.89
USGS	08111700	00065	135499		1	15	2001	2018	18	4.50
USGS	08111700	00065	135499		1	16	2001	2018	18	4.69
USGS	08111700	00065	135499		1	17	2001	2018	18	4.81
USGS	08111700	00065	135499		1	18	2001	2018	18	4.73
USGS	08111700	00065	135499		1	19	2001	2018	18	4.92
USGS	08111700	00065	135499		1	20	2001	2018	18	4.67
USGS	08111700	00065	135499		1	21	2001	2018	18	4.28
USGS	08111700	00065	135499		1	22	2001	2018	18	4.22
USGS	08111700	00065	135499		1	23	2001	2018	18	4.32
USGS	08111700	00065	135499		1	24	2001	2018	18	4.49
USGS	08111700	00065	135499		1	25	2001	2018	18	4.86
USGS	08111700	00065	135499		1	26	2001	2018	18	4.84
USGS	08111700	00065	135499		1	27	2001	2018	18	4.22
USGS	08111700	00065	135499		1	28	2001	2018	18	4.19
USGS	08111700	00065	135499		1	29	2001	2018	18	4.38
USGS	08111700	00065	135499		1	30	2001	2018	18	4.40
USGS	08111700	00065	135499		1	31	2001	2018	18	4.24
USGS	08111700	00065	135499		2	1	2001	2018	18	4.18
USGS	08111700	00065	135499		2	2	2001	2018	18	4.19
USGS	08111700	00065	135499		2	3	2001	2018	18	4.12
USGS	08111700	00065	135499		2	4	2001	2018	18	3.95
USGS	08111700	00065	135499		2	5	2001	2018	18	4.28
USGS	08111700	00065	135499		2	6	2001	2018	18	4.35
USGS	08111700	00065	135499		2	7	2001	2018	18	4.18
USGS	08111700	00065	135499		2	8	2001	2018	18	4.34
USGS	08111700	00065	135499		2	9	2001	2018	18	4.49
USGS	08111700	00065	135499		2	10	2001	2018	18	4.47
USGS	08111700	00065	135499		2	11	2001	2018	18	4.51
USGS	08111700	00065	135499		2	12	2001	2018	18	4.73
USGS	08111700	00065	135499		2	13	2001	2018	18	4.74
USGS	08111700	00065	135499		2	14	2001	2018	18	4.29
USGS	08111700	00065	135499		2	15	2001	2018	18	4.14
USGS	08111700	00065	135499		2	16	2001	2018	18	4.18
USGS	08111700	00065	135499		2	17	2001	2018	18	4.56
USGS	08111700	00065	135499		2	18	2001	2018	18	4.69
USGS	08111700	00065	135499		2	19	2001	2018	18	4.64
USGS	08111700	00065	135499		2	20	2001	2018	18	4.60
USGS	08111700	00065	135499		2	21	2001	2018	18	4.86
USGS	08111700	00065	135499		2	22	2001	2018	18	5.14
USGS	08111700	00065	135499		2	23	2001	2018	18	4.99
USGS	08111700	00065	135499		2	24	2001	2018	18	4.71
USGS	08111700	00065	135499		2	25	2001	2018	18	4.73
USGS	08111700	00065	135499		2	26	2001	2018	18	4.71
USGS	08111700	00065	135499		2	27	2001	2018	18	4.60
USGS	08111700	00065	135499		2	28	2001	2018	18	4.19
USGS	08111700	00065	135499		2	29	2004	2016	4	4.03
USGS	08111700	00065	135499		3	1	2001	2018	18	4.03
USGS	08111700	00065	135499		3	2	2001	2018	18	4.32
USGS	08111700	00065	135499		3	3	2001	2018	18	4.74
USGS	08111700	00065	135499		3	4	2001	2018	17	4.65
USGS	08111700	00065	135499		3	5	2001	2018	18	4.61
USGS	08111700	00065	135499		3	6	2001	2018	18	4.20
USGS	08111700	00065	135499		3	7	2001	2018	18	4.11
USGS	08111700	00065	135499		3	8	2001	2018	18	4.20
USGS	08111700	00065	135499		3	9	2001	2018	18	4.81
USGS	08111700	00065	135499		3	10	2001	2018	18	5.63
USGS	08111700	00065	135499		3	11	2001	2018	18	5.76
USGS	08111700	00065	135499		3	12	2001	2018	18	5.76
USGS	08111700	00065	135499		3	13	2001	2018	18	5.35
USGS	08111700	00065	135499		3	14	2001	2018	18	5.19
USGS	08111700	00065	135499		3	15	2001	2018	18	5.18
USGS	08111700	00065	135499		3	16	2001	2018	18	5.02
USGS	08111700	00065	135499		3	17	2001	2018	18	4.40
USGS	08111700	00065	135499		3	18	2001	2018	18	4.19
USGS	08111700	00065	135499		3	19	2001	2018	18	4.15
USGS	08111700	00065	135499		3	20	2001	2018	18	4.26
USGS	08111700	00065	135499		3	21	2001	2018	18	4.82
USGS	08111700	00065	135499		3	22	2001	2018	18	4.92
USGS	08111700	00065	135499		3	23	2001	2018	18	4.47
USGS	08111700	00065	135499		3	24	2001	2017	17	4.15
USGS	08111700	00065	135499		3	25	2001	2018	18	3.99
USGS	08111700	00065	135499		3	26	2001	2018	18	3.96
USGS	08111700	00065	135499		3	27	2001	2018	18	4.14
USGS	08111700	00065	135499		3	28	2001	2018	18	4.72
USGS	08111700	00065	135499		3	29	2001	2018	18	5.09
USGS	08111700	00065	135499		3	30	2001	2018	18	4.89
USGS	08111700	00065	135499		3	31	2001	2018	18	4.69
USGS	08111700	00065	135499		4	1	2001	2018	18	4.47
USGS	08111700	00065	135499		4	2	2001	2018	17	3.83
USGS	08111700	00065	135499		4	3	2001	2017	17	3.93
USGS	08111700	00065	135499		4	4	2001	2017	17	3.85
USGS	08111700	00065	135499		4	5	2001	2018	18	3.78
USGS	08111700	00065	135499		4	6	2001	2018	18	3.72
USGS	08111700	00065	135499		4	7	2001	2018	18	3.68
USGS	08111700	00065	135499		4	8	2001	2018	18	4.03
USGS	08111700	00065	135499		4	9	2001	2018	17	4.28
USGS	08111700	00065	135499		4	10	2001	2018	17	4.09
USGS	08111700	00065	135499		4	11	2001	2017	17	3.78
USGS	08111700	00065	135499		4	12	2001	2018	18	3.79
USGS	08111700	00065	135499		4	13	2001	2018	18	3.76
USGS	08111700	00065	135499		4	14	2001	2018	18	3.78
USGS	08111700	00065	135499		4	15	2001	2018	18	3.71
USGS	08111700	00065	135499		4	16	2001	2018	18	3.62
USGS	08111700	00065	135499		4	17	2001	2018	18	4.15
USGS	08111700	00065	135499		4	18	2001	2018	18	5.64
USGS	08111700	00065	135499		4	19	2001	2018	18	5.60
USGS	08111700	00065	135499		4	20	2000	2018	19	5.05
USGS	08111700	00065	135499		4	21	2000	2018	19	4.44
USGS	08111700	00065	135499		4	22	2000	2018	19	4.23
USGS	08111700	00065	135499		4	23	2000	2018	19	4.07
USGS	08111700	00065	135499		4	24	2000	2018	19	3.81
USGS	08111700	00065	135499		4	25	2000	2018	19	3.74
USGS	08111700	00065	135499		4	26	2000	2018	19	3.76
USGS	08111700	00065	135499		4	27	2000	2018	19	3.84
USGS	08111700	00065	135499		4	28	2000	2018	19	3.92
USGS	08111700	00065	135499		4	29	2000	2018	19	3.97
USGS	08111700	00065	135499		4	30	2000	2018	19	3.78
USGS	08111700	00065	135499		5	1	2000	2018	18	3.87
USGS	08111700	00065	135499		5	2	2000	2018	19	3.80
USGS	08111700	00065	135499		5	3	2000	2018	19	3.78
USGS	08111700	00065	135499		5	4	2000	2018	19	3.64
USGS	08111700	00065	135499		5	5	2000	2018	19	3.65
USGS	08111700	00065	135499		5	6	2000	2018	19	3.71
USGS	08111700	00065	135499		5	7	2000	2018	19	3.61
USGS	08111700	00065	135499		5	8	2000	2018	19	3.58
USGS	08111700	00065	135499		5	9	2000	2018	19	3.49
USGS	08111700	00065	135499		5	10	2000	2018	19	3.46
USGS	08111700	00065	135499		5	11	2000	2018	19	3.45
USGS	08111700	00065	135499		5	12	2000	2018	19	3.45
USGS	08111700	00065	135499		5	13	2000	2018	18	3.66
USGS	08111700	00065	135499		5	14	2000	2018	19	4.16
USGS	08111700	00065	135499		5	15	2000	2018	19	4.36
USGS	08111700	00065	135499		5	16	2000	2018	19	4.29
USGS	08111700	00065	135499		5	17	2000	2018	19	4.04
USGS	08111700	00065	135499		5	18	2000	2018	19	4.06
USGS	08111700	00065	135499		5	19	2000	2018	19	4.17
USGS	08111700	00065	135499		5	20	2000	2018	19	4.47
USGS	08111700	00065	135499		5	21	2000	2018	19	4.31
USGS	08111700	00065	135499		5	22	2000	2018	19	3.94
USGS	08111700	00065	135499		5	23	2000	2018	19	3.58
USGS	08111700	00065	135499		5	24	2000	2018	19	3.60
USGS	08111700	00065	135499		5	25	2000	2018	19	3.64
USGS	08111700	00065	135499		5	26	2000	2018	19	3.88
USGS	08111700	00065	135499		5	27	2000	2018	18	4.41
USGS	08111700	00065	135499		5	28	2000	2018	18	5.72
USGS	08111700	00065	135499		5	29	2000	2018	18	5.36
USGS	08111700	00065	135499		5	30	2000	2018	19	4.71
USGS	08111700	00065	135499		5	31	2000	2018	19	4.17
USGS	08111700	00065	135499		6	1	2000	2018	19	3.83
USGS	08111700	00065	135499		6	2	2000	2018	19	3.88
USGS	08111700	00065	135499		6	3	2000	2018	19	3.90
USGS	08111700	00065	135499		6	4	2000	2018	18	3.98
USGS	08111700	00065	135499		6	5	2000	2018	19	3.98
USGS	08111700	00065	135499		6	6	2000	2018	19	3.82
USGS	08111700	00065	135499		6	7	2000	2018	19	3.51
USGS	08111700	00065	135499		6	8	2000	2018	18	3.33
USGS	08111700	00065	135499		6	9	2000	2018	18	3.31
USGS	08111700	00065	135499		6	10	2000	2018	19	4.00
USGS	08111700	00065	135499		6	11	2000	2018	18	3.68
USGS	08111700	00065	135499		6	12	2000	2018	18	3.66
USGS	08111700	00065	135499		6	13	2000	2018	18	3.49
USGS	08111700	00065	135499		6	14	2000	2018	18	3.32
USGS	08111700	00065	135499		6	15	2000	2018	19	3.77
USGS	08111700	00065	135499		6	16	2000	2018	19	4.05
USGS	08111700	00065	135499		6	17	2000	2018	19	4.43
USGS	08111700	00065	135499		6	18	2000	2018	18	4.55
USGS	08111700	00065	135499		6	19	2000	2018	18	4.16
USGS	08111700	00065	135499		6	20	2000	2018	19	4.08
USGS	08111700	00065	135499		6	21	2000	2018	19	4.00
USGS	08111700	00065	135499		6	22	2000	2018	19	3.56
USGS	08111700	00065	135499		6	23	2000	2018	19	3.45
USGS	08111700	00065	135499		6	24	2000	2018	19	3.82
USGS	08111700	00065	135499		6	25	2000	2018	19	3.85
USGS	08111700	00065	135499		6	26	2000	2018	19	3.98
USGS	08111700	00065	135499		6	27	2000	2018	19	3.98
USGS	08111700	00065	135499		6	28	2000	2018	19	3.87
USGS	08111700	00065	135499		6	29	2000	2018	19	3.84
USGS	08111700	00065	135499		6	30	2000	2018	19	3.77
USGS	08111700	00065	135499		7	1	2000	2018	17	3.80
USGS	08111700	00065	135499		7	2	2000	2018	18	3.95
USGS	08111700	00065	135499		7	3	2000	2018	19	3.84
USGS	08111700	00065	135499		7	4	2000	2018	19	3.51
USGS	08111700	00065	135499		7	5	2000	2018	19	3.60
USGS	08111700	00065	135499		7	6	2000	2018	19	3.55
USGS	08111700	00065	135499		7	7	2000	2018	18	3.43
USGS	08111700	00065	135499		7	8	2000	2018	18	3.46
USGS	08111700	00065	135499		7	9	2000	2018	17	3.52
USGS	08111700	00065	135499		7	10	2000	2018	17	3.64
USGS	08111700	00065	135499		7	11	2000	2018	19	3.36
USGS	08111700	00065	135499		7	12	2000	2018	19	3.62
USGS	08111700	00065	135499		7	13	2000	2018	18	3.67
USGS	08111700	00065	135499		7	14	2000	2018	19	3.45
USGS	08111700	00065	135499		7	15	2000	2018	19	3.64
USGS	08111700	00065	135499		7	16	2000	2018	19	3.52
USGS	08111700	00065	135499		7	17	2000	2018	19	3.70
USGS	08111700	00065	135499		7	18	2000	2018	19	3.60
USGS	08111700	00065	135499		7	19	2000	2018	19	3.26
USGS	08111700	00065	135499		7	20	2000	2018	19	3.24
USGS	08111700	00065	135499		7	21	2000	2018	19	3.38
USGS	08111700	00065	135499		7	22	2000	2018	19	3.52
USGS	08111700	00065	135499		7	23	2000	2018	19	3.29
USGS	08111700	00065	135499		7	24	2000	2018	19	3.16
USGS	08111700	00065	135499		7	25	2000	2018	19	3.17
USGS	08111700	00065	135499		7	26	2000	2018	19	3.14
USGS	08111700	00065	135499		7	27	2000	2018	19	3.22
USGS	08111700	00065	135499		7	28	2000	2018	19	3.18
USGS	08111700	00065	135499		7	29	2000	2018	19	3.13
USGS	08111700	00065	135499		7	30	2000	2018	19	3.10
USGS	08111700	00065	135499		7	31	2000	2018	19	3.10
USGS	08111700	00065	135499		8	1	2000	2018	19	3.07
USGS	08111700	00065	135499		8	2	2000	2018	19	3.06
USGS	08111700	00065	135499		8	3	2000	2018	19	3.18
USGS	08111700	00065	135499		8	4	2000	2018	19	3.06
USGS	08111700	00065	135499		8	5	2000	2018	19	3.01
USGS	08111700	00065	135499		8	6	2000	2018	19	2.98
USGS	08111700	00065	135499		8	7	2000	2018	19	3.01
USGS	08111700	00065	135499		8	8	2000	2018	19	3.00
USGS	08111700	00065	135499		8	9	2000	2018	19	2.96
USGS	08111700	00065	135499		8	10	2000	2018	18	2.99
USGS	08111700	00065	135499		8	11	2000	2018	19	2.94
