#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08111850     00065          Brazos Rv at San Felipe, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08111850	00065	135502		1	1	2014	2018	5	97.61
USGS	08111850	00065	135502		1	2	2014	2018	5	97.21
USGS	08111850	00065	135502		1	3	2014	2018	5	97.14
USGS	08111850	00065	135502		1	4	2014	2018	5	97.24
USGS	08111850	00065	135502		1	5	2014	2018	5	97.12
USGS	08111850	00065	135502		1	6	2014	2018	5	96.91
USGS	08111850	00065	135502		1	7	2014	2018	5	96.77
USGS	08111850	00065	135502		1	8	2014	2018	5	96.68
USGS	08111850	00065	135502		1	9	2014	2018	5	96.61
USGS	08111850	00065	135502		1	10	2014	2018	5	96.73
USGS	08111850	00065	135502		1	11	2014	2018	5	96.46
USGS	08111850	00065	135502		1	12	2014	2018	5	96.12
USGS	08111850	00065	135502		1	13	2014	2018	5	96.10
USGS	08111850	00065	135502		1	14	2014	2018	5	95.93
USGS	08111850	00065	135502		1	15	2014	2018	5	95.67
USGS	08111850	00065	135502		1	16	2014	2018	5	95.61
USGS	08111850	00065	135502		1	17	2014	2018	5	95.93
USGS	08111850	00065	135502		1	18	2014	2018	5	96.16
USGS	08111850	00065	135502		1	19	2014	2018	5	96.28
USGS	08111850	00065	135502		1	20	2014	2018	5	96.74
USGS	08111850	00065	135502		1	21	2014	2018	5	97.10
USGS	08111850	00065	135502		1	22	2014	2018	5	96.91
USGS	08111850	00065	135502		1	23	2014	2018	5	96.58
USGS	08111850	00065	135502		1	24	2014	2018	5	96.72
USGS	08111850	00065	135502		1	25	2014	2018	5	97.06
USGS	08111850	00065	135502		1	26	2014	2018	5	97.15
USGS	08111850	00065	135502		1	27	2014	2018	5	96.78
USGS	08111850	00065	135502		1	28	2014	2018	5	96.19
USGS	08111850	00065	135502		1	29	2014	2018	5	95.75
USGS	08111850	00065	135502		1	30	2014	2018	5	95.46
USGS	08111850	00065	135502		1	31	2014	2018	5	95.25
USGS	08111850	00065	135502		2	1	2014	2018	5	95.04
USGS	08111850	00065	135502		2	2	2014	2018	5	94.91
USGS	08111850	00065	135502		2	3	2014	2018	5	94.81
USGS	08111850	00065	135502		2	4	2014	2018	5	94.68
USGS	08111850	00065	135502		2	5	2014	2018	5	94.55
USGS	08111850	00065	135502		2	6	2014	2018	5	94.45
USGS	08111850	00065	135502		2	7	2014	2018	5	94.41
USGS	08111850	00065	135502		2	8	2014	2018	5	94.49
USGS	08111850	00065	135502		2	9	2014	2018	5	94.51
USGS	08111850	00065	135502		2	10	2014	2018	5	94.44
USGS	08111850	00065	135502		2	11	2014	2018	5	94.31
USGS	08111850	00065	135502		2	12	2014	2018	5	94.25
USGS	08111850	00065	135502		2	13	2014	2018	5	94.27
USGS	08111850	00065	135502		2	14	2014	2018	5	94.29
USGS	08111850	00065	135502		2	15	2014	2018	5	94.32
USGS	08111850	00065	135502		2	16	2014	2018	5	94.30
USGS	08111850	00065	135502		2	17	2014	2018	5	94.21
USGS	08111850	00065	135502		2	18	2014	2018	5	94.17
USGS	08111850	00065	135502		2	19	2014	2018	5	94.25
USGS	08111850	00065	135502		2	20	2014	2018	5	94.77
USGS	08111850	00065	135502		2	21	2014	2018	5	95.99
USGS	08111850	00065	135502		2	22	2014	2018	5	95.98
USGS	08111850	00065	135502		2	23	2014	2018	5	96.02
USGS	08111850	00065	135502		2	24	2014	2018	5	96.16
USGS	08111850	00065	135502		2	25	2014	2018	5	95.91
USGS	08111850	00065	135502		2	26	2014	2018	5	96.69
USGS	08111850	00065	135502		2	27	2014	2018	5	96.51
USGS	08111850	00065	135502		2	28	2014	2018	5	95.74
USGS	08111850	00065	135502		2	29	2016	2016	1	97.12
USGS	08111850	00065	135502		3	1	2014	2018	5	95.51
USGS	08111850	00065	135502		3	2	2014	2018	5	95.28
USGS	08111850	00065	135502		3	3	2014	2018	5	95.15
USGS	08111850	00065	135502		3	4	2014	2018	5	95.14
USGS	08111850	00065	135502		3	5	2014	2018	5	95.14
USGS	08111850	00065	135502		3	6	2014	2018	5	95.09
USGS	08111850	00065	135502		3	7	2014	2018	5	94.87
USGS	08111850	00065	135502		3	8	2014	2018	5	94.65
USGS	08111850	00065	135502		3	9	2014	2018	5	95.23
USGS	08111850	00065	135502		3	10	2014	2018	5	98.75
USGS	08111850	00065	135502		3	11	2014	2018	5	101.05
USGS	08111850	00065	135502		3	12	2014	2018	5	101.21
USGS	08111850	00065	135502		3	13	2014	2018	5	101.35
USGS	08111850	00065	135502		3	14	2014	2018	5	101.09
USGS	08111850	00065	135502		3	15	2014	2018	5	100.37
USGS	08111850	00065	135502		3	16	2014	2018	5	100.11
USGS	08111850	00065	135502		3	17	2014	2018	5	99.87
USGS	08111850	00065	135502		3	18	2014	2018	5	99.57
USGS	08111850	00065	135502		3	19	2014	2018	5	99.14
USGS	08111850	00065	135502		3	20	2014	2018	5	98.61
USGS	08111850	00065	135502		3	21	2014	2018	5	98.35
USGS	08111850	00065	135502		3	22	2014	2018	5	98.77
USGS	08111850	00065	135502		3	23	2014	2018	5	98.12
USGS	08111850	00065	135502		3	24	2014	2018	5	97.34
USGS	08111850	00065	135502		3	25	2014	2018	5	96.83
USGS	08111850	00065	135502		3	26	2014	2018	5	96.38
USGS	08111850	00065	135502		3	27	2015	2018	4	96.65
USGS	08111850	00065	135502		3	28	2014	2018	5	95.76
USGS	08111850	00065	135502		3	29	2014	2018	5	96.98
USGS	08111850	00065	135502		3	30	2014	2018	5	98.56
USGS	08111850	00065	135502		3	31	2014	2018	5	98.46
USGS	08111850	00065	135502		4	1	2014	2018	5	98.00
USGS	08111850	00065	135502		4	2	2014	2018	5	97.13
USGS	08111850	00065	135502		4	3	2014	2018	5	96.48
USGS	08111850	00065	135502		4	4	2014	2018	5	96.15
USGS	08111850	00065	135502		4	5	2014	2018	5	95.90
USGS	08111850	00065	135502		4	6	2014	2018	5	95.84
USGS	08111850	00065	135502		4	7	2014	2018	5	95.76
USGS	08111850	00065	135502		4	8	2014	2018	5	95.57
USGS	08111850	00065	135502		4	9	2014	2018	5	95.36
USGS	08111850	00065	135502		4	10	2014	2018	5	95.29
USGS	08111850	00065	135502		4	11	2014	2018	5	95.35
USGS	08111850	00065	135502		4	12	2014	2018	5	95.33
USGS	08111850	00065	135502		4	13	2014	2018	5	96.49
USGS	08111850	00065	135502		4	14	2014	2018	5	97.45
USGS	08111850	00065	135502		4	15	2014	2018	5	97.85
USGS	08111850	00065	135502		4	16	2014	2018	5	97.49
USGS	08111850	00065	135502		4	17	2014	2018	5	96.60
USGS	08111850	00065	135502		4	18	2014	2018	5	99.63
USGS	08111850	00065	135502		4	19	2014	2018	5	102.33
USGS	08111850	00065	135502		4	20	2014	2018	5	101.72
USGS	08111850	00065	135502		4	21	2014	2018	5	101.25
USGS	08111850	00065	135502		4	22	2014	2018	5	101.14
USGS	08111850	00065	135502		4	23	2014	2018	5	101.02
USGS	08111850	00065	135502		4	24	2014	2018	5	100.39
USGS	08111850	00065	135502		4	25	2014	2018	5	99.24
USGS	08111850	00065	135502		4	26	2014	2018	5	97.58
USGS	08111850	00065	135502		4	27	2014	2018	5	97.14
USGS	08111850	00065	135502		4	28	2014	2018	5	97.40
USGS	08111850	00065	135502		4	29	2014	2018	5	97.65
USGS	08111850	00065	135502		4	30	2014	2018	5	97.86
USGS	08111850	00065	135502		5	1	2014	2018	5	98.34
USGS	08111850	00065	135502		5	2	2014	2018	5	98.57
USGS	08111850	00065	135502		5	3	2014	2018	5	98.37
USGS	08111850	00065	135502		5	4	2014	2018	5	98.09
USGS	08111850	00065	135502		5	5	2014	2018	5	97.78
USGS	08111850	00065	135502		5	6	2014	2018	5	97.57
USGS	08111850	00065	135502		5	7	2014	2018	5	98.15
USGS	08111850	00065	135502		5	8	2014	2018	5	98.19
USGS	08111850	00065	135502		5	9	2014	2018	5	98.48
USGS	08111850	00065	135502		5	10	2014	2018	5	98.35
USGS	08111850	00065	135502		5	11	2014	2018	5	97.77
USGS	08111850	00065	135502		5	12	2014	2018	5	97.77
USGS	08111850	00065	135502		5	13	2014	2018	5	98.35
USGS	08111850	00065	135502		5	14	2014	2018	5	99.72
USGS	08111850	00065	135502		5	15	2014	2018	5	99.81
USGS	08111850	00065	135502		5	16	2014	2018	5	99.54
USGS	08111850	00065	135502		5	17	2014	2018	5	99.72
USGS	08111850	00065	135502		5	18	2014	2018	5	100.10
USGS	08111850	00065	135502		5	19	2014	2018	5	100.91
USGS	08111850	00065	135502		5	20	2014	2018	5	101.33
USGS	08111850	00065	135502		5	21	2014	2018	5	101.16
USGS	08111850	00065	135502		5	22	2014	2018	5	100.90
USGS	08111850	00065	135502		5	23	2014	2018	5	100.61
USGS	08111850	00065	135502		5	24	2014	2018	5	100.52
USGS	08111850	00065	135502		5	25	2014	2018	5	100.07
USGS	08111850	00065	135502		5	26	2014	2018	5	99.96
USGS	08111850	00065	135502		5	27	2014	2018	5	103.43
USGS	08111850	00065	135502		5	28	2014	2018	5	107.54
USGS	08111850	00065	135502		5	29	2014	2018	5	108.39
USGS	08111850	00065	135502		5	30	2014	2018	5	107.54
USGS	08111850	00065	135502		5	31	2014	2018	5	107.21
USGS	08111850	00065	135502		6	1	2014	2018	5	107.05
USGS	08111850	00065	135502		6	2	2014	2018	5	106.33
USGS	08111850	00065	135502		6	3	2014	2018	5	105.48
USGS	08111850	00065	135502		6	4	2014	2018	5	104.40
USGS	08111850	00065	135502		6	5	2014	2018	5	103.76
USGS	08111850	00065	135502		6	6	2014	2018	5	103.58
USGS	08111850	00065	135502		6	7	2014	2018	5	103.20
USGS	08111850	00065	135502		6	8	2014	2018	5	102.37
USGS	08111850	00065	135502		6	9	2014	2018	5	101.02
USGS	08111850	00065	135502		6	10	2014	2018	5	100.32
USGS	08111850	00065	135502		6	11	2014	2018	5	100.26
USGS	08111850	00065	135502		6	12	2014	2018	5	100.24
USGS	08111850	00065	135502		6	13	2014	2018	5	100.25
USGS	08111850	00065	135502		6	14	2014	2018	5	100.22
USGS	08111850	00065	135502		6	15	2014	2018	5	100.22
USGS	08111850	00065	135502		6	16	2014	2018	5	100.21
USGS	08111850	00065	135502		6	17	2014	2018	5	101.17
USGS	08111850	00065	135502		6	18	2014	2018	5	102.17
USGS	08111850	00065	135502		6	19	2014	2018	5	102.38
USGS	08111850	00065	135502		6	20	2014	2018	5	102.25
USGS	08111850	00065	135502		6	21	2014	2018	5	101.94
USGS	08111850	00065	135502		6	22	2014	2018	5	101.19
USGS	08111850	00065	135502		6	23	2014	2018	5	100.11
USGS	08111850	00065	135502		6	24	2014	2018	5	99.76
USGS	08111850	00065	135502		6	25	2014	2018	5	99.73
USGS	08111850	00065	135502		6	26	2014	2018	5	99.77
USGS	08111850	00065	135502		6	27	2014	2018	5	99.83
USGS	08111850	00065	135502		6	28	2014	2018	5	100.09
USGS	08111850	00065	135502		6	29	2014	2018	5	100.43
