#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08114000     00065          Brazos Rv at Richmond, TX (Radar Sensor)
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08114000	00065	135515	Radar Sensor	1	1	1999	2018	18	14.15
USGS	08114000	00065	135515	Radar Sensor	1	2	1999	2018	18	14.07
USGS	08114000	00065	135515	Radar Sensor	1	3	1999	2018	19	14.15
USGS	08114000	00065	135515	Radar Sensor	1	4	1999	2018	18	14.47
USGS	08114000	00065	135515	Radar Sensor	1	5	1999	2018	18	14.45
USGS	08114000	00065	135515	Radar Sensor	1	6	1999	2018	19	14.13
USGS	08114000	00065	135515	Radar Sensor	1	7	1999	2018	19	13.98
USGS	08114000	00065	135515	Radar Sensor	1	8	1999	2018	19	13.87
USGS	08114000	00065	135515	Radar Sensor	1	9	1999	2018	19	13.93
USGS	08114000	00065	135515	Radar Sensor	1	10	1999	2018	19	13.84
USGS	08114000	00065	135515	Radar Sensor	1	11	1999	2018	18	13.61
USGS	08114000	00065	135515	Radar Sensor	1	12	1999	2018	18	13.83
USGS	08114000	00065	135515	Radar Sensor	1	13	1999	2018	18	13.47
USGS	08114000	00065	135515	Radar Sensor	1	14	1999	2018	19	13.88
USGS	08114000	00065	135515	Radar Sensor	1	15	1999	2018	18	13.64
USGS	08114000	00065	135515	Radar Sensor	1	16	1999	2018	18	13.35
USGS	08114000	00065	135515	Radar Sensor	1	17	1999	2018	18	14.38
USGS	08114000	00065	135515	Radar Sensor	1	18	1999	2018	18	14.95
USGS	08114000	00065	135515	Radar Sensor	1	19	1999	2018	19	14.89
USGS	08114000	00065	135515	Radar Sensor	1	20	1999	2018	19	14.52
USGS	08114000	00065	135515	Radar Sensor	1	21	1999	2018	18	14.45
USGS	08114000	00065	135515	Radar Sensor	1	22	1999	2018	19	14.36
USGS	08114000	00065	135515	Radar Sensor	1	23	1999	2018	18	13.90
USGS	08114000	00065	135515	Radar Sensor	1	24	1999	2018	18	13.65
USGS	08114000	00065	135515	Radar Sensor	1	25	1999	2018	18	13.35
USGS	08114000	00065	135515	Radar Sensor	1	26	1999	2018	19	14.34
USGS	08114000	00065	135515	Radar Sensor	1	27	1999	2018	19	14.38
USGS	08114000	00065	135515	Radar Sensor	1	28	1999	2018	19	14.07
USGS	08114000	00065	135515	Radar Sensor	1	29	1999	2018	18	14.01
USGS	08114000	00065	135515	Radar Sensor	1	30	1999	2018	18	13.85
USGS	08114000	00065	135515	Radar Sensor	1	31	1999	2018	19	13.80
USGS	08114000	00065	135515	Radar Sensor	2	1	1999	2018	18	14.04
USGS	08114000	00065	135515	Radar Sensor	2	2	1999	2018	19	14.37
USGS	08114000	00065	135515	Radar Sensor	2	3	1999	2018	19	14.30
USGS	08114000	00065	135515	Radar Sensor	2	4	1999	2018	18	14.18
USGS	08114000	00065	135515	Radar Sensor	2	5	1999	2018	19	14.06
USGS	08114000	00065	135515	Radar Sensor	2	6	1999	2018	19	14.32
USGS	08114000	00065	135515	Radar Sensor	2	7	1999	2018	19	14.51
USGS	08114000	00065	135515	Radar Sensor	2	8	1999	2018	18	14.81
USGS	08114000	00065	135515	Radar Sensor	2	9	1999	2018	19	15.10
USGS	08114000	00065	135515	Radar Sensor	2	10	1999	2018	19	15.12
USGS	08114000	00065	135515	Radar Sensor	2	11	1999	2018	19	14.87
USGS	08114000	00065	135515	Radar Sensor	2	12	1999	2018	18	14.19
USGS	08114000	00065	135515	Radar Sensor	2	13	1999	2018	19	14.92
