#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-02-26 15:07:59 -05:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        08116400     00065          Dry Ck nr Rosenberg, TX
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00065         Gage height, feet
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	08116400	00065	135526		1	1	2008	2018	11	65.94
USGS	08116400	00065	135526		1	2	2008	2018	11	65.99
USGS	08116400	00065	135526		1	3	2008	2018	11	66.13
USGS	08116400	00065	135526		1	4	2008	2018	10	66.06
USGS	08116400	00065	135526		1	5	2008	2018	10	66.16
USGS	08116400	00065	135526		1	6	2008	2018	10	66.50
USGS	08116400	00065	135526		1	7	2008	2018	10	67.22
USGS	08116400	00065	135526		1	8	2008	2018	10	67.14
USGS	08116400	00065	135526		1	9	2008	2018	10	67.70
USGS	08116400	00065	135526		1	10	2008	2018	10	67.32
USGS	08116400	00065	135526		1	11	2008	2018	10	67.49
USGS	08116400	00065	135526		1	12	2008	2018	10	67.47
USGS	08116400	00065	135526		1	13	2008	2018	10	67.40
USGS	08116400	00065	135526		1	14	2008	2018	10	67.15
USGS	08116400	00065	135526		1	15	2008	2018	10	66.99
USGS	08116400	00065	135526		1	16	2008	2018	10	67.42
USGS	08116400	00065	135526		1	17	2008	2018	10	67.23
USGS	08116400	00065	135526		1	18	2008	2018	10	67.13
USGS	08116400	00065	135526		1	19	2008	2018	10	67.57
USGS	08116400	00065	135526		1	20	2008	2018	10	67.14
USGS	08116400	00065	135526		1	21	2008	2018	10	66.77
USGS	08116400	00065	135526		1	22	2008	2018	10	66.96
USGS	08116400	00065	135526		1	23	2008	2018	10	66.98
USGS	08116400	00065	135526		1	24	2008	2018	10	66.67
USGS	08116400	00065	135526		1	25	2008	2018	10	66.75
USGS	08116400	00065	135526		1	26	2008	2018	10	66.55
USGS	08116400	00065	135526		1	27	2008	2018	10	66.48
USGS	08116400	00065	135526		1	28	2008	2018	10	66.54
USGS	08116400	00065	135526		1	29	2008	2018	10	66.62
USGS	08116400	00065	135526		1	30	2008	2018	10	66.68
USGS	08116400	00065	135526		1	31	2008	2018	10	66.40
USGS	08116400	00065	135526		2	1	2008	2018	10	66.43
USGS	08116400	00065	135526		2	2	2008	2018	10	66.43
USGS	08116400	00065	135526		2	3	2008	2018	10	66.57
USGS	08116400	00065	135526		2	4	2008	2018	10	66.86
USGS	08116400	00065	135526		2	5	2008	2018	10	66.89
USGS	08116400	00065	135526		2	6	2008	2018	10	66.99
USGS	08116400	00065	135526		2	7	2008	2018	10	66.98
USGS	08116400	00065	135526		2	8	2008	2018	10	66.85
USGS	08116400	00065	135526		2	9	2008	2018	10	66.82
USGS	08116400	00065	135526		2	10	2008	2018	11	67.38
